ax,ay,az,gx,gy,gz
1.086968,-9.684546,-2.11408,3.801527,2.160305,-0.1755725
1.134852,-9.682152,-2.051831,2.221374,2.419847,-0.7480916
1.158794,-9.569624,-2.094927,5.343512,1.549618,-0.2519084
1.144428,-9.655815,-2.06859,4.351145,2.419847,0.0610687
1.017536,-9.634268,-1.987187,3.076336,1.694656,0.519084
1.154005,-9.698911,-1.999158,4.458015,1.045802,-0.04580153
1.098939,-9.634268,-1.889025,2.770992,1.114504,-0.4580153
1.16837,-9.696517,-1.927332,2.748092,0.870229,-0.9465649
1.130063,-9.682152,-1.872266,3.167939,0.740458,-0.5496183
1.106121,-9.667787,-1.814805,2.435115,0.519084,-0.2748091
1.142034,-9.739613,-1.912967,2.29771,1.183206,-0.1679389
1.254562,-9.696517,-1.762132,2.21374,1.29771,-0.129771
1.11091,-9.662998,-1.790863,2.496183,1.625954,-0.4961832
1.165976,-9.737218,-1.807622,2.274809,1.687023,-0.129771
1.103727,-9.727641,-1.786075,3.267176,0.04580153,-0.9847328
1.11091,-9.742006,-1.769315,5.374046,-2.305344,-2.679389
1.189918,-9.67018,-1.728614,5.648855,-2.923664,-3.076336
1.130063,-9.619903,-1.68073,4.862596,-0.3587786,-3.053435
1.18513,-9.653421,-1.460463,0.01526718,-0.389313,-1.931298
1.273715,-9.706094,-1.486799,-1.366412,-0.3282443,-0.007633588
1.146823,-9.600749,-1.580173,-0.8167939,0.01526718,-0.3435115
1.170765,-9.737218,-1.489193,-2.045802,-1.022901,-0.7175572
1.228225,-9.739613,-1.596933,-0.2748091,-1.267176,-1.740458
1.323994,-9.715671,-1.649605,1.641221,-1.900763,-2.160305
1.194707,-9.720459,-1.584962,1.679389,-1.259542,-1.625954
1.209072,-9.706094,-1.604115,0.3587786,-1.145038,-0.8473283
1.223437,-9.698911,-1.654393,2.442748,-1.374046,-0.1908397
1.197101,-9.698911,-1.496376,4.900764,-1.290076,-1.137405
1.273715,-9.698911,-1.388637,0.3282443,-0.04580153,-1.541985
1.273715,-9.653421,-1.474828,-5.549618,1.656489,-2.274809
1.414973,-9.694122,-1.731008,-4.603054,2.083969,-1.51145
1.400608,-9.751583,-1.836353,-1.007634,3.51145,-1.312977
1.431733,-9.715671,-1.908179,-0.778626,5.259542,-2.70229
1.496376,-9.619903,-1.924938,-1.152672,8.030535,-3.793893
1.455675,-9.433155,-1.719037,-4.900764,10.12214,-5.244275
1.398214,-9.636662,-1.893814,-2.259542,10.0458,-4.816794
1.510741,-9.629479,-1.78368,-2.137405,12.1145,-6.312977
1.594538,-9.648633,-1.510741,-3.229008,12.54198,-6.526718
1.695095,-9.504981,-1.549049,-3.198473,13.58779,-4.679389
1.546654,-9.68694,-0.9816227,-2.40458,9.671756,-1.969466
1.448492,-9.720459,-1.005565,-5.099236,6.419847,0.4351145
1.702277,-9.552865,-0.9935937,-8.900764,6.229008,-0.5343512
1.529895,-10.06522,-1.347936,-4.503817,1.625954,-3.870229
1.953669,-9.653421,-1.455675,-5.435114,3.351145,-5.870229
2.219425,-9.334992,-1.187524,-3.900763,6.885496,-7.40458
1.752556,-9.222465,-0.7182605,-1.847328,1.854962,-2.328244
1.702277,-9.28232,-0.8116343,4.442748,-4.229008,4.022901
1.61848,-9.500193,-0.7685388,0.5496183,-5.900764,3.824427
2.142811,-10.02931,-1.412579,-6.78626,-2.259542,1.503817
2.044648,-9.983821,-1.493982,-5.709924,-2.671756,-0.2137404
1.685518,-9.126697,-1.302446,-4.931298,-5.816794,-1.061069
1.879448,-9.49301,-2.104503,-0.8778625,-5.183206,-2.335878
2.025495,-9.720459,-1.853112,-8.083969,-2.549618,1.251908
1.335965,-8.875306,-2.08535,-15.81679,-5.755725,-4.206107
1.472434,-8.966286,-3.011906,-9.396947,-3.946565,-8.564885
2.209848,-9.605537,-2.815581,2.259542,6.465649,-5.885496
1.549049,-10.1179,-2.281674,9.801527,13.41221,0.7633588
0.3950433,-10.3645,-1.37906,-11.0,2.59542,-3.992366
0.2633622,-9.241618,-1.640028,-32.90076,-7.099236,-11.96183
1.795651,-8.820239,-2.1883,-39.52672,-1.900763,-19.16794
3.0143,-9.097966,-2.48997,-39.48855,18.61069,-21.12214
4.015076,-8.717288,-2.396596,-44.12214,45.0,-14.55725
5.542577,-9.188946,-4.48434,-34.35115,120.0611,-34.22137
2.049437,-10.88165,0.3543419,-103.9618,53.67176,-63.87786
3.41892,-10.10593,-7.060501,-60.87786,64.90076,-54.07634
3.136404,-5.537788,-1.496376,-67.09924,52.48855,-65.80916
0.3854665,-5.090073,-2.001553,-97.84733,30.43511,-61.57252
0.8738836,-4.065354,-3.04303,-89.64886,-23.54198,-67.82442
3.610456,-5.3678,-4.867412,-64.96183,16.06107,-72.38931
7.082048,-5.801151,-4.15394,-81.83969,26.44275,-64.80153
3.679888,-5.671864,-4.527435,-54.41221,45.14504,-57.64885
4.989516,-6.131551,-3.093309,-80.61832,77.26717,-60.62595
2.422932,-6.548141,-2.152387,-53.54962,75.1832,-39.41985
3.004723,-7.321469,-2.624045,-79.78626,107.0763,-85.75572
0.56982,-6.938396,-3.150769,-68.229,126.6183,-96.32825
-0.1628057,-3.126827,5.327099,13.18321,-11.42748,-28.37405
6.380548,8.798691,-12.48816,89.26717,-46.35115,97.59542
19.6127,-13.02446,-8.367735,63.62595,-82.67175,-87.03817
15.1146,4.548983,-6.05733,63.44275,98.06107,-37.60305
6.962338,14.42746,-15.82328,155.7176,-4.351145,-59.92366
19.6127,8.848969,-8.750807,83.56489,-54.9313,20.01527
18.52394,-1.154005,-10.36689,-11.31298,-30.76336,-70.61069
8.604761,2.784456,-6.354211,-19.46565,17.9771,-24.08397
6.897695,1.21386,-4.733337,-1.832061,48.48092,25.56489
8.504205,-1.989582,-1.929727,-2.938931,36.99237,16.94657
9.220071,1.187524,-5.331887,-0.1221374,49.72519,40.0229
9.330204,-3.430891,-2.901772,-1.40458,25.66412,7.259542
8.633492,-1.041478,-2.121263,-10.50382,11.03053,2.748092
8.925584,-1.477222,-2.906561,-12.05344,10.31298,-5.801527
8.875306,-0.7805098,-2.566584,-8.267176,4.992366,-2.351145
9.16261,-0.6943185,-3.086126,-5.709924,0.4427481,-1.030534
8.884883,-0.8164227,-2.592921,0.6641222,-8.526717,-3.099237
8.896853,-0.6320692,-3.270479,5.358778,-10.26718,0.8167939
8.89446,-0.6703765,-3.248932,6.175572,-8.267176,3.419847
9.066842,-0.7398083,-3.371036,5.664122,-8.603053,3.328244
8.947132,-1.024718,-3.213019,4.763359,-11.50382,-0.4198473
8.844181,-0.8930372,-3.323152,3.832061,-13.40458,-1.038168
8.980651,-0.9217676,-3.883395,1.740458,-10.67176,-0.9541985
8.865729,-0.6895301,-4.096479,0.4732824,-4.755725,-1.633588
8.90643,-0.7637503,-3.892972,-0.1908397,-1.992366,-0.2824428
8.911219,-0.7900866,-4.019865,-0.6183206,1.503817,0.4045802
8.925584,-0.830788,-3.859453,-0.8549618,3.389313,0.3816794
8.889671,-0.8738836,-3.588908,-1.59542,2.450382,-0.1679389
8.865729,-0.9074024,-3.696647,-0.870229,1.137405,-0.3740458
8.827422,-0.8571242,-3.660734,-0.2213741,-0.610687,-1.061069
8.813056,-0.8283938,-3.754108,-0.8015267,-0.02290076,-0.5038168
8.808268,-0.9528923,-3.6751,-0.9083969,-0.6412213,-3.10687
8.729259,-0.4764462,-3.397372,3.053435,-3.839695,1.358779
8.695741,-0.7757214,-3.502717,1.89313,-6.564886,1.969466
8.990228,-0.8283938,-3.849876,2.351145,-8.21374,2.328244
8.686164,-0.9313444,-3.842694,2.122137,-7.931298,1.068702
8.767567,-1.055843,-3.964798,0.8396947,-7.732824,-1.648855
