ax,ay,az,gx,gy,gz
-0.1292869,-7.781156,2.784456,-12.23664,16.73282,0.2290076
0.1244985,-10.22085,1.216254,-12.21374,7.396946,-5.328244
0.8571242,-8.259995,1.137246,19.0458,-26.86259,2.587786
0.7158663,-10.08677,0.8092402,-19.31298,16.70229,-8.610687
0.4429273,-10.17057,0.6009446,-10.24428,4.053435,-4.312977
0.6081272,-9.809045,0.8092402,-6.725191,-0.6946565,-1.770992
0.9074024,-9.809045,0.6320692,-9.129771,0.8549618,-1.320611
0.9840169,-9.323022,0.3687071,-2.946565,-2.587786,-2.152672
1.125275,-9.813833,0.8044518,-5.900764,4.374046,-13.41221
0.7781156,-10.0317,1.122881,-2.755725,4.824428,-5.885496
0.85473,-9.818622,0.9121908,-0.2442748,-1.557252,3.061069
0.9888053,-9.770737,0.8643068,-3.916031,-6.427481,6.969466
0.9888053,-10.30943,0.581791,3.564885,-4.282443,14.29771
0.2011129,-9.464279,0.1867477,-0.1145038,-7.351145,7.862596
-0.4333505,-9.545682,0.1149217,-3.648855,-21.42748,5.549618
0.0,-9.660604,0.248997,-8.198473,-9.007633,-7.51145
3.066972,-8.765172,-0.2873042,-18.59542,51.29771,-21.35878
2.387019,-10.6135,1.031901,-20.75573,47.72519,-32.17557
-0.6344634,-4.932055,0.1005565,-54.08397,-34.91603,-17.20611
4.714183,-6.962338,-3.701436,-133.2061,-23.80153,-148.6488
5.250484,-9.504981,-2.956839,-110.0229,-54.77099,-140.8931
7.833828,-5.272032,-4.589684,-108.0153,-41.87023,-133.6947
0.4333505,0.6033388,-2.868254,-135.0153,-88.52672,-66.30534
2.123657,-0.4429273,-13.67807,72.90076,83.09161,64.49619
2.53546,0.9457096,-7.912837,-2.618321,104.2137,88.48855
14.33648,5.032612,-11.15937,51.09924,150.1298,70.03817
19.6127,1.946486,-19.6133,-82.06107,153.7405,-11.63359
4.027047,2.633622,-1.276109,-30.07634,-63.26717,-13.34351
9.227253,2.260126,-8.889671,-1.603053,5.21374,0.02290076
6.828263,1.896208,-4.376601,2.748092,51.25954,6.152672
8.06846,1.824382,-5.209783,-1.748092,-16.45038,-0.3129771
7.438785,1.817199,-5.125986,-3.312977,-27.20611,-2.419847
7.448361,1.944092,-6.392519,4.152672,-24.8855,0.8625955
7.247249,1.826776,-6.914454,6.465649,-6.396946,2.717557
6.971915,1.707066,-6.347029,1.526718,-8.480916,2.137405
7.065289,1.790863,-6.773197,2.603053,-3.625954,1.290076
6.967127,1.659182,-6.916849,2.618321,-2.473282,0.7938931
6.775591,1.628057,-6.665458,-0.129771,-7.755725,0.8091603
6.864176,1.611298,-7.022193,1.0,0.9847328,0.1832061
6.833052,1.613692,-6.864176,1.21374,-1.21374,0.648855
6.730101,1.575385,-6.900089,1.114504,-2.129771,0.7709923
6.787562,1.601721,-7.029376,0.1832061,5.236641,-0.5419847
6.785168,1.565808,-6.797139,-0.4274809,0.4580153,0.5954198
6.854599,1.541866,-6.854599,-0.1374046,1.89313,-0.1526718
6.943185,1.601721,-7.010222,-2.122137,2.954198,-1.282443
6.919243,1.575385,-6.665458,-0.648855,9.870229,0.1679389
7.053318,1.623269,-6.567295,1.40458,14.64886,-0.7328244
7.240066,1.608904,-6.299145,3.030534,12.87023,0.7633588
7.395689,1.541866,-5.999869,0.4885496,7.519084,0.3053435
7.491457,1.47004,-5.827487,2.679389,6.59542,0.4351145
7.620744,1.429338,-5.78918,3.938931,4.320611,2.045802
7.927202,1.328782,-5.870583,2.312977,18.28244,1.51145
7.963115,1.35033,-5.164293,0.4503817,26.0916,0.8473283
8.42759,1.271321,-4.891354,9.412213,32.75573,5.793893
8.365341,1.161188,-4.055778,0.2671756,-0.5114504,-0.3664122
8.681376,1.137246,-4.335899,2.839695,17.9771,0.7480916
8.700529,1.132457,-3.739743,-0.8854962,15.35878,1.603053
8.698134,0.8858546,-3.337517,0.1984733,4.603054,0.9236641
8.827422,0.9074024,-3.205836,0.0,-0.03816794,-0.05343511
8.726865,1.058237,-3.270479,-1.328244,-20.19847,-0.6259542
8.374918,1.240196,-3.91452,-22.86259,-62.92366,-8.847328
8.063671,1.448492,-5.585672,-4.198473,-41.69466,-0.5343512
7.651869,1.563414,-6.780379,-6.251908,-28.03817,-1.763359
6.67264,1.740585,-6.081272,-3.862595,-46.12214,1.503817
6.205771,1.312023,-8.164227,20.32825,-65.26717,7.80916
5.216966,1.280898,-8.568848,4.38168,-21.64122,-1.396947
4.91769,1.072602,-8.635885,6.48855,-17.48092,2.503817
4.898537,0.9672575,-9.028535,1.137405,3.496183,0.8244275
4.960786,0.9888053,-8.815451,-4.312977,24.38168,-1.320611
5.284003,1.098939,-7.93199,-5.458015,18.03053,-0.389313
