ax,ay,az,gx,gy,gz
-9.004593,3.957615,1.16837,-2.496183,-87.62595,-11.67176
-9.483433,4.51307,0.6847417,1.290076,9.458015,18.29008
-8.875306,3.8403,1.015141,-9.572519,-6.10687,6.671756
-9.217676,3.634398,0.9696517,-11.1374,-3.091603,-1.969466
-9.188946,3.440468,0.8834604,-23.61069,8.732824,-6.015267
-9.361329,3.722984,1.072602,-14.53435,23.17557,0.5496183
-9.375694,3.469198,1.11091,-13.52672,40.19084,-5.664122
-9.435549,3.337517,0.5506664,0.1221374,40.58779,-10.00763
-9.560047,3.181894,-0.3687071,0.740458,9.854961,-6.343512
-9.43076,2.975993,-0.8379706,10.0687,12.65649,1.679389
-9.344569,3.083732,-0.9624691,2.992366,1.664122,-14.9542
-9.775525,2.717419,-1.101333,-12.9313,-8.0,-26.59542
-10.37647,2.185906,-0.4525041,3.954198,5.21374,2.145038
-9.495404,2.25055,-0.04309563,2.335878,-10.28244,0.5954198
-9.631873,2.238579,-0.5602432,-4.152672,11.9542,-8.297709
-10.09874,1.70946,-0.782904,8.862596,17.74046,-11.61069
-9.667787,1.879448,-0.7637503,6.91603,34.73283,-13.99237
-10.97023,0.6368576,-0.1125275,1.709924,2.519084,-6.824428
-9.631873,0.9816227,-0.5075707,-50.0687,39.43512,7.961832
-10.54167,1.879448,1.005565,-21.9542,35.56488,20.43511
-10.41957,3.227384,0.5722142,-9.763359,-17.20611,9.801527
-7.252037,2.813187,0.617704,-6.21374,88.45038,31.34351
-6.277597,-0.9409212,-9.028535,60.94656,33.60305,53.69466
-12.06917,1.362301,-4.331111,29.58779,3.778626,32.41221
-3.725378,2.540248,0.3878607,87.52672,104.2977,100.9618
-0.1268927,2.056619,-6.287174,102.0916,203.9847,112.3511
-1.04866,-2.197877,-18.76815,97.61069,38.54962,-53.0
-3.287239,-2.406173,-8.063671,142.3282,-34.64885,24.43511
-4.316746,-2.70066,-12.50492,78.10687,63.73283,16.60305
1.786075,-3.217807,-1.831564,-125.3282,-107.8015,13.31298
-1.666364,-1.489193,-8.875306,-50.03053,26.52672,18.34351
-0.521936,-1.225831,-11.03727,-45.21374,-37.14504,3.648855
-6.675035,-1.273715,-17.36036,43.46565,-111.1374,0.832061
-4.113238,0.6679823,-9.478644,-80.1832,28.34351,97.54962
-5.77242,2.913743,-7.721301,-32.70229,-84.34351,91.89313
-4.118027,2.152387,-7.369353,-16.57252,-31.44275,33.89313
-5.00867,2.935291,-7.960721,-6.473282,-72.05344,12.32824
-4.860229,3.107674,-6.385336,-21.54198,-45.0229,44.06107
-5.00867,2.652776,-3.39019,-27.15267,-198.2061,-32.58015
-8.300697,5.365406,-4.738125,-28.61832,-39.32061,-2.641221
-7.927202,3.900155,-2.961627,26.37405,-46.74809,65.24428
-6.746861,4.726154,-4.173094,8.183207,-46.43512,16.17557
-9.414001,5.961562,-3.414132,-36.9771,-30.30534,-19.60305
-9.018958,5.312734,-0.2298434,2.129771,6.549618,-35.15267
-8.961497,4.297592,-1.010353,-15.90076,57.19847,-36.38931
-7.659051,3.825934,-1.022324,16.25954,9.954199,-1.480916
-9.464279,4.120421,-2.468422,-7.137404,3.664122,-0.480916
-8.767567,2.796427,-2.703054,-22.73282,8.358779,-9.679389
-10.64941,3.883395,-1.268927,-30.45802,-59.31298,-70.33588
-8.607155,5.626374,-0.1244985,14.93893,51.30534,27.29771
-8.655039,5.635951,-1.733402,-46.54962,15.83969,-6.946565
-8.968679,3.89776,-1.144428,-60.0687,19.62595,-16.66412
-8.523358,3.296816,-1.462857,-30.83969,16.35878,-11.57252
-9.028535,2.952051,-2.418144,11.17557,-7.732824,-16.89313
-9.057265,2.5187,-0.6847417,23.77863,-15.48092,-14.48855
-11.59751,4.367024,-0.4189853,-22.43511,0.01526718,15.62595
-10.25197,3.596091,-0.2944868,11.61832,-5.671756,13.16794
-8.731653,2.753332,0.4094085,-0.5038168,-17.16794,3.21374
-9.76116,3.363853,-0.2418144,-1.473282,-9.473283,1.19084
-8.688558,2.949656,-0.8834604,21.73282,0.1908397,12.73282
-8.834604,4.790798,-0.7685388,27.85496,-0.9389313,7.427481
-9.471462,4.584896,-0.7517793,-8.106871,-13.59542,-4.10687
-8.171411,4.266468,-0.2226608,9.625955,34.63359,43.35115
-9.617508,4.331111,-0.8116343,-29.89313,-51.9542,-34.85496
-8.971074,4.493917,0.01436521,24.81679,12.75572,7.580153
-9.478644,4.651934,-0.7134721,-4.770992,1.870229,8.030535
-9.045294,3.967192,-0.5195417,-3.587786,-1.587786,-0.2366412
-8.858546,4.328717,-0.4908113,6.549618,5.862596,5.221374
-9.062054,4.469975,-1.16837,-2.877863,5.221374,4.137404
-9.002198,4.462792,-0.9744401,-12.9542,9.496183,-7.48855
