ax,ay,az,gx,gy,gz
1.271321,-9.694122,1.005565,1.099237,2.412214,0.1755725
1.180341,-9.718064,0.9648633,0.740458,0.610687,-0.4656488
1.165976,-9.691729,1.058237,0.8167939,-1.740458,0.5343512
1.25935,-9.603143,1.04866,0.6412213,-3.030534,0.648855
1.393425,-9.718064,0.9528923,0.4656488,-2.534351,-0.7175572
1.455675,-9.811439,1.063026,2.305344,1.320611,-2.381679
1.644816,-9.536105,0.8978256,0.07633588,6.167939,-5.412214
1.70946,-9.507375,1.127669,-5.671756,16.32061,-11.08397
2.147599,-9.507375,1.09415,-2.541985,25.46565,-9.549619
1.771709,-9.490616,1.182736,-4.435114,27.25954,-5.961832
1.54426,-9.765948,1.565808,-3.038168,25.73282,-6.274809
1.697489,-9.184157,1.410185,-2.099237,15.93893,-1.29771
1.690306,-9.536105,1.707066,-1.992366,15.69466,1.725191
1.611298,-9.425972,1.699883,-5.312977,7.396946,0.129771
1.501164,-8.65025,1.575385,-23.67939,-7.229008,-1.59542
2.841918,-9.394848,2.051831,-20.0687,9.038168,-1.503817
2.078167,-10.4483,3.057395,8.267176,-7.480916,-1.152672
2.372654,-11.2312,0.04070143,7.08397,-27.08397,-23.78626
2.413355,-8.813056,0.3926491,-6.435114,-55.01527,-5.312977
1.474828,-8.681376,-1.132457,-29.38931,-45.41985,23.59542
0.6129156,-9.186552,-0.02633622,-31.24427,-53.84733,44.45802
1.661576,-9.07163,-1.810017,-38.57252,-57.0,53.36641
1.912967,-8.516175,-2.691083,-41.03053,-15.21374,18.96947
0.4548983,-9.076419,-2.559402,-35.77099,1.366412,3.656489
0.01915361,-7.115568,-2.693477,-52.31298,-4.694656,5.526718
-1.628057,-5.796362,-2.681506,-38.84733,-37.87023,14.90076
2.063802,-5.425261,-4.041412,-16.37405,-5.335878,23.01527
-1.812411,-6.739678,-1.467646,-30.62595,-49.54962,63.42748
1.012747,-18.76575,4.477157,18.74046,-213.0763,206.687
4.390966,-0.2322376,-2.786851,-17.40458,-173.2595,107.8626
-19.6133,14.6597,8.147469,-131.6031,-213.0458,250.1298
-18.75139,-10.69969,-3.256114,213.916,-37.21374,-25.05343
-3.96001,3.366248,1.537078,28.14504,12.99237,22.53435
-8.949526,-2.001553,-1.529895,17.10687,14.85496,-36.54198
-10.68293,-4.563348,-0.6464345,-4.954198,14.22901,-2.992366
-6.58166,-6.291962,-2.53546,32.0229,-15.51908,8.572519
-9.516952,-4.458004,-0.9217676,4.0,11.76336,-4.061069
-9.73243,-4.012682,-1.721431,2.236641,4.290076,0.1450382
-8.367735,-3.44765,-0.3303998,-6.442748,-10.12214,10.21374
-8.418014,-4.639963,-1.316811,-2.89313,-5.80916,3.320611
-9.193734,-3.890578,-0.9624691,4.473282,11.07634,-0.1221374
-9.569624,-3.687071,-1.254562,1.793893,-4.076336,-1.755725
-9.050082,-3.971981,-0.9672575,-4.580153,5.938931,0.2519084
-9.308656,-4.149151,-1.477222,2.656489,5.442748,-0.9770992
-9.481039,-3.842694,-1.546654,-3.763359,-1.534351,1.198473
-9.267955,-3.94325,-1.343147,0.778626,-0.7099237,-0.7251908
-9.150639,-4.003105,-1.283292,-0.6717557,0.8167939,0.4122138
-9.313444,-3.991134,-1.426944,-0.9770992,2.183206,1.038168
-9.332599,-3.971981,-1.553837,0.4122138,0.4427481,-0.6335878
-9.291897,-4.012682,-1.51553,-0.610687,0.1374046,0.5725191
-9.212888,-4.005499,-1.412579,-0.007633588,-0.07633588,0.3435115
-9.174581,-3.919308,-1.450886,-0.1603053,-0.2671756,0.2366412
-9.172187,-3.940856,-1.426944,0.1145038,-0.778626,0.6641222
-9.229648,-3.904943,-1.374272,0.129771,-1.618321,0.5801527
-9.193734,-3.974375,-1.35033,0.03053435,-0.6183206,0.3129771
-9.332599,-4.010288,-1.371878,0.4045802,-1.320611,0.778626
-9.275137,-4.003105,-1.364695,-0.007633588,-1.572519,0.2442748
-9.330204,-3.938462,-1.448492,0.4656488,-0.7709923,0.03053435
-9.313444,-3.976769,-1.477222,0.870229,-1.763359,0.3740458
-9.239224,-3.938462,-1.276109,-0.09160305,-0.480916,0.3816794
-9.203311,-3.933673,-1.364695,-0.7251908,0.7633588,-0.2366412
-9.263166,-3.94325,-1.25935,-0.3435115,0.2824428,1.114504
-9.26556,-3.94325,-1.352724,-0.2137404,0.1984733,-0.02290076
-9.299079,-3.931279,-1.465251,-0.1526718,0.4045802,0.519084
-9.346964,-4.07972,-1.359907,0.1679389,0.4503817,0.1374046
-9.301474,-3.952827,-1.30484,-1.305344,1.694656,0.832061
-9.284714,-3.967192,-1.438915,-1.167939,1.954198,0.8473283
-9.303867,-3.876213,-1.58975,-0.8778625,2.648855,0.1679389
-9.332599,-3.919308,-1.623269,-0.8091603,2.10687,0.1603053
-9.196129,-3.866636,-1.651999,-0.9923664,2.045802,1.145038
