ax,ay,az,gx,gy,gz
-0.2777274,-9.617508,-2.176329,0.1145038,-0.03053435,0.7099237
-0.2082956,-9.629479,-2.305616,-1.21374,0.3969466,0.8625955
-0.1771709,-9.672575,-2.319981,-3.832061,5.10687,0.5725191
-0.5674258,-9.227253,-2.501941,-19.47328,6.969466,-4.091603
-0.3040636,-8.5473,-2.885013,-51.03053,-1.564886,-10.65649
3.366248,-7.874529,-4.570531,-63.48092,51.70229,-2.885496
-1.357512,-10.49857,-2.631228,-24.51145,-39.93893,-4.519084
-1.189918,-4.386178,-5.662287,-60.71756,-112.2977,-36.8855
3.53863,-6.945579,-5.269638,-118.0687,20.61832,-6.427481
-1.007959,-6.785168,-5.521029,-78.70229,23.89313,14.23664
-0.521936,-3.040636,-2.008735,-64.33588,28.41985,-22.77863
2.056619,-4.173094,-7.082048,-158.2519,12.85496,-7.015267
0.0,-7.261614,-11.98298,-63.94656,4.122138,-58.49618
2.604892,-3.986346,-11.34133,-16.32061,-4.114504,-33.44275
3.270479,2.698265,-18.72026,59.96947,-90.29771,95.82442
7.175423,5.200206,-19.47204,15.08397,37.0458,-5.648855
2.281674,0.4477157,-11.71722,-6.396946,20.92366,4.419847
-2.89459,-0.6440403,-10.21606,-59.54962,8.076336,-65.78626
3.378219,-2.410961,-13.30458,-58.45802,29.9771,-21.22901
1.417367,-0.1604115,-10.33816,-20.68702,14.93893,-28.29008
2.331953,1.319205,-10.17536,-14.8626,6.206107,-3.854962
2.075773,0.914585,-9.631873,-3.832061,5.59542,-5.648855
2.252944,1.35033,-9.560047,1.389313,-9.900764,2.114504
1.869872,0.6823475,-9.634268,-3.580153,-0.8167939,-0.610687
2.272097,1.276109,-10.1179,-9.740458,5.664122,-4.038168
2.013524,1.058237,-9.555259,-20.13741,11.06107,-15.66412
2.267309,1.493982,-9.785102,-14.72519,7.206107,-12.80153
2.454057,1.697489,-9.674969,-8.671756,1.496183,-7.08397
2.197877,2.018312,-9.598354,-6.053435,-0.259542,-3.496183
1.795651,2.276886,-8.525752,-15.16794,6.793893,-7.160306
