ax,ay,az,gx,gy,gz
0.7876924,-5.475539,-7.359776,-3.519084,-3.923664,-2.290076
1.644816,-5.793968,-8.420407,2.435115,-4.854962,-1.137405
1.369483,-6.054936,-8.046912,10.52672,1.114504,3.427481
1.216254,-5.805939,-7.984663,3.251908,-0.01526718,-1.70229
0.8283938,-6.035782,-7.496245,-4.610687,-11.06107,-11.87023
1.206678,-6.83784,-8.406042,10.9771,-18.86259,-19.07634
0.7637503,-5.796362,-7.10599,-10.69466,-30.30534,-19.00763
0.6871359,-6.196194,-8.190564,-9.725191,-43.8855,-28.50382
1.067814,-5.748478,-7.644686,0.7862596,-50.47328,-27.0229
0.7422025,-6.157887,-7.558495,-10.18321,-65.62595,-28.45038
0.6991069,-5.825093,-7.972692,14.82443,-82.60305,-42.58015
1.21386,-5.195418,-5.166687,58.12977,-61.0458,-5.312977
1.984793,-3.236961,-2.169147,82.86259,25.46565,18.76336
0.02873042,-4.982334,-7.412448,-87.30534,68.03053,-3.145038
4.738125,-6.26802,-8.78672,-48.65649,-6.969466,97.53435
3.397372,16.39071,-19.6133,-153.5954,229.6031,250.1298
-19.6133,-19.6133,-4.465186,-250.1374,-250.1374,-250.1374
3.801992,4.400543,-13.57273,-77.51908,196.2672,164.9008
-3.342306,3.078943,-5.516241,-58.83206,-68.58778,30.71756
-6.330269,19.6127,-12.73476,-250.1374,47.03817,142.3817
-9.246407,10.47463,7.984663,-60.69466,36.53435,21.03053
6.83784,9.356541,-4.067749,-81.28244,20.75573,38.21374
5.125986,8.015787,-2.367866,26.70229,3.923664,58.16794
4.651934,7.410054,-3.160346,16.24427,9.129771,52.31298
6.294356,6.095637,-4.129998,-11.52672,14.10687,33.23664
6.009446,6.126762,-3.268085,-16.19084,13.33588,35.05344
7.383718,5.868188,-2.181118,-11.06107,7.48855,23.58015
7.149086,5.693412,-2.41575,-3.961832,4.145038,18.64886
7.218518,5.827487,-2.540248,2.770992,1.427481,17.80916
7.548918,5.341464,-2.715025,0.4045802,5.129771,15.0
