ax,ay,az,gx,gy,gz
-0.1795651,-8.848969,-5.075707,-3.862595,5.320611,2.198473
-0.1963245,-8.748413,-4.951209,-6.114504,7.587786,1.80916
-0.2011129,-8.796297,-4.84347,-5.610687,10.66412,3.366412
0.1173159,-9.002198,-4.350265,11.92366,2.458015,8.160305
0.03351882,-8.784326,-4.972757,-4.221374,10.27481,5.938931
0.03830723,-8.429984,-5.176264,-15.12977,14.83206,1.946565
-0.6895301,-9.646238,-4.944026,-15.41985,6.763359,-7.793893
1.194707,-7.309498,-7.024588,-60.29008,6.534351,-16.30534
-3.857059,-7.474698,-6.189012,34.66412,35.66412,24.56489
0.7134721,-5.822699,-7.010222,-26.56489,-3.068702,26.0
-0.1963245,-8.329428,-4.285621,-2.587786,23.67939,13.55725
-1.149217,-7.343017,-4.55856,21.9313,0.9465649,13.46565
-0.5363012,-7.515399,-3.830723,-1.282443,-16.79389,0.7251908
-0.6775591,-9.911995,-4.07972,22.1145,-16.16031,21.60305
-0.5267244,-9.562442,-4.477157,14.71756,-26.35878,-6.40458
-2.475605,-11.70286,-5.683835,19.28244,-61.93893,-13.90076
-0.4381389,-8.137892,-1.805228,-15.00763,-1.29771,4.824428
-1.35033,-7.113173,-4.994305,-7.610687,6.931298,-0.1908397
-0.3663129,-5.027823,-4.173094,-8.526717,18.29771,4.89313
-1.391031,-7.374141,-4.213795,5.259542,3.19084,3.290076
-1.323994,-9.634268,-5.74369,-3.229008,-13.70229,8.946565
0.593762,-9.804255,-5.8634,11.51908,7.0,12.0229
-1.398214,-8.89446,-6.435614,27.91603,17.22137,5.580153
-0.3567361,-7.450756,-2.470816,-11.87786,-19.89313,7.908397
-0.2681506,-6.493075,-1.565808,8.335877,-8.122137,4.59542
-0.6655881,-9.646238,-3.921702,17.13741,-11.94656,0.5114504
-0.2202666,-11.07558,-8.099585,6.396946,10.61832,3.221374
0.4333505,-8.149862,-5.262455,-5.038168,3.854962,-2.328244
-0.5386954,-6.457162,-3.852271,-25.73282,4.08397,3.908397
-1.149217,-6.852205,-4.010288,-2.946565,7.80916,0.9465649
-1.091756,-8.303091,-4.326323,17.0229,9.312977,-2.610687
0.02873042,-9.607931,-7.960721,-29.0916,-5.610687,5.717557
-0.3543419,-7.340622,-4.730943,-43.19084,1.496183,4.038168
-1.09415,-5.781997,-3.454833,9.793893,18.0916,0.1984733
-0.8858546,-9.131485,-6.593631,20.30534,-1.259542,2.030534
0.1268927,-8.63828,-5.995081,3.48855,12.38168,12.45802
0.06224924,-10.30464,-9.129091,5.572519,8.351145,5.900764
-2.456451,-8.255207,-7.687782,-50.29008,-1.129771,-10.57252
-1.063026,-6.054936,-3.193865,-33.14504,14.80916,-4.175572
-0.7637503,-7.589619,-5.894525,2.977099,4.442748,-2.473282
-1.66397,-9.356541,-4.79798,17.41221,-12.26718,-12.94656
0.3950433,-10.07959,-6.339846,-10.0916,-3.839695,8.511451
0.2154782,-9.792285,-7.81228,10.38168,13.06107,4.717557
0.4884171,-6.828263,-1.455675,-37.33588,-7.290076,-1.534351
0.2513912,-7.989451,-1.972822,-5.725191,-1.374046,5.412214
-0.9792285,-11.04685,-4.501099,28.19847,3.099237,13.32824
0.5746084,-10.64223,-9.083601,10.16794,-7.480916,-7.480916
-1.805228,-8.372523,-4.469975,-24.73282,-12.40458,-16.01527
0.002394202,-6.622362,-3.655946,-11.53435,9.38168,4.938931
-1.455675,-8.226477,-4.414908,2.206107,-0.1984733,-6.129771
-1.757344,-9.167398,-4.570531,11.45038,-12.03817,-2.0
-0.3136404,-7.563283,-5.298368,1.40458,-1.282443,7.374046
-0.1460463,-10.29267,-6.337452,15.15267,-7.664122,-3.618321
-1.704672,-7.206547,-5.147533,-5.908397,2.183206,-7.519084
-0.4141969,-7.510611,-4.489128,-2.572519,10.0458,2.549618
-0.7972692,-8.74123,-6.47871,21.21374,4.557252,4.229008
-1.510741,-9.011775,-4.606444,11.32061,-8.450381,-4.526718
0.4668693,-10.58955,-7.48188,20.82443,8.946565,10.58779
-1.587356,-11.71962,-8.259995,14.54962,4.274809,-1.832061
-2.351106,-6.438008,-2.913743,-25.9084,-17.54198,-4.625954
-0.56982,-7.110779,-2.952051,6.70229,8.954199,2.717557
-1.70946,-8.647857,-5.030218,13.0458,0.2671756,0.9007633
0.4094085,-8.164227,-5.348647,-11.40458,3.0,4.259542
-1.54426,-9.694122,-6.246472,1.580153,1.992366,-5.969466
-0.4644751,-8.461109,-4.831499,-16.46565,-0.6717557,-5.48855
0.6991069,-9.093178,-4.977545,0.3129771,2.946565,4.89313
0.08379706,-9.986216,-5.042189,15.47328,-0.832061,10.06107
-1.582567,-7.917625,-5.12838,-12.41985,-10.09924,-12.08397
-2.063802,-8.315063,-3.825934,35.14504,-19.17557,8.358779
2.087744,-10.89122,-10.15141,15.14504,14.17557,2.259542
