ax,ay,az,gx,gy,gz
0.9457096,-9.421184,2.640805,0.7251908,0.0610687,-0.07633588
0.9840169,-9.41879,2.674323,0.9389313,-0.4198473,1.061069
1.000776,-9.411607,2.717419,0.4961832,0.2061069,-0.2442748
1.022324,-9.41879,2.545036,-0.9312977,1.236641,-0.9541985
0.9528923,-9.41879,2.65517,0.8167939,0.9770992,0.3053435
0.9552865,-9.514558,2.561796,5.076336,-1.916031,-1.519084
1.036689,-9.394848,2.834735,7.053435,-3.244275,0.648855
1.024718,-9.320627,2.82037,4.305344,-1.839695,-0.1221374
0.9433154,-9.275137,2.853889,1.687023,-1.030534,0.4961832
0.782904,-9.299079,2.942474,1.916031,-7.70229,4.580153
1.034295,-9.411607,2.839523,0.8473283,-9.450381,2.885496
1.079785,-9.346964,2.801216,-1.030534,-5.40458,0.4580153
0.7062895,-9.481039,2.767697,-1.923664,-11.54962,1.778626
0.9457096,-9.495404,2.588132,-3.236641,-18.51145,-0.5725191
1.455675,-9.399636,2.463634,-10.68702,-14.61832,-9.198473
2.207454,-8.887277,2.238579,-10.10687,9.664123,-14.21374
2.23379,-9.931149,2.458845,-11.64886,9.778625,-9.145039
1.637634,-9.397242,2.853889,-12.22137,8.740458,-14.10687
1.458069,-9.138668,3.069367,-18.54198,1.961832,-15.05344
1.537078,-8.834604,2.585738,-3.862595,-3.656489,7.572519
2.817975,-8.461109,1.989582,-3.984733,21.61832,15.19847
3.026271,-9.864111,1.49877,12.50382,12.18321,8.022901
0.7326257,-9.751583,1.369483,-2.900763,15.35878,13.96183
1.113304,-9.516952,1.443704,-5.122138,5.496183,-0.5954198
0.6967127,-9.586384,1.625663,-8.480916,3.992366,-15.16794
1.343147,-9.5385,1.798046,-9.21374,29.03053,-26.20611
1.946486,-10.6135,1.031901,-23.10687,29.60305,-64.1145
5.422867,-9.950302,-0.05267244,-49.38168,-5.427481,-66.82442
5.197812,-8.360553,-0.8595184,-42.70992,-12.32061,-67.28244
5.688623,-6.394913,-0.7900866,-27.49618,-14.84733,-84.70992
7.551312,-6.861782,-1.601721,-28.91603,-22.47328,-52.64885
7.359776,-4.41012,-2.662352,-19.96183,-21.64122,-36.45802
9.021352,-4.999093,-3.260903,-9.961832,-30.70992,-8.580153
7.800309,-4.323928,-3.811569,4.183206,-18.27481,-3.206107
8.508993,-4.041412,-4.326323,15.54198,0.3587786,-1.923664
7.575254,-4.089296,-3.835511,10.84733,8.480916,3.740458
7.699753,-4.565742,-3.600879,8.671756,8.709924,12.66412
7.592013,-4.838682,-3.270479,3.610687,8.664123,8.740458
7.292738,-5.288792,-3.081338,2.045802,4.015267,3.572519
7.831434,-5.12838,-2.863465,0.06870229,4.541985,5.312977
7.551312,-5.329493,-3.057395,-0.6870229,7.961832,6.610687
7.706935,-5.334281,-2.82037,12.07634,11.55725,17.83206
7.285556,-5.904101,-2.23379,20.85496,10.22137,35.1832
6.770802,-6.631939,-1.675941,27.58779,6.763359,43.87023
6.34224,-7.448361,-1.297657,28.86259,6.801527,47.29008
5.693412,-7.493851,-1.051055,30.37405,0.6946565,43.9313
5.125986,-8.14268,-0.581791,23.55725,8.458015,33.74046
3.852271,-8.959103,0.6248866,37.22137,-5.251908,39.67939
3.739743,-9.095572,1.225831,44.10687,8.267176,33.70992
2.494758,-9.583989,1.99437,35.44275,6.335878,37.03817
0.7637503,-9.691729,3.320758,23.46565,-0.778626,33.24427
0.4932055,-9.354146,3.22499,-3.374046,2.984733,12.67939
-0.08379706,-8.497022,3.095703,-5.91603,-11.15267,8.236641
0.6009446,-9.097966,2.753332,-11.24428,-8.083969,-4.625954
1.237802,-9.354146,1.991976,-0.5114504,1.824428,-12.69466
1.223437,-9.176975,2.284068,3.282443,-14.58015,1.015267
0.770933,-9.428367,2.633622,-1.236641,5.923664,-3.40458
0.85473,-9.397242,2.930503,3.083969,0.3129771,0.3587786
1.11091,-9.13388,2.966416,4.022901,1.656489,0.3587786
1.098939,-9.19134,3.155558,4.977099,2.465649,1.259542
1.237802,-9.184157,3.157952,3.458015,-0.3740458,1.610687
1.125275,-9.28232,3.29921,-0.5114504,0.5648855,-2.473282
1.034295,-9.138668,3.196259,-0.3435115,-0.6335878,-1.610687
1.271321,-9.193734,2.990358,-0.4122138,-1.564886,0.6717557
1.280898,-9.263166,3.102885,-0.648855,-1.076336,0.4503817
1.347936,-9.193734,2.983175,-1.267176,-0.2977099,-1.496183
1.271321,-9.234436,3.052607,-2.19084,-0.9541985,-1.717557
1.335965,-9.277532,3.011906,-3.412214,-2.206107,-0.7709923
1.364695,-9.272743,2.741361,-3.343511,-0.648855,2.29771
1.39582,-9.380483,2.6839,-1.534351,-2.572519,1.427481
