ax,ay,az,gx,gy,gz
-0.5123591,-8.497022,-5.238513,9.328244,-1.48855,1.465649
-0.6703765,-8.683769,-5.080496,6.824428,-2.740458,-0.3664122
-0.8475474,-9.018958,-4.802769,-6.251908,-2.541985,-1.778626
-0.6440403,-8.513782,-5.147533,-6.541985,-9.778625,-5.694656
-0.8690952,-9.011775,-4.786009,-0.6564885,-0.5496183,-1.770992
-0.6129156,-8.197746,-4.189853,-16.70992,0.7022901,0.4580153
-0.6655881,-8.76996,-5.329493,7.801527,0.5648855,-0.778626
-0.6560113,-8.78672,-5.224148,0.2061069,1.763359,0.4045802
-0.6224924,-8.671799,-5.049371,0.3664122,1.916031,0.9160305
-0.629675,-8.829816,-5.085284,-0.1603053,1.290076,0.9389313
-0.7541735,-8.611943,-4.996699,-0.5343512,1.458015,1.007634
-0.581791,-8.798691,-5.078102,-0.610687,1.503817,1.099237
-0.6153098,-8.446744,-5.169082,-9.59542,2.267176,0.4961832
-0.3567361,-7.943961,-5.370194,-18.12977,5.129771,2.267176
-1.000776,-6.998251,-5.358223,-41.72519,-0.3358779,2.832061
-0.7924808,-3.55539,-4.522647,-58.03817,-7.709924,-16.96183
-0.1795651,-5.295974,-4.311957,-107.855,-34.41985,18.9084
-1.702277,-16.29254,-13.21599,6.442748,-7.389313,-6.80916
-5.133168,-19.6133,-19.6133,32.41221,-8.450381,13.87786
3.201048,-1.675941,-12.97657,81.12214,128.5954,17.16794
2.736573,9.588778,-6.727707,71.771,-1.175573,-2.618321
6.871359,-12.94545,-12.38281,158.9695,12.96947,-53.96183
-0.9696517,6.260838,1.290475,-54.51908,-9.351145,17.67939
-4.414908,-3.287239,-9.478644,-55.66412,-60.74809,60.43512
-8.647857,-19.6133,-19.6133,235.7863,15.10687,-70.01527
-5.17387,-2.973598,-2.691083,-73.45802,7.458015,9.061069
2.746149,-3.090914,-3.004723,38.25954,27.71756,7.480916
-7.108385,-12.04044,-10.39323,-21.67939,-6.763359,-19.14504
-0.2035071,-7.096414,-3.251326,-25.93893,-8.885496,3.984733
-0.1604115,-7.745243,-5.250484,-6.465649,-0.6183206,1.618321
-1.867477,-8.760384,-6.488286,9.106871,-4.709924,-10.16794
-0.8882488,-7.869741,-4.010288,3.816794,-8.068703,4.206107
-0.9576807,-8.157045,-6.114791,-7.10687,1.938931,-0.7938931
-0.8259995,-7.354988,-5.975927,-12.99237,3.152672,-0.4656488
-0.8882488,-3.150769,-4.759673,-37.52672,3.526718,-13.17557
-1.108515,-6.476315,-1.345541,-29.26718,6.78626,1.648855
3.160346,-13.97735,-19.6133,8.244275,12.51908,12.74046
-1.587356,-19.6133,-17.24783,16.12977,15.16031,25.41985
-6.79235,-19.31403,-17.42021,92.03053,-14.85496,-21.58015
-19.6133,12.71321,19.6127,250.1298,-51.94656,-15.64886
-3.064578,10.32859,-2.750938,-250.1374,-8.106871,21.65649
-0.009576806,-6.155493,-4.750096,190.084,-1.496183,-16.30534
0.01197101,2.990358,0.1292869,-40.29008,21.29771,6.08397
-19.6133,-19.06263,19.6127,-250.1374,-92.27481,-0.870229
-1.268927,-11.99734,-0.5123591,89.66412,50.15267,-2.801527
-1.805228,-3.136404,-4.683059,-49.80916,-31.79389,-26.74809
-1.400608,-8.827422,-4.659117,-66.0,-25.0458,-0.2290076
1.534683,-6.282385,-4.350265,25.85496,9.717557,-7.748092
-2.073379,-8.731653,-7.319075,-11.98473,-2.480916,-12.58779
-0.8882488,-8.449138,-6.059724,-1.770992,-2.732824,-7.877862
-0.6200982,-8.066066,-5.389348,5.396946,-11.24428,-2.007634
-1.264138,-8.178593,-6.521805,-8.267176,-1.656489,-4.679389
-0.3016694,-7.345411,-6.301539,-17.0229,3.19084,-0.3053435
-0.6368576,-6.418855,-6.351817,-25.96947,8.671756,1.931298
-1.862689,-5.102044,-4.819528,4.21374,-4.045802,3.045802
0.5315128,-3.440468,-6.330269,-46.50382,-1.328244,-19.16794
9.251195,-19.6133,-19.6133,36.00763,-15.34351,-15.43511
-4.841076,-19.6133,-19.6133,75.62595,-5.503817,-10.19084
-19.6133,11.90637,19.6127,250.1298,-69.31298,-26.9771
0.07182605,10.47703,1.113304,-250.1374,-15.16031,2.290076
-6.900089,1.443704,19.6127,160.0,-16.12977,-29.08397
-1.256956,3.234566,0.4046201,-31.32061,-20.54198,-8.145039
-13.6278,-19.6133,-19.6133,-230.8855,-9.458015,-24.63359
4.094085,-8.449138,-7.457938,109.8244,34.98473,-9.007633
-2.425326,-3.866636,-4.707001,-20.39695,0.5267176,-14.62595
-1.527501,-7.079654,-6.612785,-89.01527,-23.34351,23.67175
-2.291251,-8.166622,-4.053383,55.20611,2.519084,-11.28244
-0.5099649,-7.48188,-7.110779,1.343511,-2.557252,3.328244
-1.288081,-8.341399,-6.655881,-18.51908,11.06107,8.854961
-0.7876924,-8.092402,-6.117185,3.801527,4.244275,13.83206
