ax,ay,az,gx,gy,gz
-0.7374141,-9.543288,2.628834,-2.70229,2.427481,-1.465649
-0.5985504,-9.414001,2.463634,-2.763359,1.083969,-0.4045802
-0.6440403,-9.600749,2.504335,-4.641222,1.755725,-1.763359
-0.6248866,-9.660604,2.554613,0.1145038,-2.870229,-4.625954
-0.4812346,-9.591172,2.662352,4.38168,-0.519084,-0.9083969
-0.3830723,-9.591172,2.604892,4.877862,-1.549618,1.145038
-0.3950433,-9.483433,2.719813,3.236641,2.091603,-0.2748091
-0.5434838,-9.399636,2.748544,1.21374,0.961832,-1.656489
-0.1963245,-9.476251,2.576161,-3.335878,1.305344,-6.045802
0.3758897,-9.435549,2.183512,-11.60305,6.603054,-16.69466
0.7924808,-8.698134,1.431733,-25.58015,1.687023,-34.67939
1.666364,-8.985439,1.247379,-25.15267,1.175573,-31.69466
1.18513,-8.271967,0.521936,-33.43512,-9.320611,-31.00763
1.601721,-8.279149,0.5985504,-14.87786,-12.16031,-16.48092
2.767697,-9.911995,1.33357,1.503817,-11.41221,-3.801527
2.106898,-9.627085,-0.1340753,6.312977,4.664122,-4.48855
2.542642,-10.01973,0.5865794,20.89313,-2.267176,3.19084
3.114856,-10.48182,1.16837,27.71756,8.824428,17.59542
1.18513,-10.23282,2.576161,21.61832,13.43511,37.52672
-0.2035071,-9.270349,2.885013,20.38168,19.48855,40.51908
-0.6775591,-10.11311,3.792415,21.71756,14.73282,37.22137
-1.051055,-9.768343,3.699042,23.21374,1.282443,28.30534
-1.039083,-8.942344,3.663129,13.45802,-1.984733,16.69466
-1.623269,-9.030929,3.945644,18.9771,7.541985,11.57252
-1.814805,-8.710106,4.326323,13.22901,1.167939,9.198473
-2.06859,-8.520964,4.668694,6.473282,-1.839695,6.282443
-2.032677,-8.578424,4.627992,6.236641,-2.358779,5.717557
-2.133234,-8.377312,4.865018,5.854962,-0.0610687,3.847328
-2.281674,-8.212111,5.039794,1.236641,0.9465649,1.923664
-2.367866,-8.334216,4.979939,0.6335878,-0.03053435,0.9236641
-2.229002,-8.360553,4.994305,0.7709923,0.4503817,-0.07633588
-2.312799,-8.339005,4.93445,0.7099237,-0.3664122,-0.1984733
-2.312799,-8.274361,4.929661,0.2977099,-0.4274809,-0.1908397
-2.264915,-8.348581,4.979939,-0.5114504,0.2061069,-0.5572519
-2.305616,-8.358158,4.927267,0.2442748,0.2366412,1.129771
-2.269703,-8.327033,5.027823,0.9770992,-0.389313,0.6717557
-2.312799,-8.236053,5.006276,-3.396947,-1.587786,-1.290076
-2.243367,-8.279149,4.977545,-5.076336,-4.030534,-4.198473
-2.145205,-8.439561,4.951209,-4.816794,1.442748,-7.328244
-1.82917,-8.573636,4.730943,-4.244275,-0.02290076,-4.389313
-1.857901,-8.647857,4.642357,-0.0610687,-0.4656488,-0.7480916
-1.929727,-8.53054,4.709395,0.4351145,-1.648855,0.08396947
-1.821988,-8.327033,4.690241,-3.816794,-2.290076,-4.435114
-2.018312,-8.401254,4.764462,-14.14504,-3.038168,-18.63359
-1.532289,-8.880095,4.539406,-24.67175,-9.587787,-39.28244
0.08140286,-10.89122,4.1707,-68.19084,-37.44275,-82.44275
2.219425,-10.27591,2.276886,-34.47328,-17.9084,-42.59542
3.066972,-9.667787,1.292869,-16.60305,-3.938931,-16.10687
2.801216,-10.35492,1.592144,-13.15267,7.755725,4.70229
2.748544,-9.730036,1.37906,-3.541985,10.63359,9.946565
1.860295,-8.726865,1.280898,-3.572519,3.610687,15.83206
1.309628,-7.915231,1.142034,7.603054,11.78626,27.66412
1.13964,-8.176199,1.063026,14.89313,5.366412,32.58779
0.7900866,-8.844181,1.771709,15.25191,0.6259542,19.91603
0.5985504,-9.222465,1.596933,11.18321,-0.8473283,9.877863
-0.1556231,-9.588778,1.917756,6.458015,1.564886,6.587786
-0.1436521,-9.564836,2.138022,2.320611,2.679389,-0.832061
-0.272939,-9.543288,2.384625,3.587786,0.8778625,-0.6564885
-0.3711013,-9.490616,2.545036,4.61832,-0.4656488,2.290076
-0.3375824,-9.624691,2.492364,2.328244,-0.5343512,5.641222
-0.4405331,-9.497798,2.549825,3.251908,-0.07633588,4.175572
-0.5003881,-9.514558,2.679112,1.641221,0.5801527,4.152672
-0.641646,-9.574412,2.571373,0.8015267,-0.6641222,2.694656
-0.557849,-9.540894,2.681506,-0.389313,0.1603053,0.3053435
-0.6991069,-9.514558,2.600103,-0.870229,0.6946565,0.6412213
-0.7110779,-9.564836,2.70066,0.0610687,0.3664122,-0.3587786
-0.7422025,-9.490616,2.640805,0.03816794,0.5267176,-0.06870229
-0.6679823,-9.449914,2.755726,-0.3129771,-0.9083969,0.1374046
-0.629675,-9.457097,2.614468,-0.4503817,-0.8549618,-1.282443
-0.6847417,-9.509769,2.614468,-0.2900764,-0.3129771,-0.5114504
