ax,ay,az,gx,gy,gz
0.8044518,-9.299079,-3.112462,-3.748092,-1.78626,0.870229
0.4979939,-9.306262,-3.428497,-1.274809,1.984733,0.8091603
0.6775591,-9.387665,-3.406949,-1.320611,0.1450382,1.862595
0.5793968,-9.289502,-3.473987,-1.900763,1.572519,-1.427481
0.6272808,-9.229648,-3.476381,-0.1679389,4.175572,0.1526718
0.6871359,-9.294291,-3.462016,-0.5343512,-0.129771,0.1374046
0.5482722,-9.315839,-3.488352,-1.78626,1.29771,0.007633588
0.6943185,-9.382876,-3.387795,1.366412,1.335878,0.1679389
0.6440403,-9.315839,-3.375824,2.954198,-1.274809,-1.274809
0.5482722,-9.323022,-3.292027,0.1908397,1.656489,-3.572519
0.521936,-9.318233,-3.3447,-3.839695,4.984733,-10.31298
0.8212111,-9.284714,-3.303998,-6.160306,9.358779,-16.08397
0.7852982,-9.416395,-3.552995,-7.931298,10.00763,-27.15267
1.522712,-9.248801,-3.502717,-23.35114,3.923664,-34.58779
1.908179,-8.731653,-4.065354,-13.41985,-3.114504,-39.57252
3.165135,-8.578424,-4.55856,-3.541985,8.954199,-37.73283
2.978387,-8.348581,-3.938462,-6.633588,-3.19084,-46.0687
4.218584,-7.728483,-4.276044,-6.290076,-1.89313,-51.0916
4.144363,-7.479486,-3.96001,-3.435115,0.8473283,-57.64122
5.159505,-6.569689,-4.156334,-7.152672,-1.160305,-67.32061
5.377377,-5.722142,-3.476381,-21.25954,1.51145,-81.37405
6.871359,-4.276044,-4.388572,-40.60305,2.549618,-64.67175
8.121132,-4.702212,-5.506664,-22.1145,53.77099,-49.0229
7.673417,-1.580173,-3.572149,-40.22901,41.28244,-39.68702
9.691729,-0.2346318,-3.519476,-46.03053,-2.328244,-46.15267
9.272743,-0.3399766,-3.031059,-37.72519,7.10687,-36.51145
9.516952,-0.3375824,-4.460398,-3.793893,-1.244275,-19.58779
8.226477,1.137246,-3.078943,19.84733,-19.31298,2.152672
8.858546,-0.1675941,-5.274426,5.694656,-25.82443,-1.396947
8.377312,-0.5913678,-4.857835,9.229008,-8.923664,-0.01526718
8.334216,-0.2298434,-5.600038,-9.732824,2.099237,6.236641
7.991845,-0.04309563,-4.297592,-4.725191,-2.244275,6.229008
8.307879,-0.4572925,-4.91769,-5.427481,-1.343511,2.48855
8.350976,-0.581791,-4.972757,0.2824428,-2.572519,1.29771
8.444349,-0.3351882,-5.147533,-2.748092,-2.954198,0.5114504
8.154651,-0.2825158,-4.881777,-0.5496183,-0.7862596,-0.610687
8.188169,-0.4189853,-4.958392,-0.6412213,3.236641,0.4656488
8.250419,-0.4285621,-4.946421,-1.725191,1.870229,1.114504
8.192958,-0.4022259,-4.730943,-1.129771,-1.015267,-0.2290076
8.183381,-0.3806781,-4.958392,-1.40458,0.6259542,-0.1145038
