ax,ay,az,gx,gy,gz
-0.521936,-9.466674,0.5291186,1.137405,0.4503817,-0.1145038
-0.3950433,-10.01973,0.1364695,11.09924,0.9847328,1.877863
-0.4884171,-9.742006,0.5770026,12.10687,0.01526718,5.206107
-0.8619126,-9.840169,0.9600749,6.0,0.3129771,0.05343511
-0.6081272,-9.696517,0.4932055,4.51145,-1.053435,3.564885
-0.5410896,-10.06044,0.4381389,11.9084,-2.793893,3.78626
-0.8236053,-10.15141,0.7422025,19.96183,1.358779,6.274809
-0.9648633,-9.842564,1.467646,17.00763,5.465649,8.129771
-0.8044518,-9.52174,1.699883,15.67176,7.641222,9.732824
-1.09415,-9.476251,2.375048,7.664122,7.572519,16.27481
-1.66397,-9.49301,2.032677,8.740458,9.389313,12.91603
-2.375048,-9.220071,3.045424,6.038168,3.160305,13.41985
-1.936909,-9.315839,2.23379,5.824428,0.9312977,10.58015
-2.497152,-9.490616,2.020706,5.59542,-1.572519,8.274809
-2.176329,-9.454702,2.207454,10.1374,0.4732824,9.671756
-2.300828,-9.255983,2.382231,14.29008,2.435115,12.9542
-2.602497,-9.193734,2.705448,21.20611,9.38168,16.0458
-2.932897,-8.973468,3.330335,19.65649,10.64122,15.22137
-3.541024,-8.714894,3.801992,15.98473,10.07634,16.1145
-3.763685,-8.271967,3.651158,11.83969,5.801527,18.9542
-3.62961,-8.219295,4.048595,20.64122,16.1145,16.90076
-4.297592,-7.941567,4.374207,18.19847,18.83206,14.19847
-4.824317,-7.589619,4.388572,16.63359,16.65649,13.55725
-5.2026,-7.225701,4.369418,14.98473,14.78626,12.61832
-5.185841,-7.630321,4.242526,16.39695,20.19847,13.35114
-5.374983,-6.722919,4.663905,15.26718,20.47328,12.30534
-6.306327,-6.208165,4.019865,5.099236,15.87786,4.366412
-5.997475,-6.572083,4.039018,10.45038,12.56489,17.12214
-6.215348,-6.495469,4.414908,8.297709,7.694656,14.39695
-6.725313,-6.315904,4.479551,7.40458,6.641222,18.74809
-6.76362,-5.786786,4.431667,7.21374,4.580153,21.87786
-6.955156,-5.827487,4.29041,8.541985,8.511451,23.8855
-7.359776,-5.025429,4.101267,5.717557,8.633588,25.37405
-7.565677,-4.927267,4.371812,3.763359,8.488549,28.35878
-7.769185,-4.563348,4.149151,8.923664,8.648855,27.54962
-8.188169,-3.655946,3.98874,11.26718,5.625954,26.58015
-9.179369,-3.29921,4.548983,-6.572519,4.351145,15.60305
-8.434772,-2.961627,4.022259,-10.52672,10.21374,5.664122
-8.916007,-3.488352,3.579332,-7.458015,12.41221,1.114504
-8.607155,-3.921702,3.500323,-1.496183,17.65649,8.076336
-8.796297,-3.560178,3.335123,4.541985,21.8855,12.0687
-9.064447,-3.028665,2.904167,1.48855,19.09924,12.64122
-9.315839,-2.882619,2.719813,-3.122137,20.98473,14.15267
-9.41879,-2.743755,2.446874,-3.328244,19.36641,14.05344
-9.540894,-2.643199,2.03986,-2.946565,22.34351,16.03817
-9.696517,-2.48997,1.491588,7.259542,27.59542,18.10687
-10.49857,-1.750161,1.206678,-2.59542,22.96183,14.84733
-9.804255,-1.769315,0.3567361,-0.2671756,24.10687,16.63359
-9.600749,-1.307234,0.1508347,3.961832,33.61069,23.12977
-9.730036,-0.6105214,0.1029507,3.564885,39.22137,34.26717
-9.952697,-0.08619126,-2.044648,8.38168,46.16794,45.9771
-10.90319,0.7206547,-1.56102,23.18321,2.908397,42.65649
-9.895236,1.235408,-1.580173,15.87023,2.29771,37.08397
-9.818622,2.348712,-1.915361,-2.885496,-6.450382,21.10687
-9.880871,1.656788,-0.9433154,-23.35114,-15.12977,-5.89313
-11.08755,0.2537854,-1.458069,10.57252,-43.80916,-56.19847
-8.485051,-0.3112462,-0.3519476,-0.3740458,0.05343511,3.274809
-9.689334,1.568202,0.5841852,-8.259542,2.977099,-5.748092
-9.813833,1.288081,-0.4501099,-6.374046,7.80916,-3.671756
-10.00058,0.6655881,-0.225055,-1.122137,14.96183,-1.129771
-10.25437,0.8882488,-0.6368576,3.80916,3.175573,0.3740458
-9.911995,1.256956,-0.7900866,0.3129771,-2.938931,-2.625954
-10.27831,1.058237,-0.5171475,-11.57252,-5.801527,-2.732824
-9.785102,0.6368576,-0.2202666,-6.709924,-2.442748,-3.564885
-9.952697,0.8140285,-0.3830723,0.8854962,3.229008,0.0610687
-9.976639,0.8523358,-0.3495534,2.580153,6.122138,1.541985
-10.12747,0.8355764,-0.6105214,0.03816794,5.007634,1.061069
-10.02213,0.9792285,-0.6847417,0.4961832,2.503817,0.3587786
-10.10593,0.9289502,-0.7517793,-0.0610687,0.01526718,-0.08396947
-10.04128,0.9241618,-0.5722142,-0.259542,-0.7175572,-0.1908397
