ax,ay,az,gx,gy,gz
-1.247379,-8.987833,3.643975,-0.1908397,0.3435115,-3.748092
-1.410185,-9.306262,3.471592,3.19084,2.045802,-2.969466
-1.288081,-9.366117,3.39019,0.9847328,-2.221374,-2.320611
-1.419762,-9.114726,3.385401,-0.3206107,-6.61832,3.374046
-1.130063,-9.224859,3.385401,1.10687,-6.137404,4.229008
-1.206678,-9.28232,3.543418,-0.8473283,2.954198,-3.740458
-1.247379,-9.100361,3.476381,-3.793893,0.351145,-3.946565
-1.316811,-9.291897,3.397372,0.5877862,0.4427481,-1.625954
-1.163582,-9.208099,3.387795,-1.625954,1.206107,0.3435115
-1.142034,-9.198523,3.416526,-6.015267,-2.564885,1.427481
-1.058237,-9.409213,3.155558,-5.465649,-1.480916,-1.412214
-1.221043,-9.291897,3.246537,-1.19084,0.5648855,-0.4351145
-1.18513,-9.227253,3.129222,-0.3282443,-1.152672,-0.4351145
-1.130063,-9.275137,3.157952,-0.3282443,-0.7862596,0.1374046
-1.177947,-9.387665,3.107674,-0.3587786,-1.51145,0.4503817
-1.199495,-9.382876,3.222595,3.694656,-1.770992,2.732824
-1.30484,-9.26556,3.323152,2.900763,0.0,1.603053
-1.180341,-9.255983,3.325546,1.572519,0.1145038,-0.7709923
-1.101333,-9.198523,3.44765,0.648855,3.854962,-2.358779
-1.015141,-9.239224,3.363853,3.236641,7.145038,-2.725191
-1.132457,-9.220071,3.430891,5.076336,6.587786,-3.366412
-0.9816227,-9.188946,3.507505,2.030534,4.748092,-3.877863
-1.053449,-9.150639,3.514688,1.931298,5.206107,-4.709924
-1.113304,-9.186552,3.560178,2.053435,4.450382,-4.030534
-1.010353,-9.129091,3.651158,0.7251908,4.78626,-4.19084
-0.9720459,-9.157822,3.564966,2.312977,6.122138,-4.122138
-0.7876924,-9.217676,3.667917,1.801527,5.931298,-6.282443
-0.5865794,-9.150639,3.746926,-1.183206,4.900764,-8.282443
-0.5913678,-9.030929,3.679888,-2.610687,1.549618,-7.778626
-0.557849,-9.19134,3.825934,1.19084,1.51145,-1.267176
-0.2202666,-9.14585,3.773262,1.160305,1.038168,-4.08397
0.004788403,-9.131485,3.830723,2.091603,5.977099,-8.687023
-0.308852,-8.975863,3.928885,1.770992,0.8549618,-3.419847
-0.2896984,-9.057265,3.818752,-1.503817,0.6259542,0.3129771
-0.1029507,-9.129091,3.6751,-2.396947,3.534351,0.5725191
-0.1891419,-8.990228,3.837905,-1.816794,5.435114,0.4427481
-0.3591303,-9.153033,3.744531,-0.5038168,3.954198,1.908397
-0.296881,-9.136273,3.62961,0.8473283,3.671756,-0.1221374
-0.5243302,-9.066842,3.715801,-1.89313,2.549618,0.4656488
-0.4357447,-9.100361,3.615245,-2.473282,0.5648855,2.282443
-0.4477157,-9.167398,3.615245,-3.435115,3.465649,0.351145
-0.3854665,-9.258378,3.552995,-2.603053,4.824428,-0.4732824
-0.5099649,-9.157822,3.500323,-1.038168,7.648855,-1.854962
-0.5315128,-9.124303,3.596091,1.992366,8.564885,0.1374046
-0.5722142,-9.332599,3.655946,5.0,7.160306,0.7709923
-0.533907,-9.255983,3.550601,0.8396947,6.427481,-5.473282
-0.4860229,-9.095572,3.670311,0.7938931,6.19084,-5.244275
-0.7398083,-9.124303,3.730166,4.022901,8.549619,-0.2213741
-0.6584055,-9.006987,3.739743,1.435114,7.274809,-3.21374
-0.6512229,-9.107543,3.849876,2.053435,6.625954,-2.442748
-0.8331822,-9.045294,3.730166,2.984733,5.015267,-0.8549618
-0.6464345,-9.021352,3.904943,0.5267176,6.694656,-1.526718
-0.8499416,-9.033323,3.96001,1.908397,4.770992,1.801527
-0.7733272,-9.07163,3.952827,0.9847328,-0.9465649,0.1984733
-0.7613561,-9.088389,3.885789,-3.374046,-2.916031,-1.946565
-0.8523358,-9.011775,3.854665,-1.21374,-6.91603,0.129771
-0.7781156,-9.059659,3.888184,-3.091603,-10.42748,2.328244
-0.6081272,-9.090784,3.912126,-3.038168,-11.50382,5.137404
-0.5530606,-9.100361,3.770868,-0.5114504,-13.34351,6.442748
-0.5123591,-9.131485,3.854665,-1.48855,-11.79389,5.114504
-0.5243302,-9.023746,3.677494,-3.030534,-12.36641,5.625954
-0.5865794,-9.246407,3.722984,-4.473282,-15.12214,7.633588
-0.7326257,-9.141062,3.557784,-3.290076,-15.93893,8.893129
-0.7350199,-9.244013,3.445256,-3.732824,-16.13741,7.267176
-0.6033388,-9.220071,3.37343,-4.961832,-10.64122,4.992366
-0.8403648,-9.284714,3.411737,-2.114504,-10.52672,6.992366
-0.8212111,-9.291897,3.351882,-2.778626,-9.854961,2.709924
-0.6536171,-9.380483,3.29921,-2.015267,-7.977099,1.290076
-0.7134721,-9.277532,3.260903,0.2290076,-1.625954,2.053435
-0.7541735,-9.193734,3.349488,0.4503817,-1.076336,0.2137404
