ax,ay,az,gx,gy,gz
0.1364695,-8.482656,-4.853047,-13.32061,11.44275,-1.854962
0.28491,-8.032547,-5.274426,-14.8855,9.709924,-1.480916
0.5530606,-9.409213,-4.680665,-9.053435,5.114504,1.977099
0.545878,-8.805874,-5.130774,-4.053435,6.389313,9.40458
-0.2944868,-9.198523,-4.836287,18.0687,2.603053,9.916031
-1.010353,-7.00304,-5.492299,-8.633588,-10.0,-8.580153
0.7493851,-9.828198,-5.928043,-22.12214,12.0229,8.396947
-2.047042,-7.386112,-3.572149,2.587786,-7.129771,0.1145038
-0.8164227,-8.341399,-3.236961,23.73282,-7.80916,3.091603
0.296881,-6.940791,-1.960851,19.23664,15.09924,7.564886
-1.900996,-11.5185,-4.15394,56.70992,-5.229008,8.748092
0.9409212,-12.72997,-11.15459,-24.8855,10.0,-1.335878
-1.929727,-9.507375,-4.781221,6.427481,10.44275,8.610687
-0.5841852,-3.804387,-1.242591,-13.73282,-0.6564885,-18.19084
-0.4477157,-9.667787,-5.044583,12.63359,4.022901,12.37405
-0.7517793,-6.459556,-0.9959879,26.35878,-15.05344,21.41221
-1.814805,-8.992621,-2.477999,-4.145038,-3.351145,-13.77863
0.04309563,-13.1705,-5.370194,36.98473,-15.64886,-15.85496
1.295263,-9.749189,-5.616797,23.05343,3.519084,5.259542
-1.290475,-6.852205,-4.450821,-13.62595,3.068702,-2.312977
-1.134852,-7.773973,-3.811569,5.770992,-4.503817,-7.335878
-0.28491,-5.547365,-3.502717,7.832061,9.442748,-5.030534
-0.225055,-7.781156,-6.909666,-5.167939,-1.503817,-4.40458
0.9911995,-13.18966,-9.500193,-25.0687,-1.038168,-14.58015
-0.7565677,-12.40436,-7.735666,-9.473283,13.28244,2.778626
-1.616086,-5.853823,-2.434903,9.687023,2.396947,-13.25954
0.2992752,-7.278373,-3.620033,7.045802,0.2213741,3.816794
-0.09097966,-8.104373,-3.730166,7.312977,-2.076336,-15.35878
-2.272097,-10.97742,-2.99754,-45.0458,14.8626,-9.358779
-0.2106898,-9.512163,-5.470751,8.511451,1.541985,9.114504
0.03830723,-8.401254,-5.679047,1.152672,8.702291,2.19084
-0.6248866,-5.951985,-4.357447,-11.48092,17.43511,9.954199
-1.005565,-6.045359,-3.689465,21.67939,13.22137,5.61832
0.3256114,-7.307104,-4.900931,29.64122,16.77099,21.41985
0.7278373,-11.66455,-9.540894,-44.62595,4.824428,-0.6412213
0.01197101,-11.41316,-8.319851,-0.01526718,13.07634,0.7328244
-0.009576806,-5.951985,-2.77488,-8.030535,12.70229,-4.145038
-0.1101333,-6.603208,-4.27365,13.44275,-6.419847,-8.21374
0.4932055,-7.979874,-3.845088,2.770992,-11.59542,-3.267176
-1.726219,-10.27112,-0.9169792,-54.58779,4.80916,-5.91603
-1.103727,-12.77307,-8.111555,36.91603,-19.77099,1.694656
-0.4189853,-8.841787,-4.855441,4.29771,8.824428,-4.61832
-1.762132,-7.673417,-2.446874,10.69466,4.244275,5.496183
-0.9552865,-7.855376,-3.126827,17.12214,0.8854962,-3.19084
-1.35033,-9.593566,-1.826776,49.65649,-12.82443,4.335878
0.9552865,-11.4395,-7.072472,-35.86259,8.549619,0.1450382
0.85473,-11.65497,-5.62398,-41.36641,9.633588,-5.267176
-0.2226608,-6.421249,-2.664747,-12.28244,4.175572,-2.0
0.1149217,-8.851364,-3.114856,-9.183207,-16.57252,-6.70229
-0.2011129,-10.49139,-3.98874,12.8626,-16.0458,-7.938931
1.73819,-10.60631,-5.465962,8.221375,10.45038,-0.6641222
-2.331953,-10.26873,-7.134721,-30.20611,-7.51145,5.343512
-0.6129156,-9.540894,-4.568137,26.58015,-21.82443,-5.160306
0.3591303,-5.078102,-4.029441,-31.52672,14.78626,4.625954
-0.7781156,-7.04853,-4.106056,6.48855,9.282443,4.40458
-1.074997,-8.374918,-3.643975,6.961832,2.259542,1.251908
0.4884171,-9.514558,-6.682217,-16.26718,3.778626,-3.061069
-1.446098,-10.22324,-5.861006,-28.67939,14.37405,2.396947
-0.6440403,-7.764396,-5.880159,27.27481,15.05344,12.29771
-0.1699883,-7.275979,-3.119645,-10.26718,-13.74046,-9.045801
-0.06464344,-7.491457,-4.288015,9.083969,-0.02290076,4.969466
0.06224924,-7.28795,-4.493917,4.961832,9.78626,11.52672
-2.961627,-8.980651,-3.861847,-29.99237,0.2824428,-11.63359
-1.731008,-10.33337,-8.487445,-8.21374,10.58779,0.9160305
-0.6607997,-8.930372,-5.887342,33.05344,-7.358778,2.465649
-0.5195417,-7.295133,-3.588908,-15.68702,11.06107,4.206107
-1.551443,-7.659051,-3.131616,2.603053,4.19084,3.709924
-1.345541,-8.372523,-3.598485,41.0916,-10.36641,-1.59542
1.235408,-11.76271,-8.391677,-40.0,-4.0,-14.69466
0.3256114,-10.67575,-5.889736,0.3664122,-2.21374,7.503817
