ax,ay,az,gx,gy,gz
-0.8858546,-8.825027,-4.79798,-5.458015,-1.374046,0.2213741
-0.9792285,-8.492233,-4.817134,-12.67176,-5.091603,-2.114504
-1.824382,-8.264784,-5.063736,-24.05343,-13.79389,-11.24428
-1.211466,-9.121908,-6.026206,-26.79389,13.22901,-3.755725
-2.858677,-9.198523,-4.103662,-13.22137,-15.62595,-13.34351
-1.405396,-8.686164,-5.104438,-0.9312977,-21.53435,-14.17557
1.041478,-8.439561,-6.442797,40.1832,7.847328,16.87023
-1.460463,-9.232041,-4.055778,-40.16031,16.10687,-21.77099
-2.051831,-9.938332,-4.671088,30.93893,12.8626,-11.12214
-0.04788403,-8.09719,-4.414908,6.954198,-6.358778,-20.33588
0.2537854,-8.63828,-3.296816,2.740458,-0.1603053,-3.625954
-1.410185,-11.29584,-4.118027,10.23664,-29.50382,-4.541985
1.73819,-13.56794,-9.536105,15.07634,5.725191,8.251908
0.2346318,-7.491457,-7.951144,-20.83206,-1.641221,6.656488
0.8164227,-7.40766,-6.660669,-18.1145,5.687023,19.03053
-1.060631,-6.502652,-5.08289,0.0610687,4.748092,13.84733
-1.051055,-5.959168,-4.299986,-7.465649,4.351145,8.709924
-0.9457096,-11.1498,-7.237672,-25.42748,12.06107,19.99237
-0.2561796,-10.84334,-11.25514,-19.25191,32.48855,-12.44275
1.33357,-7.570466,-5.427655,-10.52672,-12.70992,-28.32825
0.2825158,-7.417237,-6.660669,47.77099,-29.13741,-3.145038
0.237026,-6.289568,-4.932055,6.206107,9.816793,-8.129771
0.1747767,-7.778761,-4.876989,-18.15267,-3.854962,-13.42748
-0.3687071,-10.84095,-6.186617,11.91603,-14.75572,10.06107
2.272097,-8.657434,-9.5385,1.900763,0.8015267,10.29771
-1.01993,-9.619903,-9.143456,11.77099,1.59542,13.18321
-0.5410896,-6.136339,-5.147533,11.80916,-8.664123,24.37405
-0.7493851,-5.243302,-3.86903,3.610687,-7.221374,5.770992
-2.786851,-8.813056,-6.902483,-24.34351,8.557252,-8.862596
-1.764527,-9.952697,-7.690176,0.03816794,-3.48855,-15.25191
0.1436521,-4.879383,-6.212954,33.87023,22.24427,-6.022901
0.8619126,-10.76433,-8.128315,22.54198,-4.290076,-17.46565
0.2106898,-5.509058,-4.778827,3.068702,5.603054,2.877863
-0.2082956,-7.369353,-4.900931,1.458015,7.312977,-7.396946
0.03351882,-8.080431,-4.285621,-15.80153,3.40458,-10.41221
0.4860229,-9.61272,-6.679823,-1.503817,4.274809,12.70229
0.07182605,-6.655881,-7.515399,-7.030534,-4.51145,3.175573
-0.7015011,-9.76116,-7.943961,3.900763,-9.633588,9.282443
-0.7469909,-6.579266,-4.735731,18.48855,-18.9313,20.47328
-0.1987187,-5.774815,-4.58729,2.099237,-6.198473,10.22137
-2.339135,-9.0429,-6.359,-7.145038,10.85496,1.557252
-0.830788,-10.00058,-8.085219,-17.92366,13.38168,-7.198473
-0.213084,-6.488286,-4.76925,2.870229,10.98473,-16.32825
1.015141,-9.006987,-6.880936,36.49618,1.015267,4.862596
-0.1292869,-6.895301,-4.458004,5.312977,2.862595,1.473282
-0.1508347,-7.809886,-5.300763,12.67939,8.259542,-10.25954
-0.213084,-10.1993,-4.874595,-2.351145,-0.8396947,-0.832061
2.003947,-9.16261,-8.583213,-34.94656,30.75573,0.3969466
-0.3256114,-6.651093,-6.121974,-28.62595,-16.39695,8.053435
0.3064578,-7.66384,-6.052542,2.816794,-4.51145,16.35878
-1.45328,-6.849811,-4.989516,12.9771,-4.587786,11.74046
-1.309628,-7.10599,-5.374983,8.877863,-5.908397,7.61832
-1.462857,-9.181764,-6.265626,-6.152672,0.778626,7.740458
-0.1197101,-9.80665,-11.01812,-14.51145,25.91603,-22.61832
-0.1460463,-6.610391,-4.812346,-2.206107,-3.496183,-14.29771
-0.2226608,-7.611167,-5.781997,19.26718,8.145039,6.770992
-0.890643,-6.909666,-4.592079,6.129771,-2.603053,-6.954198
0.1029507,-7.134721,-4.527435,-7.740458,1.709924,-16.41221
0.2513912,-9.330204,-4.52983,-3.854962,3.0,-1.748092
0.9289502,-12.39957,-6.926425,-1.236641,-9.320611,6.412214
-0.3878607,-6.538565,-5.71496,-27.55725,-15.89313,8.312977
-1.177947,-8.09719,-6.694188,-7.450382,1.053435,7.801527
-0.9816227,-7.395689,-5.533,13.82443,-5.366412,10.44275
-0.7589619,-5.707777,-4.041412,9.557252,1.007634,15.84733
-1.956063,-8.015787,-5.391742,-12.30534,8.38168,-7.282443
-2.190695,-12.00453,-6.902483,5.0,-4.358778,-1.732824
-0.3375824,-7.999028,-7.78355,-5.015267,18.35878,-11.85496
0.1316811,-9.016563,-6.931214,-26.92366,-6.160306,-35.87786
-0.01675941,-6.004658,-4.311957,19.93893,-6.885496,3.282443
0.332794,-5.83467,-4.865018,4.59542,2.053435,-10.01527
