ax,ay,az,gx,gy,gz
0.1699883,-9.564836,-3.20823,-0.1908397,1.328244,-0.01526718
0.213084,-9.406818,-2.863465,2.236641,1.045802,0.5572519
0.1723825,-9.603143,-3.13401,-0.9694656,1.351145,-0.4122138
0.1867477,-9.440337,-3.026271,2.442748,1.083969,-0.4045802
0.2059013,-9.536105,-3.126827,-0.3282443,2.801527,0.8473283
0.296881,-9.440337,-2.978387,0.2748091,3.664122,0.0
0.2705448,-9.409213,-2.791639,-5.366412,3.832061,1.335878
0.4788404,-9.452309,-2.952051,-5.91603,4.687023,2.80916
0.4764462,-9.198523,-2.987964,-5.519084,2.564885,3.603053
1.216254,-9.284714,-3.392584,-16.92366,8.427481,7.725191
-0.5674258,-9.090784,-2.880225,-15.37405,-6.48855,13.26718
-2.341529,-9.598354,-3.469198,-2.21374,-1.862595,-9.610687
1.977611,-10.3214,-4.218584,-3.175573,0.740458,17.42748
-2.908955,-8.030152,-0.9481038,-9.847328,2.519084,1.389313
-0.248997,-10.46027,-3.91452,-12.35878,6.015267,-9.480916
-0.794875,-9.488221,-2.446874,-3.496183,15.16794,-8.053435
-0.938527,-9.61272,-2.487576,1.167939,8.045801,-6.21374
-2.360683,-12.40436,-6.244078,-49.43512,-43.41985,-17.87023
2.274492,-5.777209,-5.492299,88.38931,64.63359,3.946565
-0.213084,-10.06522,-4.984728,-93.25954,-54.56488,-17.32825
1.991976,-7.841011,-3.651158,90.01527,-0.8549618,-24.54198
1.302446,-9.02614,-2.961627,-37.78626,-22.30534,-4.694656
0.7086837,-8.173804,-1.647211,9.068703,-17.94657,10.06107
-0.8379706,-10.18493,-3.667917,-6.70229,-40.08397,7.473282
-0.03351882,-11.98537,-2.157176,4.549618,-44.61832,-24.14504
1.673547,-9.691729,-5.353435,-0.8244275,-15.43511,9.221375
-1.292869,-7.594408,-4.426879,46.54198,-29.38168,-15.49618
3.102885,-9.617508,-4.627992,-62.21374,22.56489,6.236641
-2.111686,-8.817844,-3.751714,70.0687,9.022901,12.64886
-0.8643068,-8.41083,-1.857901,-56.37405,-16.77099,-13.0916
1.074997,-8.391677,-4.639963,-32.75573,39.49618,-1.679389
-0.902614,-11.58075,-2.173935,46.91603,-24.61832,-15.16031
1.632845,-11.30542,-7.987057,-90.36641,17.21374,27.48092
-1.252167,-5.444415,-4.699818,85.75572,40.12977,0.5801527
0.3423708,-10.6135,-3.780444,-90.70992,-59.96183,-20.48092
1.884237,-8.06846,-3.933673,85.03053,6.885496,-11.77099
0.7350199,-7.975086,-1.151611,-37.0,-10.79389,22.98473
-1.218649,-9.392453,-3.069367,-3.984733,-27.25954,-0.9770992
0.2896984,-12.76828,-5.056554,16.33588,-46.40458,-21.44275
-0.1819593,-8.801085,-5.533,-0.6641222,-25.81679,-7.984733
-1.261744,-6.327875,-2.41575,20.52672,-42.29008,-12.96947
0.1675941,-11.31739,-6.567295,-25.9771,-19.87786,-3.984733
-2.387019,-6.876147,-1.130063,32.8855,-24.71756,-9.755725
-0.4644751,-10.15381,-3.864242,-32.46565,-16.14504,-23.23664
0.009576806,-8.710106,-3.854665,-24.44275,1.671756,-20.48092
0.9864111,-11.78426,-5.956774,25.40458,25.94657,18.39695
-1.42455,-6.773197,-5.887342,14.16794,3.198473,-13.03053
1.625663,-10.1179,-1.570596,-13.45038,-42.07634,-10.07634
-0.8858546,-9.885659,-6.354211,51.87786,-8.450381,-27.89313
2.173935,-5.693412,-1.024718,-30.09924,-42.54962,-5.908397
0.03830723,-10.52491,-3.964798,17.43511,-32.82443,-8.770992
0.521936,-9.825804,-2.956839,-25.29008,-55.87786,2.160305
0.3926491,-11.77708,-5.935226,23.42748,-24.49618,-7.129771
0.1316811,-7.309498,-3.770868,5.969466,-46.48855,-12.17557
-0.5243302,-8.456321,-4.314352,-27.26718,-27.30534,-5.473282
0.1795651,-9.23683,-4.831499,34.16031,-21.20611,6.022901
-2.377442,-7.137115,-0.6584055,-17.57252,-25.06107,-3.801527
-0.04788403,-10.29507,-4.256891,-8.992367,-2.709924,-18.73282
0.1675941,-8.683769,-3.031059,-1.229008,8.435115,-0.9847328
-1.086968,-12.37084,-6.124368,-2.954198,9.473283,2.954198
0.3160346,-6.064513,-5.183447,16.57252,22.0,-0.832061
0.3806781,-10.24479,-1.742979,-1.450382,-28.03053,-4.206107
0.7302315,-9.502586,-4.924873,28.19084,-4.320611,-13.39695
1.266533,-7.651869,-0.7015011,-18.55725,-0.4885496,4.015267
0.9600749,-9.780313,-3.246537,-3.618321,0.03816794,8.396947
-0.2681506,-9.962274,-3.138798,-6.526718,-17.12214,3.877863
0.7134721,-10.91517,-4.683059,-8.442748,-28.87786,1.778626
1.56102,-6.921637,-5.355829,26.71756,9.320611,17.84733
-1.529895,-8.130709,-3.038242,-32.00763,-5.748092,1.70229
-0.3806781,-9.969456,-4.841076,23.69466,5.137404,6.931298
