ax,ay,az,gx,gy,gz
-1.697489,-9.509769,-6.495469,-0.259542,-33.50382,-9.725191
0.6224924,-9.11712,-5.236119,3.618321,4.832061,-0.1755725
0.3615245,-8.437167,-5.29358,13.66412,9.320611,-5.015267
-0.3016694,-8.884883,-4.299986,16.74046,6.519084,-0.5801527
0.2585738,-8.59279,-4.568137,0.1832061,14.31298,2.78626
-1.199495,-9.064447,-4.72376,-12.12214,3.343511,-6.832061
-0.2106898,-8.688558,-4.661511,-1.282443,-13.54962,-7.08397
-0.1963245,-8.765172,-4.673482,-4.603054,-7.717557,-2.320611
0.07182605,-8.78672,-4.704607,-4.61832,-7.38168,0.519084
0.08858546,-8.719683,-4.786009,-8.893129,-3.206107,3.061069
-0.7230489,-8.475474,-5.288792,-17.94657,-20.16794,-1.396947
0.5099649,-8.106767,-5.298368,-17.83206,-4.801527,-2.076336
-0.8212111,-7.311892,-5.456386,-43.52672,-18.08397,-1.045802
-0.7374141,-8.061277,-6.730101,-47.55725,-9.671756,6.458015
-1.625663,-7.216124,-7.673417,-52.37405,-13.58015,0.2061069
-1.580173,-6.854599,-7.879318,-17.05343,-23.75573,5.183206
-1.031901,-6.026206,-7.37893,-23.01527,-2.549618,9.099236
-1.843535,-5.50427,-6.993463,-21.22901,3.549618,11.64886
-2.633622,-6.227319,-9.184157,-24.27481,-7.290076,10.08397
-1.719037,-4.996699,-8.365341,-35.9084,-11.91603,9.740458
-1.577779,-4.972757,-8.147469,-14.0687,-2.832061,5.89313
-3.078943,-4.809951,-9.074024,-25.03817,-9.480916,-2.549618
-2.511518,-4.240131,-8.827422,-6.603054,-13.81679,9.374045
-1.764527,-4.000711,-9.066842,-14.87023,12.93893,5.709924
-3.667917,-4.390966,-9.349358,-12.46565,-5.648855,0.5648855
-2.075773,-4.321534,-10.1562,1.198473,6.648855,-0.9007633
-2.676718,-3.026271,-9.593566,-27.9313,4.877862,-2.396947
-1.745373,-4.022259,-11.32218,1.381679,-9.297709,4.931298
-1.656788,-3.351882,-10.9008,1.29771,7.610687,-1.435114
-2.626439,-3.725378,-9.074024,16.60305,5.923664,6.694656
-1.810017,-3.627216,-10.32859,18.25191,7.717557,-1.755725
-2.760514,-4.352659,-10.36929,32.24427,-3.641221,4.274809
-2.904167,-4.668694,-9.653421,25.27481,-1.435114,-5.61832
-2.573767,-4.994305,-9.394848,13.80153,5.801527,-18.82443
-1.417367,-4.838682,-9.006987,21.38168,-2.183206,-20.45038
-1.345541,-5.920861,-8.358158,23.73282,5.267176,-18.44275
-0.9241618,-6.212954,-7.963115,28.07634,30.03053,-16.22901
-1.56102,-5.98311,-7.912837,18.54198,13.70992,-10.19084
-1.089362,-6.801927,-7.963115,17.01527,0.3587786,-2.89313
-0.2202666,-7.055712,-8.030152,33.01527,10.16794,7.671756
-2.896984,-5.647922,-5.916072,13.53435,-21.71756,3.503817
-0.56982,-7.211336,-7.292738,27.76336,-12.61069,-6.412214
-1.192312,-7.405266,-6.567295,12.0,-2.557252,-1.221374
-1.491588,-7.615956,-6.799533,19.0916,-3.114504,0.02290076
-1.51553,-7.790732,-6.442797,17.40458,-1.374046,0.9694656
-1.165976,-7.869741,-6.279991,12.81679,7.908397,4.847328
-1.802834,-7.862558,-6.409278,17.1145,12.92366,5.580153
-2.396596,-7.563283,-5.882554,14.00763,18.10687,0.1221374
-0.7182605,-6.670246,-6.871359,27.10687,31.10687,17.49618
-0.1388637,-9.32781,-4.860229,8.816793,39.87786,5.183206
1.120486,-8.74123,-5.497087,11.52672,51.22137,12.48092
0.06943185,-7.613562,-5.38456,-28.73282,59.25191,21.24427
-0.6655881,-7.295133,-5.090073,-32.71756,30.34351,7.267176
-0.3280056,-7.821857,-4.656722,-7.160306,26.86259,16.84733
0.3399766,-8.185776,-5.887342,-5.633588,16.48092,12.77863
0.03830723,-8.444349,-6.071695,-0.09160305,20.44275,9.900764
1.027112,-7.429208,-6.588843,16.32061,26.89313,32.98473
0.3184288,-8.429984,-5.221754,-22.15267,30.08397,20.24427
0.3567361,-8.257602,-4.865018,3.656489,13.29771,20.08397
0.03112462,-8.78672,-5.473145,6.89313,7.0,17.43511
0.07182605,-7.922413,-6.354211,23.60305,11.31298,17.14504
-1.953669,-7.544129,-5.693412,7.931298,5.312977,7.450382
-2.403779,-9.880871,-6.502652,12.17557,-12.40458,16.91603
-1.889025,-7.580042,-2.178724,-14.05344,9.725191,33.05344
-3.0143,-8.180987,-5.183447,-3.961832,25.35114,10.28244
-2.942474,-8.200141,-4.072537,-6.557252,13.41221,-8.389313
-1.309628,-8.580819,-4.853047,6.70229,19.93893,-10.24428
-2.032677,-9.662998,-7.876924,-6.282443,-22.30534,25.77099
-1.371878,-6.136339,-4.041412,-43.73283,15.77863,-37.35115
-1.762132,-8.015787,-8.89446,6.793893,-66.35114,-30.51908
