ax,ay,az,gx,gy,gz
-0.3902549,-9.124303,-3.754108,-0.03053435,-0.6259542,-0.2900764
-0.308852,-9.279925,-4.091691,-0.870229,0.0,-1.145038
-0.3136404,-9.165004,-3.885789,-0.3053435,2.114504,-1.763359
-0.3303998,-9.198523,-4.072537,-1.549618,2.977099,-2.847328
-0.1651999,-9.251195,-4.103662,-4.282443,2.396947,-5.206107
-0.1891419,-9.045294,-4.311957,5.526718,0.9007633,-5.496183
0.04548983,-8.985439,-3.727772,2.587786,2.587786,1.038168
-0.05746084,-9.255983,-3.909731,-0.3206107,5.480916,3.862595
-0.1149217,-9.267955,-3.873818,-3.496183,5.320611,0.7938931
-0.08858546,-9.248801,-3.792415,0.3129771,3.694656,1.725191
-0.1005565,-9.102755,-3.842694,0.1755725,2.557252,0.9465649
-0.2992752,-9.105149,-3.739743,-1.992366,0.961832,3.641221
-0.6200982,-9.040505,-3.979163,-12.10687,0.2900764,1.793893
-0.4285621,-8.808268,-3.993528,-20.83969,-0.9389313,1.664122
-0.9433154,-8.813056,-4.333505,-32.68702,4.091603,-5.045802
-0.2082956,-9.270349,-4.687847,-22.91603,14.46565,-4.053435
0.1364695,-8.626308,-4.716578,-34.16031,13.84733,-7.496183
1.00317,-8.75799,-6.727707,-11.0229,8.488549,-6.473282
0.7422025,-7.520187,-5.403713,-1.763359,18.13741,4.450382
0.7254431,-8.075643,-5.942409,-3.0,18.29771,1.908397
1.096544,-7.82904,-5.334281,3.679389,4.427481,5.358778
0.8523358,-7.936779,-5.327099,-12.29008,-8.648855,2.137405
1.355118,-6.742072,-4.465186,21.53435,21.25954,-9.427481
0.782904,-6.833052,-3.37343,-36.33588,-4.969466,10.65649
0.1460463,-6.58166,-4.826711,17.64122,-3.229008,1.984733
0.5195417,-8.719683,-5.851429,14.83206,4.21374,19.35878
-0.3184288,-6.655881,-3.002329,36.55725,21.47328,20.07634
-0.8978256,-10.46984,-3.119645,23.49618,19.44275,3.129771
-2.149993,-8.817844,-3.107674,-78.09924,-45.43512,-12.9542
0.3567361,-9.009381,-11.73159,-250.1374,-235.7252,-119.4733
-4.067749,-13.27585,-6.835446,59.70992,10.18321,-32.16031
2.487576,0.1532289,-10.87686,-250.1374,5.229008,-23.36641
0.5841852,-1.90339,-12.25352,-117.8779,-9.351145,-12.01527
-1.493982,1.82917,-8.643068,-99.0229,22.41221,-7.923664
-0.4692635,2.133234,-14.13776,141.2672,63.54198,29.22901
1.999158,8.298303,-5.712565,-53.0687,-35.47328,17.29008
-0.4548983,-0.3806781,-12.65814,52.47328,25.98473,-2.557252
1.266533,3.117251,-8.544906,20.46565,3.503817,-1.641221
0.6775591,1.774103,-10.85292,-3.656489,-8.320611,1.618321
1.209072,1.369483,-10.17296,25.00763,6.167939,-1.656489
0.2154782,1.802834,-9.648633,9.564885,6.725191,4.755725
0.8044518,0.6991069,-10.42914,-6.992366,1.389313,0.5877862
0.8595184,0.9289502,-10.38844,2.007634,4.732824,6.229008
0.7062895,0.8475474,-10.13466,-3.496183,5.343512,7.389313
0.9624691,0.5530606,-10.1179,2.969466,2.068702,4.396946
0.8810662,0.7589619,-9.921572,-3.847328,0.9923664,5.38168
1.165976,0.5865794,-10.1586,1.900763,4.335878,5.740458
1.221043,0.5602432,-9.830592,0.5419847,3.603053,6.007634
1.134852,0.2657564,-10.12268,1.954198,3.465649,6.099236
1.029507,0.4261679,-9.998186,3.29771,3.748092,4.175572
1.161188,0.3998317,-9.995792,2.465649,0.007633588,1.78626
1.283292,0.3950433,-10.18972,2.358779,1.068702,1.70229
1.051055,0.6344634,-9.880871,-0.4122138,-0.6946565,0.2137404
1.362301,0.3711013,-10.13226,1.435114,0.007633588,-1.038168
1.077391,0.5099649,-10.01973,-6.755725,0.7251908,2.312977
1.264138,0.3160346,-10.12508,3.70229,-0.2366412,-2.061069
1.359907,0.2106898,-10.06044,-2.145038,-1.320611,1.10687
1.244985,0.3423708,-10.02692,0.6870229,1.206107,-1.244275
1.134852,0.1963245,-9.995792,-6.40458,-5.19084,-2.625954
1.125275,0.4022259,-10.00297,3.603053,-3.671756,-1.221374
1.00317,0.4740519,-10.01973,-4.21374,-0.2824428,-0.1526718
1.010353,0.296881,-10.22803,-2.916031,0.5114504,-1.80916
1.233014,0.4070143,-10.15381,3.656489,-0.4198473,-1.366412
0.9864111,0.4908113,-10.05565,1.465649,0.1526718,-0.3816794
1.01993,0.5985504,-10.14902,0.2213741,-1.206107,-1.801527
0.9792285,0.7158663,-10.0341,-0.9236641,-2.183206,-0.6793893
0.9840169,0.1675941,-10.1993,3.70229,-1.312977,0.9083969
1.11091,0.5674258,-10.17775,-4.21374,0.2137404,1.183206
1.043872,0.1532289,-9.962274,-0.8167939,5.129771,4.564886
0.7254431,0.3375824,-9.921572,-7.862596,-1.763359,1.694656
