ax,ay,az,gx,gy,gz
1.572991,-8.681376,-4.647145,-0.5954198,3.274809,0.3587786
1.642422,-8.535329,-4.515464,0.09923664,2.221374,1.045802
1.632845,-8.504205,-4.264073,-0.259542,-0.8625955,0.9160305
1.786075,-8.604761,-4.462792,-18.17557,1.290076,-3.145038
1.541866,-9.155427,-4.979939,8.137404,-5.465649,-1.603053
1.867477,-7.955932,-4.27365,-10.64122,2.251908,0.06870229
1.651999,-8.925584,-4.831499,1.541985,-0.4045802,-0.3664122
1.70946,-8.075643,-4.51307,-4.229008,1.572519,-0.2748091
1.625663,-7.659051,-4.651934,-16.28244,0.08396947,-5.778626
4.738125,-4.481946,-8.271967,-56.9771,8.465649,-5.435114
-0.8499416,1.321599,5.018247,61.32824,-152.1298,-12.67176
3.883395,-0.6272808,-6.464345,-34.12214,-58.29008,-47.33588
-7.553706,-19.57739,-6.610391,-77.63359,-73.91603,-68.58015
4.927267,-8.010999,-9.722853,-99.98473,-42.61069,-58.1832
1.84593,-9.533711,-13.0891,-64.58015,-105.3969,-72.8855
-0.8810662,-3.040636,-9.002198,77.38168,-197.2137,-56.36641
-1.649605,-2.633622,-5.26485,-104.2748,5.08397,14.51908
0.01675941,-1.086968,-10.12029,-99.94656,-26.45802,-33.59542
-1.158794,1.441309,-9.454702,-27.59542,4.801527,2.740458
-2.219425,3.473987,-8.307879,-53.19084,6.717557,-5.496183
19.6127,-2.173935,-9.433155,-20.21374,-36.22137,10.0916
-0.2513912,2.870648,-9.583989,-12.61832,4.10687,0.6641222
-0.7374141,3.047819,-9.387665,-10.57252,1.503817,8.763359
-0.1508347,3.471592,-9.457097,-9.19084,7.854962,11.35114
0.1699883,3.548207,-9.313444,-7.015267,11.18321,3.48855
-0.03112462,3.239355,-9.339781,-3.549618,13.57252,18.92366
0.3878607,3.46441,-9.232041,-4.557252,19.01527,22.35878
0.9433154,3.552995,-9.605537,2.282443,6.984733,-1.068702
1.005565,3.866636,-8.899248,-12.28244,102.1908,5.61832
1.482011,3.39019,-8.832211,-7.435114,8.511451,0.2671756
