ax,ay,az,gx,gy,gz
-1.42455,0.2873042,9.907207,-0.4732824,0.351145,-0.2366412
-1.374272,0.2873042,9.878476,-0.3969466,0.4122138,-0.1755725
-1.443704,0.3399766,9.799467,-0.3969466,0.4427481,0.1450382
-1.436521,0.2513912,9.883265,-0.4656488,0.4732824,-0.5038168
-1.422156,0.260968,9.849746,-0.5114504,0.5496183,0.3816794
-1.367089,0.2801216,9.856929,-0.4351145,0.4198473,0.03816794
-1.39582,0.2394202,9.801862,-0.4961832,0.519084,0.007633588
-1.414973,0.2944868,9.816227,-0.3816794,0.6259542,0.1984733
-1.388637,0.2274492,9.787497,-0.3664122,0.4351145,-0.3740458
-1.45328,0.3256114,9.804255,-0.4656488,0.4427481,0.1755725
-1.434127,0.308852,9.854534,-0.3740458,0.5419847,-0.09923664
-1.414973,0.2753332,9.780313,-0.5801527,0.5496183,-0.07633588
-1.367089,0.248997,9.878476,-0.519084,0.6412213,-0.05343511
-1.33357,0.2298434,9.821015,-0.2824428,0.4885496,-0.259542
-1.42455,0.2274492,9.77792,-0.259542,0.5114504,-0.09160305
-1.491588,0.2944868,9.821015,-0.4732824,0.6335878,0.3587786
-1.374272,0.2920926,9.859323,-0.3740458,0.5801527,-0.2290076
-1.393425,0.2298434,9.888053,-0.5114504,0.6717557,0.01526718
-1.412579,0.2944868,9.854534,-0.648855,0.480916,0.1450382
-1.381454,0.2274492,9.825804,-0.6259542,0.4122138,-0.4427481
-1.412579,0.3471592,9.859323,-0.3435115,0.6412213,0.2366412
-1.429338,0.28491,9.880871,-0.6793893,0.4885496,0.02290076
-1.400608,0.3040636,9.842564,-0.4656488,0.4274809,-0.1679389
-1.412579,0.272939,9.816227,-0.4198473,0.6793893,0.1755725
-1.414973,0.2633622,9.842564,-0.3282443,0.6030535,-0.1984733
-1.419762,0.2394202,9.830592,-0.4351145,0.3664122,0.007633588
-1.422156,0.2896984,9.804255,-0.6335878,0.4885496,0.1984733
-1.359907,0.296881,9.758766,-0.3740458,0.4045802,-0.351145
-1.438915,0.3184288,9.818622,-0.4503817,0.6717557,0.2442748
-1.422156,0.3016694,9.840169,-0.5725191,0.4580153,-0.08396947
-1.403002,0.2920926,9.835381,-0.3969466,0.6717557,-0.389313
-1.426944,0.2442086,9.859323,-0.4961832,0.4656488,0.2748091
-1.42455,0.2944868,9.888053,-0.5267176,0.3740458,0.01526718
-1.331176,0.2466028,9.804255,-0.3587786,0.3587786,-0.2137404
-1.345541,0.2274492,9.89763,-0.3969466,0.4351145,0.5343512
-1.443704,0.308852,9.730036,-0.4351145,0.5877862,-0.1603053
-1.455675,0.2920926,9.847352,-0.5572519,0.2977099,0.06870229
-1.403002,0.3184288,9.78989,-0.6335878,0.5572519,0.2290076
-1.376666,0.2633622,9.885659,-0.4961832,0.3282443,-0.2061069
-1.407791,0.2226608,9.911995,-0.3740458,0.519084,0.351145
-1.426944,0.3112462,9.80665,-0.519084,0.5038168,-0.1679389
-1.443704,0.3160346,9.842564,-0.5725191,0.3435115,-0.2519084
-1.446098,0.2298434,9.911995,-0.480916,0.5496183,0.3206107
-1.455675,0.248997,9.840169,-0.4732824,0.3816794,-0.3587786
-1.391031,0.2178724,9.837775,-0.5725191,0.3969466,-0.1450382
-1.391031,0.2801216,9.830592,-0.5114504,0.4656488,0.2824428
-1.505953,0.3232172,9.821015,-0.5419847,0.3282443,-0.3206107
-1.37906,0.2585738,9.840169,-0.351145,0.519084,0.2748091
-1.407791,0.2561796,9.832987,-0.5648855,0.4351145,-0.2900764
-1.45328,0.3040636,9.854534,-0.8091603,0.5572519,-0.04580153
-1.398214,0.2896984,9.866506,-0.6564885,0.4198473,-0.5954198
-1.462857,0.3184288,9.91439,-0.5496183,0.2977099,0.02290076
-1.419762,0.2466028,9.811439,-0.3664122,0.3587786,0.2213741
-1.482011,0.3136404,9.854534,-0.610687,0.7862596,-0.4045802
-1.422156,0.3112462,9.876082,-0.4122138,0.351145,0.2824428
-1.412579,0.2394202,9.76116,-0.5114504,0.5572519,-0.2366412
-1.37906,0.2920926,9.866506,-0.480916,0.3587786,-0.0610687
-1.45328,0.28491,9.828198,-0.4732824,0.6030535,-0.05343511
-1.431733,0.260968,9.859323,-0.259542,0.3282443,0.480916
-1.403002,0.320823,9.85214,-0.480916,0.5801527,-0.1068702
-1.42455,0.2466028,9.847352,-0.4580153,0.5419847,-0.1832061
-1.419762,0.272939,9.868899,-0.519084,0.480916,0.2442748
-1.364695,0.260968,9.773131,-0.480916,0.648855,-0.4427481
-1.436521,0.2226608,9.785102,-0.3740458,0.5496183,-0.129771
-1.398214,0.3016694,9.80665,-0.5419847,0.4503817,0.1755725
-1.403002,0.2561796,9.895236,-0.4427481,0.4580153,-0.3053435
-1.462857,0.2298434,9.883265,-0.4580153,0.4427481,0.5725191
-1.429338,0.2705448,9.770737,-0.3053435,0.3816794,0.1068702
-1.405396,0.2801216,9.773131,-0.6183206,0.4427481,-0.1450382
-1.374272,0.2777274,9.835381,-0.3816794,0.4961832,0.4656488
