ax,ay,az,gx,gy,gz
-2.116474,-9.516952,2.082955,-2.267176,0.610687,-1.068702
-2.145205,-9.540894,2.109292,-3.801527,-1.099237,-0.389313
-2.102109,-9.52174,2.061408,-4.061069,-2.206107,0.3129771
-1.989582,-9.509769,1.915361,-3.030534,-2.549618,-0.5648855
-2.025495,-9.61272,1.898602,-1.10687,-1.343511,0.3206107
-2.094927,-9.507375,2.049437,-0.259542,-1.549618,0.9007633
-2.020706,-9.425972,1.941698,-1.282443,-3.480916,0.519084
-2.020706,-9.574412,2.018312,-1.954198,-5.412214,1.473282
-1.991976,-9.531317,1.814805,-0.5877862,-4.80916,1.076336
-1.96564,-9.490616,1.831564,0.740458,-2.862595,0.9389313
-2.042254,-9.516952,1.836353,0.6183206,-0.832061,0.9465649
-2.013524,-9.598354,1.972822,0.0,0.9770992,-1.343511
-1.984793,-9.586384,1.99437,1.687023,2.80916,-1.21374
-1.647211,-9.564836,1.721431,-1.671756,12.0,-6.076336
-1.522712,-9.651027,1.814805,-0.351145,29.10687,-17.08397
-1.254562,-9.009381,1.786075,-4.946565,46.58779,-20.73282
-0.6129156,-9.337387,1.297657,-9.053435,45.46565,-36.05344
-0.6560113,-10.25676,-0.06224924,2.496183,91.82442,-53.43512
0.7206547,-6.979098,-0.9864111,-9.648855,140.7328,-76.29008
-0.9792285,-7.302315,-1.367089,-15.64122,109.1985,-82.1832
-1.762132,-10.91517,-2.238579,5.89313,81.42748,-15.32061
-0.2106898,-9.464279,0.3591303,16.78626,68.82442,-53.70229
10.90559,-19.6133,8.779537,183.9008,104.0153,-123.6641
19.6127,-19.6133,19.6127,250.1298,91.20611,-213.4657
11.72201,-1.520318,6.416461,147.9924,82.98473,-1.419847
-0.2274492,1.647211,2.841918,76.90076,64.26717,80.8855
7.000646,4.635174,8.346188,3.938931,106.3893,63.8168
-5.738902,2.973598,9.92636,17.07634,55.21374,-24.80916
-2.999935,-0.6799533,10.35013,-0.5496183,-2.854962,-33.58779
1.659182,0.6368576,9.540894,22.16794,-30.22901,-6.549618
0.8236053,2.066196,9.090784,5.587786,-21.84733,5.282443
0.02873042,2.032677,8.635885,-33.77863,-12.06107,17.06107
2.446874,-0.237026,11.32218,-3.763359,-3.29771,9.526717
2.39899,-0.05746084,9.380483,-6.38168,-7.206107,0.02290076
1.805228,0.2059013,9.605537,-4.206107,1.587786,-3.816794
1.45328,0.2418144,9.708488,-3.908397,9.076336,-6.29771
1.060631,0.1364695,9.804255,-4.396946,9.862596,-3.977099
1.144428,0.05746084,9.775525,-2.29771,8.61832,-2.29771
1.036689,0.03591302,9.844957,0.06870229,7.305344,-2.938931
0.7086837,0.1005565,9.832987,0.0610687,5.587786,-1.59542
0.6727707,-0.06703765,9.97185,-0.2290076,3.396947,-1.412214
0.5674258,0.03591302,9.835381,-0.1603053,2.015267,-1.396947
0.5602432,0.09816227,9.859323,-2.022901,0.6870229,-1.099237
0.6009446,0.05267244,9.730036,-0.02290076,-0.09923664,-1.053435
0.6512229,0.02394202,9.847352,-2.641221,-0.2290076,-0.8167939
0.5913678,-0.03591302,9.768343,-0.9083969,-1.335878,-0.1984733
0.6536171,-0.1173159,9.871294,-1.587786,-1.175573,-0.6641222
0.6105214,-0.08140286,9.842564,-1.931298,-0.3129771,-0.1068702
0.6967127,-0.1580173,9.809045,-1.954198,-0.2061069,-0.778626
0.6967127,-0.1843535,9.742006,-1.763359,-0.06870229,-0.778626
0.6224924,-0.248997,9.859323,-1.862595,0.2824428,-0.6641222
0.6895301,-0.2154782,9.799467,-1.259542,0.07633588,-0.9236641
0.6991069,-0.3399766,9.832987,-1.076336,0.06870229,-0.4198473
0.6512229,-0.3495534,10.02692,0.4274809,1.198473,0.1145038
0.6536171,-0.1292869,9.780313,0.04580153,1.206107,-0.05343511
0.7422025,-0.3543419,9.82341,1.89313,1.267176,0.1374046
0.6536171,-0.2466028,9.885659,1.610687,2.824427,0.5038168
0.4668693,-0.272939,9.89763,1.603053,1.885496,-0.2061069
0.5961562,-0.1340753,9.773131,-1.442748,0.04580153,0.9923664
0.5315128,-0.09576806,9.821015,0.740458,1.496183,-0.3740458
0.5147533,-0.1963245,9.763555,2.305344,1.778626,0.8625955
0.5530606,-0.1628057,9.883265,0.6030535,-0.7938931,0.259542
0.521936,-0.1197101,9.830592,-1.244275,-0.3740458,-0.4351145
0.4309563,-0.1987187,9.976639,-0.8854962,-0.5954198,0.02290076
0.5171475,-0.1747767,9.859323,-0.5954198,-0.1221374,0.4198473
0.5770026,-0.1771709,9.864111,-0.6870229,-0.5419847,-0.6335878
0.5147533,-0.2082956,9.837775,-0.7938931,-0.3740458,-0.1145038
0.5123591,-0.1843535,9.813833,1.030534,0.4122138,0.4274809
0.5722142,-0.1604115,9.816227,0.610687,-0.5954198,0.0
0.545878,-0.2082956,9.962274,-0.6946565,-0.2900764,0.389313
