ax,ay,az,gx,gy,gz
-0.605733,-9.399636,1.479617,-2.122137,7.389313,-7.290076
-0.6775591,-9.85214,1.51553,-1.412214,0.1526718,1.671756
-0.5386954,-9.722853,1.441309,-3.076336,0.2671756,-0.7328244
-0.4668693,-9.811439,1.376666,-2.80916,2.473282,-1.931298
-0.5123591,-9.751583,1.314417,-0.740458,4.312977,-1.946565
-0.5626374,-9.646238,1.491588,-1.801527,2.923664,1.839695
-0.6248866,-9.998186,1.261744,-2.625954,-0.6030535,1.030534
-0.3543419,-9.710882,1.051055,-7.61832,-5.824428,-1.671756
-0.3687071,-9.832987,1.103727,-5.450382,-10.35114,-2.091603
-0.4046201,-9.830592,0.9624691,-8.267176,-10.27481,-3.458015
-0.09816227,-9.78989,0.5889736,-6.541985,-11.9313,0.6183206
0.01675941,-9.837775,0.4453215,-14.69466,-2.557252,-1.549618
0.2585738,-9.804255,0.06703765,-15.53435,16.19084,-4.961832
-0.07900865,-10.16578,0.01197101,-8.641221,37.29008,-12.03053
-0.2346318,-9.907207,-0.4309563,-10.49618,41.54198,-10.0458
-0.004788403,-9.82341,-0.5195417,-11.67939,39.72519,-15.54962
-0.2178724,-10.80743,-0.1987187,-9.458015,31.10687,-15.1374
1.568202,-10.09156,-0.7661445,-15.45802,53.69466,-24.45038
1.146823,-9.394848,-0.1316811,-8.893129,72.51908,-16.61069
1.704672,-10.21845,0.248997,-6.396946,86.32061,-11.10687
3.684676,-8.540117,-2.719813,-28.25954,25.83969,-74.98473
5.130774,-7.936779,-2.0231,-59.98473,81.35878,-103.7328
3.165135,-8.087613,-0.878672,-72.92367,-56.38168,-100.6641
7.795521,-5.406107,-3.761291,-117.0076,9.877863,-96.51908
2.470816,-5.573701,-3.406949,-39.69466,32.44275,-41.46565
0.6919243,-2.734178,9.928755,34.89313,-139.8244,55.71756
12.90475,-0.3471592,-2.657564,118.7939,185.9618,-39.00763
19.6127,1.759738,16.49605,60.20611,170.0229,-119.8168
9.775525,-0.3399766,3.58412,9.748092,26.55725,-16.41221
5.298368,1.999158,5.030218,7.625954,-46.83206,12.50382
10.21127,-0.9888053,3.524265,-18.93893,2.526718,4.847328
9.306262,-1.441309,2.30801,8.38168,7.290076,0.7175572
8.544906,-0.9002198,3.119645,3.320611,-17.03817,-3.755725
9.552865,-0.344765,2.315193,3.374046,-8.679389,-1.580153
9.239224,-0.6847417,2.094927,5.664122,-6.251908,1.717557
9.090784,-0.7278373,2.27928,5.458015,-7.89313,0.6183206
9.169792,-0.7422025,1.970428,2.526718,-6.10687,-0.4503817
9.121908,-0.6248866,1.879448,1.076336,-3.503817,0.07633588
9.313444,-0.6392518,1.769315,0.519084,-4.358778,0.5572519
9.337387,-0.6991069,1.750161,1.068702,-1.099237,0.6717557
9.196129,-0.6392518,1.695095,-1.396947,-0.2824428,-0.2290076
9.40203,-0.6033388,1.541866,-1.312977,-2.076336,-0.519084
9.31105,-0.6536171,1.489193,0.5419847,0.1374046,0.7938931
9.32781,-0.6607997,1.683124,0.08396947,-3.664122,0.1603053
9.301474,-0.7326257,1.405396,1.015267,-1.847328,-0.4732824
9.26556,-0.6248866,1.529895,0.07633588,-0.519084,0.2900764
9.200917,-0.6344634,1.630451,0.4198473,0.2900764,-0.6870229
9.23683,-0.6847417,1.632845,1.740458,0.1603053,0.07633588
9.296685,-0.6584055,1.49877,1.564886,0.2137404,-0.480916
9.267955,-0.5961562,1.534683,0.8931297,-0.1221374,-0.1374046
9.349358,-0.5889736,1.493982,-0.3129771,1.603053,0.5648855
9.244013,-0.6751649,1.61848,-0.1068702,0.6870229,0.129771
9.287108,-0.6248866,1.673547,-0.03053435,-0.6793893,-0.5877862
9.289502,-0.6344634,1.496376,-0.4045802,-0.01526718,0.02290076
9.229648,-0.6129156,1.637634,-1.053435,0.4503817,-0.1526718
9.167398,-0.6272808,1.486799,-1.358779,0.7862596,0.2366412
9.239224,-0.6440403,1.501164,-0.6412213,2.450382,0.3129771
9.196129,-0.6751649,1.66397,0.1221374,1.076336,-0.8778625
9.263166,-0.6607997,1.656788,0.1908397,-1.778626,0.2748091
9.342175,-0.6488287,1.520318,0.04580153,-0.2137404,-0.03053435
9.251195,-0.6200982,1.647211,0.1450382,0.3587786,-0.04580153
9.277532,-0.6703765,1.527501,0.2137404,-1.328244,0.2671756
9.349358,-0.5506664,1.496376,-0.3664122,-0.03816794,-0.1603053
9.387665,-0.5961562,1.51553,-1.961832,2.045802,-0.08396947
9.325416,-0.6440403,1.616086,-1.458015,-1.21374,0.8396947
9.258378,-0.6967127,1.582567,-3.137405,-0.7022901,-0.8167939
9.294291,-0.6991069,1.49877,-1.648855,1.580153,-0.5877862
9.313444,-0.6584055,1.436521,-0.1374046,-0.5419847,0.09160305
9.272743,-0.6703765,1.551443,-0.3053435,0.02290076,-0.1145038
9.23683,-0.593762,1.54426,-0.5419847,0.5954198,0.389313
