ax,ay,az,gx,gy,gz
1.580173,-9.617508,1.551443,-6.053435,-0.9389313,-9.145039
1.817199,-9.68694,1.216254,-5.29771,2.610687,-17.96183
2.149993,-9.440337,1.570596,-5.793893,3.099237,-30.53435
1.541866,-9.179369,2.719813,1.022901,1.389313,-4.549618
1.683124,-9.232041,2.389413,0.2290076,-12.24428,7.748092
1.865083,-8.645462,1.771709,-8.549619,-21.0458,9.343512
3.05979,-10.20169,0.9481038,-17.22901,-23.34351,2.557252
2.104503,-9.648633,0.7637503,-3.916031,-16.17557,1.183206
1.61848,-10.92953,1.077391,3.923664,-20.16031,12.48092
0.5386954,-9.624691,0.9911995,11.57252,1.206107,15.90076
-0.1292869,-9.76116,0.8259995,10.0229,-6.122138,17.96947
1.142034,-10.18254,0.8092402,21.49618,-12.32061,5.358778
1.297657,-9.112331,1.09415,-2.465649,-1.0,-7.221374
0.5602432,-9.572019,1.999158,3.053435,-19.45802,-4.801527
1.833959,-9.215282,2.092532,4.832061,-36.67176,-5.641222
1.747767,-10.49618,2.305616,11.14504,-24.77863,-6.419847
1.414973,-9.129091,2.588132,15.9084,-39.43512,-14.75572
1.675941,-8.327033,3.548207,23.9313,-60.74046,-11.21374
1.750161,-8.176199,2.856283,-0.519084,-76.10687,-30.19084
3.615245,-6.160281,0.6631939,-67.70229,-76.47328,-11.29771
6.409278,-6.093243,0.04070143,-65.12214,-2.633588,-58.45802
-4.201824,-8.731653,-1.781286,-117.2672,-175.1145,-31.29771
7.117962,-2.291251,-2.305616,-111.6412,9.725191,-97.60305
5.41329,-6.600814,-5.856217,-190.4198,-3.229008,-121.3206
6.215348,-4.99191,-5.058948,-241.5496,-28.51908,-84.03053
3.98874,-2.329558,-2.913743,-110.2061,-85.90839,-88.42748
-3.974375,1.980005,-6.737284,185.4809,-250.1374,-49.93893
-0.4979939,1.922544,-14.82729,211.7786,-250.1374,32.73283
-19.6133,19.6127,-19.6133,-145.7634,-159.0458,54.26717
-8.980651,-1.211466,-6.720524,97.90076,-64.45802,49.55725
-4.043807,2.492364,-3.203442,22.25191,8.068703,0.4274809
-5.870583,0.2298434,-10.12987,28.22901,24.9084,-6.320611
-6.488286,-0.5195417,-9.062054,32.0687,-22.54962,0.519084
-6.725313,-1.335965,-7.802703,15.21374,-24.45038,-0.3206107
-6.931214,-1.764527,-8.099585,9.603053,-19.08397,7.045802
-6.473921,-1.024718,-6.679823,-1.885496,4.80916,2.007634
-6.627151,-1.692701,-6.495469,-1.664122,11.05344,12.98473
-7.180211,-1.347936,-7.589619,2.51145,21.93893,8.450381
-6.811504,-1.268927,-7.735666,3.40458,3.022901,-1.145038
-6.682217,-1.441309,-7.508216,-0.5877862,-1.396947,0.1603053
-6.725313,-1.386243,-7.457938,0.2366412,-1.045802,1.679389
-6.754043,-1.450886,-7.49864,0.8167939,-2.229008,1.038168
-6.739678,-1.460463,-7.388506,0.3816794,-0.04580153,0.5572519
-6.727707,-1.374272,-7.462727,0.5114504,0.5267176,1.045802
-6.768408,-1.403002,-7.48188,-0.1908397,-2.198473,0.8778625
-6.744466,-1.441309,-7.40766,-0.4503817,0.389313,1.343511
-6.821081,-1.450886,-7.560889,1.068702,-0.1450382,1.396947
-6.751649,-1.381454,-7.515399,0.2900764,0.1450382,0.6870229
-6.696582,-1.429338,-7.57286,-0.1526718,-1.374046,0.648855
-6.730101,-1.403002,-7.383718,-0.2366412,0.6259542,1.763359
-6.777985,-1.386243,-7.472303,-0.1145038,0.6946565,0.9541985
-6.742072,-1.352724,-7.445967,-0.1068702,0.04580153,1.030534
-6.71813,-1.367089,-7.477092,-0.3587786,-0.8015267,1.236641
-6.751649,-1.448492,-7.510611,-0.2213741,0.5648855,0.9007633
-6.794744,-1.343147,-7.493851,-0.2519084,-0.2671756,0.9770992
-6.773197,-1.388637,-7.49864,-0.3969466,0.1984733,1.458015
-6.706159,-1.388637,-7.534553,-0.5572519,0.3206107,1.099237
-6.696582,-1.359907,-7.484274,-1.282443,0.7938931,0.9083969
-6.749255,-1.321599,-7.477092,-1.40458,2.778626,1.114504
-6.696582,-1.345541,-7.654263,-0.9389313,1.206107,1.221374
-6.646304,-1.292869,-7.685388,-0.519084,1.091603,0.07633588
-6.612785,-1.221043,-7.728483,-0.7557252,3.068702,0.3816794
-6.55293,-1.290475,-7.639898,-0.0610687,0.007633588,0.9236641
-6.576872,-1.221043,-7.671022,0.1145038,0.06870229,0.832061
-6.64391,-1.244985,-7.544129,0.1755725,0.2519084,0.7022901
-6.584054,-1.278504,-7.73806,0.5114504,-0.1374046,0.2519084
-6.53617,-1.321599,-7.644686,0.1450382,0.1984733,0.5648855
-6.607996,-1.278504,-7.671022,0.2900764,0.09923664,1.015267
-6.545747,-1.228225,-7.718906,0.2137404,0.1145038,0.4503817
-6.512228,-1.237802,-7.718906,0.3664122,-0.02290076,0.5801527
