ax,ay,az,gx,gy,gz
1.09415,-6.519411,-8.571242,20.9313,-1.274809,-6.137404
0.9433154,-5.635951,-7.666234,0.1832061,0.05343511,-3.198473
0.6464345,-6.253655,-7.965509,4.015267,-4.076336,-8.0
0.6392518,-6.100426,-7.661446,13.03817,-15.0916,-19.73282
0.85473,-6.019023,-7.261614,3.167939,-20.62595,-30.33588
0.9074024,-5.114015,-7.129933,-13.9084,-33.9771,-35.51908
2.557007,-5.228937,-7.536947,-63.34351,-13.0458,-5.870229
2.276886,-4.103662,-8.980651,-52.87023,-21.49618,-27.19084
-0.5051765,-3.531447,-2.817975,-11.9313,-62.51908,-23.69466
6.457162,3.153164,-15.17445,-250.1374,123.1985,48.38168
-5.260061,-3.313575,-18.16002,53.82443,-19.9313,65.63359
1.697489,-3.572149,-11.17134,-127.6336,58.56488,12.26718
-3.222595,-2.432509,-7.90326,-97.75572,-7.137404,65.34351
-5.140351,-3.79481,-4.869806,-34.48855,-15.9313,50.22901
2.621651,15.80891,-13.3788,41.50382,123.1908,250.1298
-11.21684,9.382876,17.93257,250.1298,-109.3053,123.626
14.80574,-4.314352,0.3232172,-71.79389,87.51908,4.91603
-4.426879,0.1364695,-0.8930372,-5.229008,-113.0458,-169.313
-3.471592,6.277597,-0.8619126,-42.36641,78.72519,59.41985
8.532935,0.2705448,-1.580173,14.0,25.17557,20.01527
7.592013,-0.7972692,-5.870583,-22.93893,-4.847328,-2.519084
7.958326,-1.958457,-4.405331,-13.1145,-6.580153,-27.17557
7.967903,0.1125275,-5.331887,-11.61832,-20.37405,-12.33588
7.785944,0.2418144,-6.021417,-8.236641,-12.89313,-5.938931
7.594408,0.4788404,-6.198588,-2.763359,6.259542,2.603053
7.733272,-0.08140286,-5.597643,0.1679389,7.259542,2.89313
7.66384,0.1963245,-5.81791,0.1603053,-3.977099,-1.473282
7.57286,0.1819593,-5.719748,-4.038168,-9.21374,-9.961832
7.596802,0.8331822,-6.370971,-3.10687,-6.419847,-5.0
7.541735,0.5147533,-6.119579,-0.5725191,6.91603,2.435115
