ax,ay,az,gx,gy,gz
1.611298,-7.972692,-5.930438,3.580153,0.480916,0.2900764
1.364695,-7.994239,-5.712565,-2.603053,3.664122,1.709924
1.328782,-8.044518,-5.798757,2.450382,-0.961832,1.236641
1.182736,-8.197746,-5.588067,0.9389313,-5.129771,-4.091603
1.747767,-7.836222,-5.877765,-5.61832,1.267176,0.389313
1.446098,-8.027759,-5.731719,-4.610687,4.167939,1.709924
1.668759,-7.915231,-5.650316,-13.9313,11.69466,4.625954
1.778892,-7.785944,-5.767632,-17.70992,15.74809,6.480916
1.881843,-7.410054,-5.935226,-22.25954,21.99237,10.16031
3.246537,-6.969521,-5.940014,-39.05344,57.78626,23.86259
3.679888,-7.015011,-6.593631,-57.76336,108.0458,47.71756
1.398214,-7.070077,-7.086837,-33.87786,112.8321,65.12214
0.8834604,-8.013393,-6.090849,-66.8168,70.39695,8.091603
1.388637,-8.516175,-6.23929,88.30534,20.37405,39.85496
-0.6751649,-1.441309,-1.637634,-104.5954,91.03817,54.23664
1.848324,-7.869741,-4.254497,-61.79389,58.39695,-52.73283
2.013524,-3.799598,0.2202666,-35.8168,1.458015,-74.27481
0.03591302,-0.7230489,-19.6133,-180.0153,-9.267176,-250.1374
-5.671864,1.963245,18.19114,-65.63359,-154.2366,-43.44275
6.517017,14.63336,-3.476381,-250.1374,190.2595,250.1298
