ax,ay,az,gx,gy,gz
-0.260968,-9.033323,-4.414908,-0.8778625,-2.068702,-1.793893
-0.2873042,-8.92319,-4.525041,-1.977099,0.610687,-0.3587786
-0.272939,-8.995016,-4.405331,-1.549618,2.129771,-0.5648855
-0.2585738,-8.8777,-4.469975,-3.908397,2.206107,0.04580153
-0.3256114,-8.935161,-4.553771,-2.229008,3.419847,0.7328244
-0.3184288,-9.069236,-4.333505,0.2137404,3.816794,0.1603053
-0.533907,-8.647857,-4.309563,-8.21374,2.732824,4.549618
-0.794875,-8.779537,-4.515464,-9.778625,-6.969466,0.870229
-0.6440403,-8.623915,-4.726154,-26.37405,-6.641222,0.6870229
-0.806846,-8.087613,-4.757279,-33.29008,-5.183206,2.847328
-0.5722142,-8.394072,-5.93762,-33.54962,5.725191,-3.70229
1.805228,-6.780379,-5.801151,-19.71756,25.00763,0.4503817
-1.802834,-11.03488,-5.688623,-20.16031,-14.77099,3.129771
0.926556,-5.200206,-5.573701,-25.68702,0.8167939,-9.740458
-1.946486,-4.417302,-3.758897,-101.542,-93.15267,11.24428
-0.8140285,-4.065354,-4.043807,-86.78626,-90.25191,-22.1145
-1.216254,-5.60722,-13.74272,-166.145,106.2443,78.78626
-3.287239,-1.309628,-5.26485,-38.77863,-23.98473,-1.282443
-2.425326,-2.693477,-8.535329,-154.1221,-23.54198,21.0458
-2.288857,-1.604115,-11.41316,-115.6641,-6.29771,44.12214
-7.855376,-0.7230489,-18.76815,92.55725,90.87023,52.16794
1.891419,8.35337,-10.1586,96.42748,-96.8855,-29.06107
-0.02633622,6.291962,-8.219295,106.2748,42.21374,-9.78626
2.379837,3.730166,-11.09713,-95.78626,41.43512,27.54198
-3.663129,-0.9648633,-12.67969,87.98473,2.534351,-6.435114
0.07661445,0.1029507,-9.368511,0.5572519,19.42748,-8.717557
-0.6823475,0.3998317,-10.74278,-18.8855,2.839695,13.82443
-0.4548983,-1.386243,-9.610326,34.19084,28.20611,8.832061
-1.187524,-0.8930372,-9.792285,-18.66412,-1.061069,10.50382
-0.237026,-1.932121,-9.423578,11.15267,-4.992366,1.748092
-0.3639187,-1.036689,-10.33816,-21.43511,-8.770992,0.2748091
0.1604115,-1.35033,-11.2312,-3.435115,1.793893,-3.251908
0.01915361,-0.8834604,-8.564059,-47.17557,-12.12214,-6.839694
-1.905785,-2.80361,-10.4866,-8.229008,-10.89313,-9.38168
-0.09576806,1.92015,-10.4459,-15.92366,-37.27481,-10.54962
-1.47004,-2.899378,-12.51928,-6.580153,19.98473,-2.717557
-0.8762778,0.1244985,-9.677363,49.0916,26.47328,0.4045802
-1.651999,0.4237737,-9.504981,-8.435115,-15.31298,-2.694656
-1.228225,-1.630451,-10.69969,8.022901,2.725191,-5.801527
-0.6799533,-0.914585,-10.16578,20.92366,11.96183,-9.687023
