ax,ay,az,gx,gy,gz
-0.4357447,-9.646238,-2.109292,-0.4885496,2.450382,2.328244
-0.8403648,-9.974244,-1.781286,-1.29771,70.68702,-2.358779
-0.07661445,-9.631873,-2.121263,-0.4732824,-3.183206,0.08396947
0.902614,-9.315839,-2.633622,0.03816794,19.0,3.656489
-0.6536171,-9.878476,-2.573767,-3.473282,1.59542,-1.458015
-0.4548983,-10.0772,-1.182736,5.236641,6.778626,3.312977
2.049437,-7.52737,-2.094927,0.5496183,-2.610687,1.435114
-0.6799533,-9.698911,-1.747767,-1.091603,1.175573,0.3358779
-0.5841852,-9.691729,-2.047042,-1.129771,-1.19084,-1.618321
-0.320823,-9.782708,-1.838747,-3.908397,2.358779,-1.145038
-0.85473,-9.825804,-1.798046,-0.870229,-0.3053435,-0.8931297
3.524265,-8.635885,-2.487576,-3.053435,14.32061,0.9770992
-0.5171475,-9.660604,-2.075773,2.557252,-2.931298,-1.473282
0.3375824,-9.868899,-2.147599,-1.251908,-7.19084,-0.519084
-0.4525041,-9.753978,-2.001553,-1.038168,-0.832061,-0.389313
-1.726219,-10.05325,-2.355895,0.4351145,0.04580153,0.648855
-0.3495534,-9.41879,-2.238579,1.48855,6.076336,2.694656
-0.3423708,-9.763555,-2.183512,-1.885496,3.114504,1.580153
-0.1819593,-9.710882,-1.99437,2.664122,1.648855,-1.274809
-1.865083,-11.92073,-2.695871,-6.48855,5.89313,2.366412
-0.4812346,-9.821015,-2.23379,-0.06870229,3.114504,0.2061069
-0.3830723,-9.844957,-1.798046,0.480916,10.55725,-0.7328244
0.9002198,-8.578424,-2.080561,-1.625954,0.07633588,1.854962
-0.3806781,-9.689334,-1.972822,3.847328,2.847328,0.5496183
-1.414973,-9.653421,-0.7278373,-7.755725,-25.52672,-4.328244
-0.5841852,-10.25197,-1.915361,0.1908397,2.732824,0.5648855
-1.233014,-8.305486,0.01436521,-0.2748091,-47.48092,-3.59542
0.5865794,-9.504981,-2.286463,-0.8931297,1.679389,1.351145
-0.3758897,-9.397242,-1.465251,0.1984733,-1.206107,-0.0610687
-0.3687071,-9.974244,-2.181118,0.1984733,3.091603,-1.221374
-0.1508347,-9.593566,-1.975216,-5.694656,3.435115,1.427481
13.46738,-12.18649,-15.45936,-0.6793893,25.15267,0.1374046
-0.320823,-9.82341,-1.905785,0.03816794,-2.229008,-0.04580153
-0.4668693,-9.775525,-1.881843,-0.9541985,-0.04580153,0.610687
-1.508347,-10.28788,-2.1883,-1.793893,-0.01526718,-0.1526718
-0.3998317,-9.76116,-1.936909,5.778626,0.5343512,0.1984733
-0.7685388,-9.710882,-2.274492,-2.183206,-0.2824428,-0.129771
-1.125275,-9.907207,-2.111686,-0.2671756,0.9694656,0.961832
-0.5841852,-9.32781,-2.664747,3.038168,0.1984733,2.908397
-0.3375824,-9.449914,-1.673547,0.778626,-2.40458,-0.7328244
