ax,ay,az,gx,gy,gz
-2.3535,-9.284714,-3.026271,3.473282,23.48092,-12.43511
-1.656788,-9.378088,-3.428497,-4.717557,27.49618,-12.01527
-1.819593,-8.659827,-2.949656,-2.671756,27.8855,-10.27481
-0.09816227,-8.995016,-4.307169,-14.83206,52.16794,-8.78626
0.4668693,-8.461109,-4.388572,-0.7099237,73.51145,6.122138
-0.1867477,-9.052477,-1.036689,0.2748091,53.45038,12.03817
0.1939303,-13.44584,-4.419696,-22.99237,20.01527,-12.70229
1.977611,-8.590396,-2.051831,16.71756,34.12977,-9.412213
1.908179,-8.406042,-2.626439,-22.44275,24.44275,5.312977
0.3974375,-8.418014,-3.533842,-4.045802,18.61069,6.290076
-0.2705448,-6.825869,-2.875436,-33.48092,-19.70229,15.83206
-0.9888053,-6.349423,-3.737349,-62.48855,-50.74046,20.64122
-0.9361328,-8.26239,-5.849035,-71.05344,-38.62595,29.71756
-1.520318,-9.291897,-6.289568,-66.41985,-26.64122,23.06107
-1.113304,-5.973533,-5.552154,-72.75572,21.71756,39.64122
-1.893814,-6.332664,-6.950367,-49.09924,23.94657,29.45038
-1.671153,-5.592855,-7.651869,-2.717557,21.68702,31.00763
-3.222595,-6.256049,-10.12747,13.67176,-6.732824,38.20611
-3.069367,-7.211336,-10.90798,45.05344,10.69466,8.839695
-1.278504,-7.953538,-10.08677,61.76336,-7.091603,-14.82443
-1.616086,-8.135497,-6.210559,74.96947,-6.328244,-0.8778625
-1.927332,-8.169016,-5.207389,68.96183,-8.923664,17.22137
-2.964022,-8.834604,-4.331111,74.37405,-8.236641,13.9771
-3.301604,-8.104373,-3.653552,57.83206,7.725191,11.64122
-3.828329,-9.205706,-2.600103,58.92366,-9.412213,10.30534
-3.148375,-9.028535,-1.130063,44.96947,6.290076,-8.312977
-2.585738,-9.909601,-0.2873042,38.52672,-10.74046,-2.870229
-4.19943,-8.810662,0.7637503,13.36641,-12.9771,-9.305344
-2.149993,-9.246407,0.308852,-13.85496,-1.70229,-5.206107
-2.521094,-9.849746,-0.557849,1.961832,-5.496183,-1.916031
-2.240973,-9.303867,-0.1987187,-9.725191,4.030534,-2.59542
-2.480393,-9.799467,-0.806846,4.748092,4.748092,1.587786
-2.6839,-9.457097,-0.28491,-4.80916,3.007634,2.465649
-2.904167,-9.5385,-0.2035071,-2.21374,2.946565,2.992366
-2.676718,-9.667787,-0.4548983,2.312977,0.8396947,-0.007633588
-2.794033,-9.488221,-0.3950433,2.679389,0.6641222,-0.3129771
-2.703054,-9.603143,-0.4118027,2.412214,-0.9923664,-1.129771
-2.707842,-9.560047,-0.1292869,0.8473283,0.7862596,0.1832061
-2.636016,-9.746795,-0.2825158,1.10687,1.580153,1.183206
-2.722207,-9.56723,-0.1675941,1.114504,0.7175572,1.083969
