ax,ay,az,gx,gy,gz
0.8116343,-9.193734,-2.738967,-11.53435,13.75572,8.007633
-0.4525041,-9.627085,-3.399766,-7.534351,-9.496183,5.473282
-0.5147533,-9.222465,-3.320758,-5.412214,-26.74809,-0.02290076
-2.260126,-9.895236,-2.741361,12.58015,-48.29008,1.534351
-0.5195417,-9.691729,-3.122039,-19.45038,-9.053435,6.335878
-1.699883,-8.822633,-2.248155,-2.717557,-3.427481,0.2977099
-0.6081272,-9.804255,-3.550601,-16.62595,34.87023,-0.351145
-0.08140286,-9.794679,-5.023035,-21.19847,58.31298,9.549619
-0.605733,-8.106767,-4.821922,5.442748,67.19847,5.312977
3.435679,-9.648633,-4.618415,-3.954198,82.09161,3.366412
-1.326388,-9.358934,-2.336741,-4.717557,55.80916,14.41221
3.009511,-8.664616,-3.861847,-14.25191,52.24427,-9.931297
1.900996,-9.018958,-2.693477,-31.26718,58.46565,19.99237
1.740585,-9.057265,-2.633622,-5.572519,43.74046,30.56489
-0.002394202,-9.986216,-2.827552,-20.20611,21.20611,43.32824
5.681441,-9.287108,-9.002198,-4.450382,69.35114,20.20611
-0.6153098,-9.085996,-3.363853,28.66412,91.19847,62.49618
0.5841852,-8.446744,-5.159505,-1.984733,80.12977,58.9084
-2.0231,-8.269572,-0.8738836,-7.022901,62.21374,16.29008
-0.8188169,-9.222465,-3.636792,-13.17557,38.60305,15.84733
0.2394202,-11.26232,-3.591303,0.6412213,38.34351,21.15267
0.1197101,-10.3645,-4.687847,-30.67175,42.75573,8.114504
2.296039,-6.181829,-7.216124,46.58779,84.43511,15.54198
-0.7900866,-10.57998,1.25935,-59.8168,-16.96183,2.603053
2.825158,-9.334992,-6.112397,66.1832,45.85496,-4.244275
0.9600749,-6.402095,0.7134721,-70.12977,22.58779,16.03053
-1.814805,-11.38922,-4.264073,-5.679389,-56.32061,8.885496
3.881001,-10.65659,-4.967968,19.25954,-20.90076,-21.52672
-1.584962,-8.980651,-7.278373,24.36641,-24.22137,-4.564886
3.28245,-5.930438,-2.238579,-12.26718,1.572519,5.099236
-3.931279,-11.23359,-5.803545,45.71756,-0.8244275,12.19847
0.02154782,-5.93762,-0.5554548,-19.9084,-22.1145,-12.54198
0.03830723,-10.35971,-4.182671,-8.725191,13.53435,-14.12214
0.9935937,-12.10987,-3.725378,-37.25954,30.34351,-8.847328
-2.561796,-9.564836,-6.112397,46.40458,-19.41221,-2.984733
1.015141,-6.402095,-1.944092,23.19084,-6.763359,-7.122138
-1.443704,-10.6111,-8.197746,-17.79389,-17.70992,-31.24427
3.689465,-5.374983,0.2537854,50.30534,-23.70229,-9.839695
0.05267244,-10.64462,-3.277662,-46.9542,-4.458015,12.57252
0.7469909,-11.49696,-3.050213,-10.83969,-20.72519,11.80153
1.13964,-9.512163,-6.229713,13.48855,0.961832,-1.725191
0.4381389,-6.339846,-1.936909,9.465649,-32.20611,-4.435114
1.175553,-10.13944,-4.74052,-44.37405,14.8626,4.526718
-3.421314,-8.537724,-1.513135,43.67176,-0.870229,-9.664123
2.171541,-8.444349,-3.864242,-60.41985,-16.39695,-10.39695
1.989582,-14.8225,-7.400477,12.41221,22.35878,-9.946565
0.5123591,-5.506664,-7.340622,9.198473,33.89313,25.48855
0.09576806,-8.990228,-2.248155,-35.41221,-30.23664,-15.93893
3.691859,-7.951144,-5.102044,41.70992,39.9084,12.74809
-0.5626374,-7.994239,-1.833959,-35.33588,13.85496,28.01527
-0.09097966,-11.45865,-3.349488,11.63359,-21.0458,9.114504
2.331953,-9.617508,-9.188946,-5.80916,19.09924,-1.19084
-0.2561796,-6.203377,-1.592144,39.06107,11.24428,14.42748
0.3806781,-10.21127,-5.499481,-51.67176,46.35878,13.79389
-2.961627,-8.267179,-2.066196,44.1832,18.48092,-0.9770992
0.9169792,-9.011775,-3.275268,-35.66412,-11.65649,-10.67176
0.1675941,-12.46182,-4.276044,21.0,22.90076,1.045802
1.35033,-6.830657,-6.725313,5.10687,15.30534,25.0458
-1.338359,-8.930372,0.007182605,32.9084,20.38168,4.145038
0.8236053,-10.35732,-6.864176,-33.38168,11.50382,-10.93893
3.804387,-5.214571,-0.3519476,20.77099,48.0458,19.29771
-0.3471592,-11.02051,-3.945644,-33.25191,28.74809,24.24427
-0.344765,-12.12903,-3.849876,2.221374,-3.70229,13.26718
3.636792,-7.690176,-5.023035,34.03053,73.76336,15.21374
-0.09816227,-6.121974,-4.230555,-40.77099,66.05344,35.41221
-0.7086837,-9.308656,-4.958392,-7.717557,15.67939,27.29771
-1.747767,-6.086061,-2.20506,13.9542,18.92366,-6.679389
0.8499416,-9.406818,-4.728549,-22.64122,-5.358778,-4.656488
-0.6272808,-9.974244,-3.524265,-21.99237,30.27481,6.541985
1.836353,-9.821015,-4.879383,8.038168,28.52672,3.694656
