ax,ay,az,gx,gy,gz
3.016694,-9.306262,0.2442086,-1.664122,-0.2290076,-0.5572519
3.040636,-9.382876,0.08379706,-1.435114,0.2290076,-0.4961832
3.031059,-9.351752,0.1651999,-0.5725191,1.793893,0.1832061
3.038242,-9.315839,0.3136404,1.648855,1.580153,1.618321
3.114856,-9.270349,0.2226608,1.519084,0.6183206,0.3358779
3.083732,-9.212888,0.1532289,1.343511,0.4198473,-0.3816794
3.100491,-9.332599,0.05506664,2.160305,2.70229,-1.580153
3.150769,-9.287108,0.2154782,0.6030535,7.625954,-5.061069
3.330335,-9.3733,0.4189853,1.137405,11.57252,-5.274809
3.265691,-9.227253,0.9433154,1.21374,14.0229,1.305344
3.404555,-8.693346,0.545878,1.984733,15.22901,-0.5877862
3.552995,-9.445126,1.707066,2.099237,23.12977,-7.229008
2.722207,-8.961497,1.843535,6.778626,11.28244,-0.2824428
3.229778,-9.102755,1.941698,4.89313,-1.564886,7.694656
2.913743,-8.92319,1.956063,9.916031,-16.71756,15.27481
3.780444,-8.827422,1.587356,4.641222,-22.61069,18.0458
1.946486,-9.057265,1.441309,5.587786,-23.98473,18.46565
2.272097,-9.473856,1.242591,2.519084,-16.77099,16.42748
1.644816,-9.742006,1.187524,4.229008,-17.53435,13.58779
1.580173,-9.531317,1.436521,5.564886,-18.87023,11.45802
1.417367,-9.643845,1.486799,8.114504,-14.9313,9.610687
1.024718,-9.332599,1.75495,11.54198,-22.1145,12.54198
0.7876924,-8.628703,2.133234,15.52672,-14.35878,18.18321
1.556231,-8.633492,-1.194707,38.19084,-56.15267,6.679389
-0.06224924,-7.76679,3.244143,-5.580153,-58.54962,-27.77863
2.394202,-7.03177,4.235343,92.83206,22.50382,-5.274809
4.683059,-6.964733,4.326323,115.4351,-11.48855,18.32825
0.3016694,-7.474698,7.366959,96.91603,5.206107,-4.038168
19.6127,-15.12657,19.6127,210.2366,250.1298,-51.83969
-2.214637,-0.9097966,10.38365,94.10687,144.374,56.03053
-0.07182605,7.515399,6.157887,89.55725,108.626,85.55725
-3.933673,1.465251,6.794744,-70.229,54.38168,1.763359
-6.981492,-1.235408,10.17057,-14.12977,5.091603,-22.33588
-5.190629,-2.08535,9.085996,18.68702,-7.900764,-8.068703
-3.873818,0.3758897,9.126697,5.61832,-7.160306,-5.862596
-3.009511,-0.07422025,9.19134,12.05344,-1.21374,-7.717557
-4.345476,0.02633622,9.277532,-6.221374,0.740458,14.38931
-3.890578,0.1197101,9.222465,-4.160306,1.022901,7.29771
-4.48434,-0.1484405,8.846576,1.977099,3.969466,11.14504
-4.307169,0.3663129,9.148245,-3.946565,7.366412,-2.21374
-4.479551,-0.05267244,8.753201,-0.5496183,11.90076,-4.862596
-4.668694,-0.2322376,8.844181,0.5877862,10.38168,-3.358779
-5.341464,-0.3016694,8.659827,-1.885496,11.52672,-3.160305
-4.989516,-0.007182605,8.705317,0.4122138,9.015267,-3.10687
-4.508282,-0.05506664,8.602366,-2.305344,-4.290076,-9.114504
-5.861006,-0.1795651,8.360553,5.854962,0.5267176,-9.923664
-5.243302,-0.2992752,8.552089,-1.931298,-2.091603,-0.3664122
-4.8722,-0.6272808,8.750807,2.610687,-3.152672,1.534351
-4.520253,-0.4572925,9.066842,-6.603054,-7.412214,10.05344
-4.812346,-1.09415,8.753201,0.5648855,-5.068702,-2.145038
-4.757279,-0.2513912,8.875306,-1.80916,-1.717557,2.549618
-4.5418,-0.7637503,9.033323,-1.870229,-0.4732824,1.801527
-4.920084,-0.3615245,8.884883,2.610687,5.175572,-1.839695
-4.850653,-0.4860229,8.865729,-3.549618,2.366412,-0.7099237
-4.414908,-0.6823475,8.983045,-7.206107,-0.8931297,-4.977099
-4.639963,-0.9576807,8.961497,-5.732824,-1.099237,-3.694656
-4.896142,-0.914585,8.810662,-1.89313,0.9236641,-2.21374
-4.565742,-1.462857,8.932767,-3.053435,4.015267,0.7557252
-5.152322,-0.2873042,8.525752,-4.007634,-0.2442748,-4.503817
-4.721366,-1.889025,8.968679,-2.366412,-1.21374,-1.740458
-4.850653,-0.6991069,8.293514,-2.610687,-5.274809,-0.5419847
-4.443638,-0.8212111,8.676587,-3.526718,0.2213741,0.4503817
-4.754885,-1.410185,8.710106,0.2290076,1.374046,0.4198473
-4.733337,-1.307234,8.798691,-0.7938931,-0.9312977,0.5343512
-4.702212,-1.407791,8.858546,-1.251908,-0.4274809,-0.4885496
-4.675876,-1.369483,8.846576,-0.3053435,-0.6564885,0.2671756
-4.663905,-1.345541,8.827422,-1.137405,-0.6030535,0.02290076
-4.556166,-1.273715,8.779537,-0.870229,0.4198473,-0.2213741
-4.51307,-1.23062,8.798691,0.9847328,2.458015,-0.7557252
-4.67827,-1.532289,8.918402,0.5648855,0.02290076,1.793893
