ax,ay,az,gx,gy,gz
1.977611,-9.785102,-0.296881,11.81679,-16.57252,14.94656
2.090138,-9.725247,-0.1244985,4.465649,-2.137405,1.022901
1.893814,-9.248801,0.1867477,6.778626,-5.770992,2.396947
2.030283,-9.981427,-0.1436521,12.36641,-20.17557,8.328244
1.431733,-9.933543,0.6607997,21.31298,-13.56489,11.91603
1.819593,-9.421184,0.782904,5.282443,-6.793893,1.931298
1.654393,-9.210494,1.484405,-3.022901,6.099236,-15.67176
1.759738,-9.854534,1.932121,4.557252,8.0,-9.603053
1.343147,-9.157822,1.587356,7.824428,-15.20611,2.503817
2.118869,-9.485827,0.9361328,-3.083969,-23.80153,8.389313
3.552995,-9.737218,-0.01675941,-22.49618,-18.64886,-11.19847
1.276109,-9.121908,1.302446,8.633588,-24.83206,-2.801527
2.77488,-10.0772,-0.3950433,-5.832061,-8.824428,7.236641
1.941698,-8.719683,-0.260968,2.091603,-44.52672,2.053435
2.449268,-9.361329,0.009576806,1.480916,-29.41985,3.648855
1.058237,-10.93671,0.2035071,12.64122,-11.61069,12.12977
1.410185,-9.038112,0.6584055,12.64122,1.755725,6.847328
1.446098,-9.751583,-0.01915361,2.89313,-9.961832,9.839695
1.496376,-9.562442,1.388637,12.72519,-5.48855,6.89313
0.9313444,-9.933543,1.553837,19.22137,-2.946565,7.770992
0.4572925,-9.284714,1.721431,23.92366,-11.91603,11.74046
-0.3160346,-7.929596,1.247379,31.59542,-20.34351,13.77863
0.926556,-4.474763,-1.015141,26.80153,-39.30534,-23.62595
-0.5674258,-19.1177,11.31979,-37.71756,-138.4427,-20.8855
6.952762,-11.49696,-0.3375824,20.67175,-47.26717,-41.0458
-0.8355764,-11.18332,4.565742,223.9542,-97.27481,-73.08397
19.6127,-19.6133,19.6127,214.6183,121.6183,-117.4351
2.145205,3.337517,6.186617,215.3512,124.2748,-59.54198
5.470751,8.789114,10.78109,87.38931,41.77863,23.1145
1.70946,5.24809,10.7787,53.8855,39.29771,42.93893
1.154005,0.9672575,8.312668,-9.076336,43.9313,27.41221
-0.2154782,4.237737,11.75314,-25.87786,27.86259,1.236641
-2.365471,0.2418144,10.84573,-15.54198,1.267176,-3.816794
-0.6440403,1.731008,10.04128,1.534351,3.206107,2.824427
0.3303998,1.173159,9.569624,-15.39695,2.343511,-8.816793
-0.2896984,0.3758897,9.794679,-8.671756,7.603054,-3.816794
-0.9552865,0.5554548,9.799467,-10.99237,5.885496,-6.770992
-0.3016694,0.1412579,9.782708,-4.427481,3.061069,-7.412214
-0.6560113,0.3399766,9.744401,-5.328244,7.679389,-5.045802
-0.8571242,0.04548983,9.983821,-2.671756,2.80916,-4.396946
-0.8116343,0.03112462,10.01016,1.251908,3.053435,-0.2061069
-0.7589619,0.07182605,9.77792,-0.9389313,2.526718,-0.9694656
-0.9457096,-0.07900865,9.902418,-0.7022901,2.557252,-2.259542
-1.034295,-0.1628057,9.902418,-1.21374,3.40458,-1.412214
-1.108515,-0.2106898,9.888053,-0.8549618,2.526718,-1.664122
-0.9840169,-0.1388637,9.68694,-0.9007633,0.4274809,-1.89313
-1.096544,-0.2154782,9.710882,-2.931298,-1.938931,-1.312977
-1.101333,-0.2825158,9.785102,-0.7862596,-2.465649,-0.7175572
-1.039083,-0.28491,9.866506,-1.328244,-1.587786,-0.778626
-1.017536,-0.3543419,9.923966,-1.022901,-1.633588,0.1755725
-0.9337386,-0.320823,9.825804,-1.167939,-1.038168,-0.02290076
-0.9983821,-0.4692635,9.871294,-0.8167939,-0.8778625,-0.04580153
-0.9959879,-0.4309563,9.89763,-0.9770992,-0.129771,0.4961832
-0.9864111,-0.4141969,9.919178,-0.4427481,-0.7480916,-0.007633588
-1.005565,-0.5386954,9.919178,-2.358779,1.007634,-0.389313
-0.9672575,-0.5075707,9.933543,-0.5725191,0.4198473,0.01526718
-1.00317,-0.5554548,9.919178,-0.05343511,1.007634,-1.038168
-0.9864111,-0.4572925,9.892841,0.1450382,1.664122,-0.07633588
-1.01993,-0.4070143,9.837775,0.2137404,2.167939,-0.129771
-1.074997,-0.4405331,9.919178,-0.05343511,2.633588,-0.6030535
-1.125275,-0.4213795,9.864111,-0.06870229,2.633588,0.1450382
-1.343147,-0.5554548,9.998186,0.7862596,2.916031,-0.03816794
-1.21386,-0.4548983,9.900024,0.5267176,1.015267,-0.389313
-1.074997,-0.4501099,9.765948,-2.282443,0.09923664,-1.625954
-1.022324,-0.3782839,9.92636,-2.183206,5.931298,-6.129771
-1.455675,-0.3998317,9.868899,-1.114504,2.122137,-11.56489
-1.525106,-0.6344634,9.837775,-1.351145,-1.381679,-7.274809
-1.300052,-0.6679823,9.986216,-1.381679,-1.160305,-6.648855
-1.434127,-0.7015011,9.940725,-1.465649,1.885496,-5.274809
-1.015141,-0.7350199,9.995792,-5.748092,6.534351,-2.885496
