ax,ay,az,gx,gy,gz
1.328782,-9.792285,-0.2801216,1.503817,-1.10687,1.442748
1.352724,-9.607931,-0.3399766,1.923664,-1.519084,0.480916
1.273715,-9.756371,-0.3591303,1.946565,-1.778626,0.9312977
1.357512,-9.849746,-0.2777274,1.839695,-1.969466,1.328244
1.383849,-9.67018,-0.3351882,1.59542,-2.137405,1.221374
1.338359,-9.730036,-0.3854665,1.10687,-0.9389313,0.2900764
1.362301,-9.785102,-0.3136404,0.5114504,-0.2290076,0.3816794
1.288081,-9.816227,-0.3184288,0.5801527,0.3282443,0.1603053
1.295263,-9.672575,-0.2178724,0.4045802,0.7022901,-0.07633588
1.314417,-9.80665,-0.260968,1.229008,1.244275,-0.2366412
1.39582,-9.655815,-0.2753332,1.068702,1.19084,0.1679389
1.292869,-9.813833,-0.2992752,0.5572519,3.183206,-0.5038168
1.347936,-9.713276,-0.3399766,-0.03816794,4.022901,0.05343511
1.242591,-9.725247,-0.2777274,-0.778626,4.961832,-0.0610687
1.278504,-9.768343,-0.3902549,-0.4885496,6.419847,0.1908397
1.228225,-9.674969,-0.3375824,-0.778626,7.480916,0.07633588
1.206678,-9.811439,-0.2801216,0.129771,8.343512,-0.03053435
1.233014,-9.715671,-0.3016694,0.5343512,9.030535,0.1068702
1.264138,-9.835381,-0.2346318,0.1679389,9.366412,-0.3664122
1.283292,-9.737218,-0.332794,0.1755725,10.96947,-0.4732824
1.278504,-9.677363,-0.2681506,-0.3435115,12.66412,-0.4580153
1.216254,-9.837775,-0.4070143,-0.1450382,14.85496,-1.51145
1.254562,-9.794679,-0.4572925,1.412214,17.87786,-1.633588
1.601721,-9.931149,-0.8619126,-7.778626,28.39695,-9.992367
2.798822,-9.569624,-1.074997,-13.77863,36.03817,-12.22137
2.209848,-9.255983,-0.4525041,-6.427481,28.26718,-2.412214
1.012747,-8.346188,1.326388,-3.748092,12.35878,14.82443
0.3615245,-9.13388,0.2178724,-13.96183,13.94656,16.9313
0.2537854,-10.75236,-0.02633622,-15.67939,13.96947,9.198473
1.793257,-12.17212,-0.260968,17.21374,-15.83206,-5.885496
0.6991069,-7.797915,0.3495534,-2.450382,-26.50382,9.687023
2.583344,-10.76433,-0.1963245,-14.0229,11.89313,-7.969466
1.01993,-9.318233,-0.6823475,-8.717557,28.51145,-1.534351
0.07900865,-10.31422,-0.3734955,-8.961832,34.9771,-0.4961832
0.2418144,-9.80665,-0.1915361,-1.954198,35.16031,-6.862596
-0.8882488,-9.660604,0.2561796,1.099237,22.07634,-10.16794
-0.6679823,-10.74039,-0.9337386,-2.29771,6.938931,-12.99237
1.422156,-9.991004,-0.9672575,0.1984733,13.76336,-14.57252
1.115698,-9.868899,-1.386243,3.938931,30.1145,-22.75573
1.479617,-10.45787,-1.807622,-6.526718,52.33588,-43.30534
3.667917,-9.713276,-0.902614,-0.3435115,74.15267,-45.80153
3.081338,-9.425972,-0.8331822,-8.671756,104.1145,-58.17557
1.496376,-10.39084,-1.39582,9.938931,95.1832,-72.19084
0.2274492,-8.118738,0.02633622,12.66412,64.14503,-52.33588
0.9696517,-8.690952,-0.01197101,34.8855,39.72519,-50.0229
2.501941,-9.050082,1.970428,41.1832,16.25954,-48.77099
1.326388,-8.264784,1.592144,48.10687,-3.725191,-43.41221
4.122815,-6.964733,0.7254431,46.70229,6.473282,-51.79389
4.29041,-6.236896,1.055843,39.25191,-6.801527,-61.53435
0.1819593,-5.133168,0.5291186,18.42748,-53.87786,-77.41985
2.999935,-3.229778,1.977611,-4.465649,-76.09161,-76.07633
1.467646,-3.16274,-1.343147,-21.91603,-91.53435,-64.76336
6.562507,-5.295974,0.4955997,12.85496,-6.007634,-40.51908
3.653552,-10.59913,-2.597709,2.580153,-17.81679,-43.80916
1.37906,-5.195418,0.1771709,-5.396946,-4.114504,-55.59542
5.374983,-6.16507,-0.9169792,12.61832,22.31298,-39.51145
2.497152,-10.07001,0.2920926,17.46565,23.28244,-48.35878
0.237026,-8.161834,3.155558,19.69466,-1.175573,-80.40458
0.6081272,-5.57849,1.958457,-10.16794,-23.31298,-107.9466
17.99243,-11.17134,-7.867347,108.542,-2.29771,-161.6565
10.91756,-7.690176,16.2279,-28.75573,-180.374,-91.07633
10.21366,6.05733,-14.35324,3.633588,-131.5267,-96.91603
19.6127,10.00776,-7.450756,5.648855,98.83206,-46.07634
17.62132,2.149993,-3.153164,-5.572519,195.2824,9.465649
2.94008,0.308852,-2.679112,23.29771,178.1069,-27.77099
8.937555,1.278504,-3.268085,38.9542,240.687,-82.54198
19.6127,-3.44765,16.30691,63.29771,196.229,-101.1985
4.711789,3.459621,8.616732,-47.75573,105.855,-28.64886
7.659051,0.344765,10.83137,-43.03053,121.2824,-58.92366
5.585672,7.36217,10.93192,-72.72519,9.068703,-15.1145
1.958457,-3.952827,5.571307,-31.66412,-31.37405,-10.45038
5.324705,-2.528277,3.124433,21.75573,-4.267176,-22.16794
5.980716,1.877054,6.086061,9.40458,25.82443,-9.343512
4.752491,2.8491,9.0429,-8.236641,8.396947,23.83206
5.552154,0.05027823,7.76679,-8.854961,8.335877,18.99237
6.739678,0.07900865,7.302315,-0.1908397,3.832061,12.79389
5.494693,-0.9983821,6.955156,-3.366412,-7.030534,0.9541985
8.63828,-1.201889,6.454768,15.63359,-18.05343,-14.51908
7.735666,0.03591302,5.829881,14.74809,-19.35114,-11.08397
7.079654,-0.1963245,4.812346,5.320611,-4.763359,-1.664122
6.540959,-0.5961562,5.81791,2.435115,-0.2137404,9.473283
6.909666,-1.23062,6.26802,-1.755725,-0.4503817,6.328244
7.302315,-1.405396,7.041347,-2.167939,-6.48855,-0.5954198
7.532158,-1.122881,6.270414,-1.21374,-12.91603,-5.656488
7.395689,-0.7110779,5.480328,-1.763359,-9.374045,-8.206107
7.441179,-0.1388637,5.159505,0.740458,-2.465649,-5.572519
7.390901,0.07422025,5.554548,-1.137405,3.229008,-2.145038
7.386112,0.009576806,6.145916,-4.587786,3.664122,-0.1755725
7.381324,-0.3615245,6.203377,-4.503817,3.572519,0.4198473
7.177817,-0.6368576,6.270414,0.5572519,2.687023,1.19084
7.034164,-0.3974375,5.963956,0.8778625,2.183206,0.8473283
7.058106,-0.4333505,6.052542,-3.526718,3.312977,-0.5877862
7.04853,-0.5554548,6.098032,-1.267176,3.832061,-0.9083969
7.151481,-0.5434838,6.224925,-0.4656488,2.625954,-1.572519
7.134721,-0.4668693,6.332664,-0.4274809,-0.2366412,-0.7862596
7.137115,-0.6105214,6.141128,1.458015,-1.419847,-0.7557252
7.117962,-0.5123591,6.090849,1.732824,-1.580153,-1.083969
7.151481,-0.4740519,6.107608,1.083969,-1.801527,-1.465649
7.218518,-0.4357447,6.095637,1.435114,-2.045802,-1.152672
7.343017,-0.4309563,6.157887,1.030534,-2.725191,-0.9694656
7.223307,-0.4141969,6.078878,1.122137,-2.229008,-0.3816794
7.113173,-0.4955997,5.880159,1.053435,-1.709924,-0.5114504
7.273585,-0.3543419,6.059724,-0.1908397,-0.610687,-0.5725191
7.381324,-0.3423708,6.023811,0.4045802,0.4732824,-0.04580153
7.254431,-0.5650316,5.846641,3.152672,-1.099237,0.4274809
7.187394,-0.3782839,5.978322,0.2977099,-2.198473,-0.8091603
7.249643,-0.3854665,6.07409,-1.053435,-1.580153,-0.8244275
7.235278,-0.3950433,5.997475,0.06870229,-0.7862596,-0.8015267
7.352593,-0.3351882,5.963956,0.07633588,-1.160305,0.1450382
7.283162,-0.3519476,5.880159,-0.6641222,0.7557252,-0.2366412
7.228095,-0.4668693,5.90889,-0.2977099,2.900763,-0.9541985
7.211336,-0.3950433,6.019023,-1.70229,2.801527,-1.480916
7.273585,-0.4189853,6.052542,-2.51145,1.824428,-0.4198473
7.314286,-0.4525041,5.95438,-2.007634,2.290076,-0.4961832
7.321469,-0.3950433,6.050148,-2.48855,1.977099,-0.7709923
7.264008,-0.4381389,6.088455,-2.358779,2.274809,-0.9541985
7.13951,-0.4860229,6.129156,-2.076336,2.343511,-0.8549618
7.170634,-0.4261679,6.07409,-3.923664,2.29771,-0.9694656
7.206547,-0.3902549,6.0286,-1.885496,1.755725,-0.6641222
7.141904,-0.5626374,6.212954,-0.7022901,1.389313,-1.442748
7.158663,-0.4884171,6.141128,-0.07633588,-0.4732824,-1.419847
7.13951,-0.2418144,6.198588,-5.503817,0.8778625,-0.8473283
7.264008,-0.4429273,5.968745,-3.694656,1.480916,-0.5801527
7.235278,-0.5171475,6.112397,-1.946565,1.412214,-1.175573
7.173028,-0.4668693,6.033388,-2.053435,2.366412,-1.59542
7.228095,-0.4788404,6.205771,-3.580153,2.725191,-1.496183
7.079654,-0.545878,6.045359,-0.7099237,2.603053,-1.175573
7.10599,-0.3854665,6.172252,-1.587786,2.351145,-0.9694656
7.089231,-0.4812346,6.289568,-1.221374,1.770992,-0.4656488
7.13951,-0.4740519,6.07409,0.259542,1.282443,-0.5496183
7.07726,-0.4932055,6.198588,-0.1832061,0.9465649,-0.4351145
7.055712,-0.5434838,6.244078,0.1221374,0.7251908,-0.5572519
7.084443,-0.521936,6.347029,0.610687,0.2824428,-0.832061
7.065289,-0.5243302,6.189012,-0.7099237,-0.1755725,-0.7480916
7.026982,-0.4740519,6.157887,-0.7251908,-0.3435115,-0.9312977
7.158663,-0.4525041,6.069301,-0.07633588,1.564886,-1.320611
7.218518,-0.3663129,6.246472,-0.8015267,0.3816794,-1.59542
7.225701,-0.2920926,6.203377,-1.099237,-0.3664122,-0.6870229
7.208941,-0.4932055,6.076484,0.7022901,-0.2671756,0.3358779
7.094019,-0.6344634,6.105214,2.396947,-0.5114504,-0.1984733
7.046135,-0.3375824,6.198588,0.07633588,-0.4580153,-0.7099237
7.146692,-0.344765,6.315904,0.4961832,-1.473282,0.3282443
7.220912,-0.4668693,6.110003,2.030534,-2.244275,0.9541985
7.173028,-0.3830723,6.076484,0.0610687,-2.480916,0.3664122
7.151481,-0.4525041,6.090849,-0.5496183,-1.183206,-1.015267
7.146692,-0.4453215,6.145916,0.8549618,-1.244275,-0.5801527
7.149086,-0.4309563,6.114791,1.519084,-0.8549618,-0.8473283
7.228095,-0.3016694,6.212954,-0.6717557,-0.5419847,-0.8091603
7.192182,-0.2681506,5.990293,0.1374046,-0.6030535,-0.4198473
7.264008,-0.3375824,6.131551,0.8625955,-0.5343512,-0.5572519
7.182605,-0.3711013,6.066907,-0.1374046,-0.09160305,-0.5343512
7.144298,-0.4141969,6.086061,0.5038168,-0.08396947,-0.3664122
7.21373,-0.3734955,6.069301,0.6412213,-0.7862596,0.2977099
7.141904,-0.4405331,6.033388,-0.9007633,-0.7557252,0.3053435
7.146692,-0.4022259,6.050148,-0.2442748,-0.5954198,-0.610687
7.180211,-0.3902549,6.078878,0.8473283,-1.0,-0.5343512
7.194576,-0.4525041,6.019023,0.4580153,-0.4427481,-0.07633588
7.230489,-0.3830723,6.160281,-0.4198473,0.1221374,0.2442748
7.177817,-0.3854665,5.980716,0.1374046,-0.07633588,-0.06870229
7.261614,-0.3902549,6.052542,0.04580153,0.0610687,-0.4122138
7.240066,-0.2561796,6.093243,-0.1221374,-0.09160305,0.129771
7.21373,-0.4644751,6.114791,-0.1755725,1.038168,0.6183206
7.19697,-0.4979939,5.990293,2.656489,-0.6793893,-0.2366412
7.151481,-0.3040636,6.217742,-1.396947,-0.4656488,-0.9694656
7.225701,-0.3040636,6.078878,-0.3435115,-1.198473,-0.04580153
7.192182,-0.3543419,6.114791,1.175573,-1.748092,0.4580153
7.204153,-0.3806781,6.121974,0.8015267,-1.480916,0.07633588
7.232883,-0.3615245,6.026206,0.4961832,-1.267176,-0.2900764
7.252037,-0.4405331,6.042965,0.1984733,-0.9847328,-0.6564885
7.189788,-0.4381389,5.968745,0.7633588,-0.7175572,-0.9694656
7.266402,-0.2944868,5.98311,-0.4045802,-0.1984733,-0.9389313
7.335834,-0.2992752,5.975927,0.07633588,-0.7938931,-0.06870229
7.299921,-0.3040636,5.90889,0.5954198,-0.1526718,0.1526718
7.33344,-0.3471592,5.947197,0.2366412,0.1832061,-0.2977099
7.218518,-0.332794,5.992687,0.1679389,0.259542,-0.09160305
