ax,ay,az,gx,gy,gz
6.004658,-7.76679,-1.78368,49.27481,15.77863,62.07634
4.158728,-9.181764,-2.013524,81.66412,33.05344,88.46565
1.132457,-7.584831,-0.4812346,53.76336,27.70992,72.771
2.066196,-10.9439,-0.2466028,35.74809,26.52672,28.03817
0.7900866,-8.192958,1.103727,22.79389,44.38931,5.259542
2.856283,-8.681376,3.021482,10.0229,12.70992,0.9541985
1.608904,-8.959103,3.983952,4.435114,-8.343512,3.450382
-0.1221043,-7.735666,2.96881,4.320611,7.923664,15.40458
0.7134721,-8.271967,3.490746,5.458015,-1.099237,-2.030534
0.7062895,-9.241618,3.466804,-6.244275,3.183206,-1.931298
0.1316811,-9.126697,3.572149,-5.335878,3.10687,2.793893
0.320823,-9.509769,3.438074,-3.022901,3.847328,0.04580153
0.07182605,-9.370906,3.383007,0.1068702,5.78626,-1.465649
0.3160346,-9.351752,3.095703,0.7633588,3.305344,-0.3740458
0.1484405,-9.294291,3.138798,-0.6717557,-2.381679,-0.3587786
0.2633622,-9.279925,3.153164,-1.038168,-2.19084,-0.3435115
0.3663129,-9.291897,3.13401,-1.900763,-2.610687,0.610687
0.4285621,-9.342175,2.999935,-2.839695,-0.6870229,-0.4580153
0.4381389,-9.263166,3.071761,-1.022901,-0.5419847,-0.5801527
0.4932055,-9.349358,3.026271,0.4503817,1.473282,-1.885496
0.4836287,-9.325416,3.0143,0.7709923,1.244275,-1.267176
0.4668693,-9.390059,3.033453,0.09923664,0.08396947,-0.778626
0.4788404,-9.342175,3.122039,-0.480916,-0.6412213,-0.8549618
0.5099649,-9.25359,2.908955,-0.1984733,-0.832061,0.6335878
0.545878,-9.217676,3.062184,-0.480916,-1.442748,0.6412213
0.5410896,-9.330204,3.066972,0.06870229,-0.9389313,0.3740458
0.5530606,-9.339781,3.031059,-0.1221374,-0.5038168,0.5038168
0.5363012,-9.291897,3.040636,-0.1450382,-0.2824428,-0.2671756
0.4740519,-9.303867,3.081338,0.007633588,-0.1603053,0.259542
0.5051765,-9.303867,3.023877,0.648855,0.03053435,-0.0610687
0.4908113,-9.296685,3.047819,-0.6259542,-0.778626,0.1526718
0.4932055,-9.3733,2.983175,-0.1679389,-0.6183206,1.259542
0.5075707,-9.323022,3.093309,-0.09923664,-0.740458,0.3358779
0.5147533,-9.318233,3.213019,0.2748091,-0.519084,0.08396947
0.4548983,-9.387665,3.047819,0.9236641,-1.458015,0.4580153
0.521936,-9.272743,3.098097,1.244275,-1.396947,-0.3435115
0.4477157,-9.277532,3.110068,1.007634,-2.282443,1.541985
0.3998317,-9.296685,3.122039,1.931298,-2.610687,2.59542
0.4692635,-9.260772,3.119645,1.450382,-2.694656,1.450382
0.5722142,-9.315839,3.1795,1.19084,-2.21374,1.648855
0.4620809,-9.260772,3.201048,0.7251908,-1.290076,-0.05343511
0.5291186,-9.277532,3.177106,-0.08396947,-0.1984733,-0.610687
0.5267244,-9.284714,3.181894,-0.6641222,-0.7633588,-0.5954198
0.4357447,-9.277532,3.241749,-0.1450382,0.351145,-0.3435115
0.5386954,-9.277532,3.186682,-1.19084,1.396947,-0.4732824
0.782904,-9.308656,3.0143,-4.175572,2.312977,-5.564886
1.084573,-9.361329,2.784456,-5.335878,5.21374,-12.17557
1.733402,-9.23683,2.267309,-12.79389,4.625954,-25.51145
1.608904,-9.030929,1.87466,-41.13741,-17.67939,-48.73283
3.055001,-9.636662,2.169147,-29.61832,-11.08397,-63.96183
4.012682,-8.971074,1.09415,-19.16794,-15.62595,-50.21374
4.941632,-8.180987,0.3615245,-23.87786,-6.229008,-40.70992
5.329493,-8.329428,-0.4429273,-20.36641,-5.969466,-30.47328
5.911284,-7.862558,-0.5770026,-12.52672,0.1374046,-19.59542
6.244078,-7.340622,-0.6967127,-1.175573,-1.267176,-10.43511
6.449979,-7.252037,-0.8619126,-1.305344,-1.51145,-4.091603
6.47871,-7.072472,-0.8236053,-0.1755725,-0.08396947,-2.022901
6.514623,-7.072472,-0.9768343,-0.129771,0.4885496,-0.6946565
6.514623,-7.125144,-0.7565677,1.435114,-0.6717557,1.801527
6.469133,-7.072472,-0.9050082,3.274809,-0.1603053,0.08396947
6.46195,-7.141904,-0.6967127,2.633588,-1.312977,1.076336
6.466739,-7.156269,-0.7733272,3.900763,-0.519084,1.351145
6.296751,-7.240066,-0.6440403,0.7328244,-1.122137,4.091603
6.323087,-7.220912,-0.7134721,4.38168,0.1832061,3.992366
6.229713,-7.235278,-0.6488287,1.709924,1.038168,0.9236641
6.189012,-7.354988,-0.617704,0.2061069,-0.3206107,1.167939
6.311116,-7.426814,-0.5147533,2.564885,1.526718,3.458015
6.253655,-7.395689,-0.4860229,0.648855,5.053435,4.076336
6.155493,-7.393295,-0.3663129,-1.603053,4.885496,6.687023
6.107608,-7.441179,-0.4453215,-3.007634,5.877862,3.183206
