ax,ay,az,gx,gy,gz
1.403002,-9.485827,2.30801,-1.679389,0.4198473,0.4656488
1.412579,-9.49301,2.217031,-0.8015267,0.870229,-0.07633588
1.295263,-9.43076,2.221819,-1.396947,0.7480916,1.221374
1.391031,-9.435549,2.202666,-2.335878,3.709924,0.02290076
1.199495,-9.5385,2.214637,1.381679,0.1984733,0.9541985
1.244985,-9.471462,2.262521,4.832061,-2.221374,3.053435
1.161188,-9.545682,2.317587,9.290076,-3.610687,7.099236
1.151611,-9.43076,2.432509,8.206107,-6.21374,6.145038
1.11091,-9.358934,2.60968,4.045802,-5.89313,2.030534
1.098939,-9.366117,2.588132,3.045802,-3.526718,0.7175572
1.18513,-9.370906,2.679112,2.351145,-1.045802,0.4274809
1.067814,-9.3733,2.715025,2.10687,1.29771,-0.6717557
1.096544,-9.406818,2.8491,1.465649,1.900763,-0.9694656
1.077391,-9.303867,2.80361,0.007633588,0.3435115,-1.618321
0.7469909,-9.32781,2.861071,0.9694656,-1.40458,-2.129771
0.5554548,-9.385271,2.949656,4.900764,-11.69466,7.78626
1.043872,-9.356541,2.834735,4.183206,-15.96183,6.687023
1.331176,-9.313444,2.750938,1.961832,-7.08397,-3.732824
2.272097,-9.02614,2.329558,-11.00763,11.49618,-22.63359
1.644816,-9.962274,3.363853,-21.80916,23.96183,-23.44275
2.140416,-9.16261,3.047819,-14.74809,11.40458,-20.69466
2.20506,-8.659827,2.530671,-27.0687,15.16794,-13.35114
2.03986,-9.387665,2.616863,-21.47328,-3.641221,-1.70229
2.858677,-8.5473,0.926556,-2.587786,-1.374046,-17.9313
2.595315,-9.397242,0.8259995,-8.297709,6.40458,-12.58779
3.608062,-9.160215,0.7230489,-14.71756,-4.633588,-25.75573
3.131616,-9.325416,0.6823475,-37.30534,-3.587786,-52.72519
3.201048,-8.535329,-0.3878607,-49.93893,-9.259542,-73.47328
7.702147,-6.811504,-1.187524,-42.56488,-32.38931,-74.54962
6.098032,-5.094861,-2.185906,-37.93893,-58.59542,-47.74809
7.072472,-3.711013,-4.525041,-31.47328,-47.35878,-43.80916
7.117962,-2.72939,-6.775591,-31.58779,-50.20611,-35.77099
6.921637,-2.221819,-7.390901,-21.81679,-41.29771,-21.45802
7.192182,-1.884237,-7.924808,-13.16794,-18.77099,-21.49618
6.574478,-1.685518,-8.010999,-4.427481,-19.26718,-12.96947
6.232107,-1.374272,-8.377312,-2.770992,-8.122137,-8.839695
5.566519,-1.414973,-8.317456,-2.335878,-9.702291,-2.450382
5.216966,-1.043872,-8.485051,-6.51145,3.175573,-4.832061
5.640739,-1.403002,-8.422802,5.59542,5.526718,4.839694
6.418855,-1.82917,-8.537724,19.14504,25.80153,12.0229
6.821081,-2.276886,-8.219295,22.14504,29.09924,15.32824
6.555324,-2.899378,-7.13951,28.45802,36.25191,22.19847
7.266402,-3.711013,-5.741296,31.48092,42.79389,40.83969
6.698977,-4.501099,-4.242526,38.76336,41.14504,39.74046
6.629545,-5.422867,-3.28245,39.77863,32.96183,51.74809
6.210559,-6.416461,-1.932121,41.25191,37.27481,49.52672
4.867412,-7.520187,-0.9935937,43.06107,21.01527,60.33588
5.238513,-7.845799,-0.7350199,40.46565,11.35114,62.86259
3.694253,-8.796297,-0.03112462,33.45038,3.320611,49.74046
2.561796,-9.591172,0.6560113,30.83206,-1.557252,34.68702
2.798822,-9.351752,0.9624691,18.47328,14.96183,18.41221
1.891419,-9.677363,1.312023,5.198473,7.664122,2.641221
0.6871359,-9.332599,2.497152,3.59542,-13.67939,-4.610687
0.1675941,-9.516952,2.691083,7.351145,-4.068702,13.96183
0.3854665,-9.497798,2.863465,13.0229,17.35114,12.72519
1.005565,-9.363723,2.741361,13.70229,7.801527,6.587786
0.8738836,-9.555259,2.695871,13.08397,9.442748,1.0
1.053449,-9.148245,3.007117,0.9389313,5.152672,-5.244275
0.5554548,-9.301474,2.937685,-3.80916,5.748092,-3.099237
0.5530606,-9.131485,3.244143,-0.740458,4.465649,1.282443
0.6919243,-9.143456,3.29921,0.6564885,6.183206,3.984733
0.7781156,-9.222465,2.990358,1.114504,5.946565,2.114504
0.6033388,-9.23683,3.05979,-1.564886,4.450382,-0.7328244
0.5075707,-9.471462,2.973598,-1.343511,0.9160305,-4.877862
0.9504981,-9.414001,2.906561,-2.007634,1.923664,-9.21374
1.307234,-9.222465,2.911349,-2.59542,18.34351,-12.76336
1.175553,-9.275137,2.916138,-7.29771,31.41221,-12.8626
1.165976,-9.375694,2.772485,-8.206107,31.63359,-16.25954
1.115698,-9.299079,2.877831,-4.557252,25.33588,-13.33588
1.247379,-9.198523,2.880225,-6.625954,21.83206,-13.06107
