ax,ay,az,gx,gy,gz
0.2705448,-9.67018,0.6775591,-7.274809,-4.656488,0.5114504
1.101333,-9.73243,0.794875,-6.946565,3.572519,-21.06107
0.9768343,-9.816227,2.616863,8.259542,6.946565,-5.549618
0.1412579,-8.437167,1.824382,-3.938931,-8.183207,33.9084
1.115698,-11.95664,-0.3351882,-9.839695,-0.4503817,6.641222
-0.2920926,-11.02769,-0.2442086,-5.335878,-15.51145,9.137404
-1.125275,-9.433155,0.2035071,-21.42748,-26.05343,3.015267
-0.1915361,-10.46984,0.5770026,-0.8396947,-11.21374,2.19084
-0.6967127,-10.06044,0.5003881,17.90076,2.450382,6.557252
-0.8212111,-10.04368,0.2873042,22.22901,-7.51145,6.343512
0.1795651,-9.809045,0.6823475,10.28244,1.740458,-7.076336
0.3782839,-9.229648,1.376666,8.374045,19.45802,-16.42748
-0.4788404,-9.595961,1.130063,0.2442748,4.152672,5.938931
-0.3303998,-9.382876,1.970428,4.824428,4.274809,16.74809
-0.7015011,-10.20169,2.777274,8.832061,1.793893,5.938931
-0.5889736,-9.78989,2.636016,1.549618,0.4961832,2.045802
-0.6272808,-9.481039,2.336741,-1.770992,3.648855,0.1603053
-0.8236053,-9.490616,2.346318,-1.29771,-4.366412,1.244275
-0.7086837,-9.502586,1.92015,-3.358779,-5.022901,2.755725
-0.6751649,-9.660604,1.891419,-0.7480916,-4.076336,0.4503817
-0.8643068,-9.631873,1.63524,-3.10687,2.587786,0.6030535
-1.345541,-9.576807,1.711854,-3.900763,10.34351,-1.900763
-0.9193734,-9.416395,1.675941,-12.1145,18.26718,-15.27481
-0.6607997,-9.595961,1.908179,-12.8626,37.8855,-21.81679
0.1221043,-8.983045,1.493982,-5.473282,70.42748,-36.53435
0.7134721,-8.343793,0.7733272,-9.198473,71.16031,-28.96947
0.7852982,-8.657434,0.5410896,-17.54198,58.37405,-39.41221
-1.642422,-7.656657,2.492364,-24.92366,4.19084,-17.0687
2.77488,-3.406949,-0.07900865,-74.03817,-13.92366,-39.62595
2.183512,-1.683124,1.13964,-79.48855,106.084,-154.4275
3.294421,-5.214571,-2.813187,-190.9084,59.25954,-250.1374
19.6127,4.680665,-8.157045,-62.65649,243.2443,53.32824
4.19943,3.052607,8.446744,-48.57252,68.62595,83.05344
-4.302381,3.552995,3.011906,-39.49618,-128.7863,61.39695
8.054094,-3.20823,1.218649,8.297709,80.42748,-69.87786
9.892841,-1.132457,2.621651,-18.23664,-24.63359,-23.23664
9.572019,-0.1987187,1.831564,-2.717557,0.5648855,-12.17557
9.066842,-0.6105214,2.197877,-3.763359,8.328244,0.03816794
8.918402,-0.8355764,2.885013,2.038168,-3.458015,3.267176
8.89446,-0.8978256,2.406173,2.320611,-5.091603,3.381679
9.069236,-0.8140285,2.463634,2.740458,-0.8931297,2.083969
9.033323,-0.914585,2.286463,0.6564885,0.9083969,2.10687
8.872911,-1.007959,2.487576,-0.2442748,1.015267,-0.6564885
9.07163,-0.9313444,2.449268,-0.778626,2.259542,-1.061069
9.169792,-0.902614,2.573767,-2.572519,2.335878,1.145038
9.986216,-0.7972692,2.341529,-7.160306,4.122138,13.58015
8.657434,-1.388637,2.726996,-0.870229,11.9542,10.85496
9.165004,-1.254562,2.741361,0.1221374,-14.33588,34.14504
8.920795,-1.479617,2.834735,3.152672,14.21374,31.13741
8.157045,-2.822764,2.92332,-16.25954,3.587786,40.45038
7.302315,-4.374207,3.706224,-15.27481,13.45038,66.45802
6.785168,-4.955997,3.588908,-25.12977,18.54198,52.59542
6.459556,-6.840234,3.320758,-9.488549,16.32825,31.18321
5.588067,-7.216124,3.272874,-18.92366,14.20611,9.511451
5.999869,-7.390901,2.916138,-11.38931,25.01527,14.10687
5.21936,-7.261614,2.765303,-5.801527,0.7099237,8.473283
5.801151,-7.513005,3.639187,8.244275,8.984733,19.83206
4.955997,-7.275979,3.021482,-13.96183,23.07634,34.03053
2.291251,-9.184157,2.975993,3.763359,14.96947,10.64122
4.429273,-8.046912,3.969586,-8.030535,-8.038168,2.389313
3.040636,-7.704541,3.160346,-4.977099,2.122137,4.80916
4.168305,-8.049306,3.687071,0.1068702,9.641221,5.335878
3.699042,-8.24563,3.993528,-0.519084,14.15267,7.251908
3.203442,-8.348581,3.866636,-2.656489,9.557252,6.351145
2.999935,-8.37013,3.665523,-1.236641,5.496183,1.801527
2.92332,-8.396465,3.828329,-0.259542,1.916031,-0.7099237
3.047819,-8.451532,3.892972,0.6717557,-0.8931297,-0.5343512
2.971204,-8.401254,3.928885,5.625954,1.732824,-1.48855
3.20823,-8.190564,3.852271,2.801527,0.4045802,-1.206107
3.198653,-8.188169,4.091691,3.961832,-0.7557252,-1.244275
