ax,ay,az,gx,gy,gz
-3.742137,-13.45063,0.9050082,3.564885,-26.27481,-38.9084
-3.330335,-11.3126,-0.1747767,-38.08397,-26.55725,-60.64885
-1.096544,-9.188946,-0.4596867,-80.38931,-5.251908,-72.63359
3.150769,-7.912837,-1.000776,-52.51908,8.290076,-35.05344
3.761291,-9.406818,-2.116474,-17.86259,0.870229,-9.702291
1.556231,-10.49139,-2.413355,12.92366,15.63359,3.503817
0.5602432,-9.414001,-0.9433154,-0.2519084,8.091603,-1.725191
0.878672,-9.880871,-1.702277,4.320611,6.19084,-3.587786
0.8283938,-9.449914,-1.21386,2.10687,-2.19084,-1.251908
0.8355764,-9.579201,-1.460463,0.2900764,-7.167939,-3.267176
1.151611,-9.631873,-1.551443,4.992366,-8.335877,-3.923664
1.00317,-9.866506,-1.45328,4.374046,-7.832061,-3.679389
1.278504,-9.813833,-1.340753,2.854962,-4.946565,-1.801527
1.077391,-9.68694,-1.280898,-1.816794,1.412214,-2.664122
1.221043,-9.672575,-1.35033,-6.335878,5.160306,-2.70229
1.108515,-9.804255,-1.520318,-2.862595,7.061069,-2.48855
0.9672575,-9.785102,-1.295263,-2.427481,3.458015,-2.473282
0.8403648,-9.722853,-1.302446,-2.580153,0.8015267,-3.282443
0.6607997,-9.674969,-1.216254,-4.496183,-1.564886,-4.625954
0.8140285,-9.749189,-1.331176,-5.870229,-6.480916,-5.320611
0.8619126,-9.742006,-1.537078,-1.603053,-11.28244,-4.534351
1.077391,-9.708488,-1.553837,-2.396947,-11.77099,-4.328244
1.642422,-9.586384,-1.695095,-4.068702,-7.648855,-5.389313
1.620875,-9.390059,-1.582567,-7.70229,-3.061069,-2.923664
1.134852,-9.536105,-1.798046,-13.70992,-2.549618,-3.862595
1.608904,-9.583989,-1.987187,-11.62595,5.91603,-5.923664
2.035071,-9.583989,-2.13084,-6.389313,12.84733,-2.862595
1.426944,-9.840169,-2.008735,-3.259542,16.41221,-2.824427
1.118092,-9.61272,-1.383849,-4.305344,13.35114,-2.480916
1.21386,-9.65821,-1.814805,-3.053435,10.0916,-3.0
1.268927,-9.560047,-1.915361,-2.091603,10.20611,-1.931298
1.446098,-9.574412,-1.917756,-2.480916,8.335877,-2.984733
1.640028,-9.488221,-1.84593,-2.305344,8.625955,-5.557252
1.70946,-9.591172,-2.149993,-0.07633588,9.106871,-5.580153
1.673547,-9.255983,-1.644816,1.480916,5.572519,-3.679389
1.288081,-9.579201,-1.42455,-0.1832061,0.3816794,-4.068702
1.551443,-9.55047,-1.601721,-1.801527,-5.687023,-6.038168
2.087744,-9.423578,-1.608904,-4.21374,-4.755725,-8.916031
2.810793,-9.497798,-1.620875,-7.938931,2.053435,-9.870229
2.272097,-9.603143,-0.8954314,-2.503817,0.6717557,-6.19084
