ax,ay,az,gx,gy,gz
-1.968034,-9.514558,-2.396596,-0.9465649,0.3206107,0.0
-2.001553,-9.55047,-2.281674,-0.03816794,0.3740458,-0.3053435
-2.030283,-9.514558,-2.303222,-1.038168,0.4885496,0.0
-1.951274,-9.488221,-2.331953,-1.671756,0.9694656,-0.9007633
-1.891419,-9.545682,-2.312799,-1.755725,1.053435,0.9083969
-2.109292,-9.509769,-2.243367,-4.931298,3.129771,-1.778626
-2.183512,-9.334992,-2.636016,-8.267176,4.022901,-9.007633
-1.51553,-9.586384,-2.434903,-7.435114,2.587786,-3.274809
-1.848324,-9.323022,-2.918532,-11.31298,8.251908,-4.694656
-1.642422,-9.382876,-3.066972,-12.15267,5.458015,-6.732824
-1.508347,-9.461885,-3.184288,-10.25191,4.053435,-4.236641
-1.240196,-9.244013,-3.426103,-9.465649,2.480916,0.2137404
-1.486799,-9.25359,-3.593697,-4.442748,-0.1832061,1.908397
-1.412579,-9.294291,-3.490746,1.709924,-2.763359,4.70229
-1.486799,-9.011775,-3.409343,0.5725191,-0.4045802,2.198473
-1.687912,-9.528923,-3.442862,4.877862,-0.9389313,0.2442748
-1.527501,-8.889671,-2.944868,-0.7328244,0.1068702,-0.1755725
-1.61848,-9.56723,-3.462016,7.793893,-1.381679,3.206107
-1.683124,-9.277532,-3.086126,-0.351145,-0.870229,1.221374
-1.616086,-9.255983,-3.203442,1.007634,0.6412213,0.04580153
-1.795651,-9.428367,-3.366248,4.70229,-1.877863,2.534351
-1.661576,-9.289502,-2.987964,-1.541985,0.6641222,-2.160305
-1.759738,-9.344569,-3.119645,-0.007633588,2.114504,-3.267176
-1.455675,-9.433155,-3.076549,3.267176,-0.2519084,-1.687023
-1.630451,-9.404425,-2.987964,2.862595,-0.2671756,-0.4503817
-1.345541,-9.306262,-2.731784,-1.625954,0.0610687,3.793893
-1.802834,-9.442732,-3.023877,-1.320611,0.007633588,4.847328
-1.865083,-9.205706,-2.750938,0.1374046,1.427481,-2.442748
-1.513135,-9.399636,-2.86586,-1.038168,1.396947,-1.908397
-1.632845,-9.397242,-3.107674,-1.351145,-0.8396947,-0.5496183
-1.714248,-9.49301,-3.028665,-0.1832061,-0.3740458,-0.08396947
-1.642422,-9.435549,-2.77488,-3.503817,1.503817,-0.351145
-1.649605,-9.378088,-3.078943,-1.465649,1.564886,-0.1832061
-1.644816,-9.404425,-3.028665,0.09923664,0.8167939,0.1374046
-1.549049,-9.378088,-2.978387,-0.7633588,0.9160305,-0.4656488
-1.640028,-9.423578,-3.102885,-0.1755725,0.1450382,0.02290076
-1.604115,-9.308656,-2.975993,1.145038,-0.1221374,0.351145
-1.644816,-9.41879,-2.978387,2.183206,-0.4427481,1.885496
-1.728614,-9.339781,-3.016694,-0.1526718,0.5267176,-0.2519084
-1.63524,-9.485827,-2.817975,1.137405,-0.3740458,0.9541985
-1.699883,-9.349358,-2.863465,-4.946565,1.870229,0.3969466
-1.675941,-9.399636,-3.167529,-1.900763,0.2366412,0.5725191
-1.745373,-9.507375,-3.050213,0.5267176,0.2290076,-0.3206107
-1.716643,-9.32781,-3.028665,-0.6870229,1.557252,-2.885496
-1.460463,-9.452309,-3.062184,-0.1450382,1.175573,-0.9847328
-1.563414,-9.392453,-2.928109,-0.7251908,-0.02290076,1.21374
-1.73819,-9.313444,-2.975993,-1.847328,0.5725191,0.03816794
-1.546654,-9.380483,-2.851494,3.335878,0.7328244,-3.70229
-1.448492,-8.978256,-2.44448,-6.114504,0.1145038,-0.1603053
-1.711854,-9.725247,-3.550601,0.3053435,-1.374046,1.709924
-1.505953,-9.382876,-2.918532,-0.740458,-1.717557,2.832061
-1.898602,-9.258378,-2.937685,2.061069,-1.282443,2.633588
-1.620875,-9.495404,-3.110068,-0.1984733,-3.251908,4.328244
-1.980005,-9.519346,-3.074155,3.259542,-1.10687,1.89313
-1.84593,-9.354146,-2.719813,1.335878,0.04580153,-0.01526718
-1.721431,-9.028535,-2.695871,0.4351145,-2.419847,1.236641
-1.905785,-9.557653,-3.071761,6.755725,-1.381679,1.343511
-1.989582,-9.267955,-2.53546,-2.427481,0.5419847,-0.9923664
-2.073379,-9.28232,-2.863465,-6.0,2.312977,-7.152672
-1.295263,-9.519346,-2.978387,5.099236,-3.29771,-0.8854962
-1.572991,-8.506598,-1.68073,3.259542,1.251908,-9.916031
-1.381454,-9.873688,-2.82037,8.274809,-2.122137,-3.847328
-1.546654,-9.890448,-2.504335,6.557252,0.351145,2.122137
-2.094927,-9.730036,-2.128445,16.09924,-2.564885,-2.419847
-1.295263,-9.562442,-2.015918,20.87786,-6.992366,-2.076336
-1.187524,-9.742006,-1.584962,12.38168,-4.068702,-1.122137
-1.484405,-9.816227,-1.127669,1.832061,-0.8549618,-1.022901
-1.211466,-9.524135,-1.163582,-2.51145,0.5801527,1.832061
-1.592144,-9.718064,-1.326388,-1.21374,0.8549618,2.908397
-1.675941,-9.801862,-1.489193,-1.435114,-0.3282443,0.8854962
-1.443704,-9.742006,-1.410185,-0.8167939,1.687023,-1.167939
-1.697489,-9.703699,-1.414973,-1.694656,1.557252,-0.1603053
-1.467646,-9.703699,-1.335965,-2.396947,1.442748,-0.01526718
-1.683124,-9.773131,-1.398214,-1.824428,0.6335878,0.3435115
-1.568202,-9.708488,-1.436521,-3.0,0.648855,0.5954198
-1.553837,-9.682152,-1.441309,-4.748092,1.351145,-0.1374046
-1.774103,-9.734824,-1.788469,-0.480916,0.4732824,0.01526718
-1.292869,-9.78989,-1.647211,-0.832061,-0.7175572,1.854962
-2.042254,-9.660604,-1.623269,-0.7480916,3.557252,-5.442748
-1.458069,-9.488221,-1.328782,1.290076,0.1679389,-4.274809
-0.8643068,-9.646238,-1.458069,-1.229008,-2.19084,3.717557
-1.999158,-9.849746,-1.580173,-0.7633588,0.5572519,0.09160305
-1.546654,-9.696517,-1.546654,1.625954,1.137405,-1.267176
-1.170765,-9.76116,-1.443704,2.137405,-0.480916,2.854962
-1.529895,-9.765948,-1.199495,-2.221374,-0.3435115,1.900763
-1.94888,-9.768343,-1.616086,3.412214,-0.03816794,-0.03816794
-0.9672575,-9.801862,-1.228225,1.412214,-0.4198473,2.099237
-2.025495,-9.583989,-1.326388,-3.068702,1.473282,0.8931297
-1.340753,-9.713276,-1.343147,-1.938931,1.496183,-0.389313
-1.687912,-9.643845,-1.343147,-5.717557,0.6183206,0.2824428
-1.611298,-9.775525,-1.551443,-2.603053,1.526718,-0.02290076
-1.525106,-9.665392,-1.467646,-4.427481,2.648855,0.3435115
-1.628057,-9.758766,-1.537078,0.351145,1.961832,-0.351145
-1.403002,-9.694122,-1.549049,-8.625955,2.862595,3.656489
-1.759738,-9.773131,-1.716643,-1.137405,1.572519,3.030534
-1.570596,-9.888053,-1.824382,-0.9694656,2.900763,2.206107
-1.601721,-9.718064,-1.84593,0.8396947,1.992366,3.320611
-1.817199,-9.600749,-1.704672,-5.183206,4.10687,1.725191
-1.750161,-9.720459,-1.841141,-2.679389,5.603054,1.770992
