ax,ay,az,gx,gy,gz
-0.5051765,-8.39886,-5.849035,-5.687023,0.6030535,-1.427481
-0.2944868,-8.367735,-5.781997,6.305344,-7.534351,0.8167939
-0.9169792,-8.101978,-5.530606,-6.465649,-0.6717557,-11.92366
0.3471592,-8.152257,-6.05733,-1.312977,3.282443,3.396947
-0.3256114,-8.087613,-4.936844,10.14504,3.099237,-1.114504
0.04788403,-8.451532,-5.664681,-4.251908,2.755725,-1.183206
-0.08140286,-8.367735,-5.825093,-1.801527,1.534351,0.259542
-0.2082956,-8.298303,-5.470751,3.778626,1.305344,1.618321
-0.1508347,-8.341399,-5.592855,-0.04580153,-1.236641,6.152672
-0.01436521,-8.013393,-5.360618,-11.94656,0.4045802,10.91603
0.08140286,-8.291121,-6.282385,-10.44275,6.587786,15.75572
-1.06542,-8.128315,-5.691018,-15.59542,6.969466,5.206107
-0.3663129,-7.836222,-6.397307,-16.78626,4.427481,10.50382
-0.8140285,-7.615956,-6.14831,-19.32061,6.534351,19.48855
-1.118092,-7.805098,-6.998251,-5.900764,15.62595,-1.465649
-1.012747,-7.441179,-6.428432,-21.94657,13.41221,6.908397
-0.9409212,-7.443573,-6.962338,-29.17557,-3.167939,-2.656489
-1.074997,-7.319075,-7.352593,-6.312977,-16.33588,-26.20611
-0.593762,-6.732495,-7.369353,9.473283,-25.46565,-18.22901
-0.7781156,-6.576872,-7.115568,-6.671756,-26.81679,-14.35114
-1.091756,-6.782773,-7.307104,-10.80916,-26.67939,-18.61832
-0.9552865,-6.969521,-7.249643,-10.12214,-24.23664,-15.00763
-0.8236053,-6.725313,-7.450756,-12.87023,-15.07634,-7.923664
-1.209072,-7.029376,-7.563283,1.679389,-7.427481,0.1755725
-1.668759,-6.730101,-7.347805,2.374046,-9.564885,-1.030534
-1.970428,-6.749255,-7.309498,9.358779,-10.32061,-8.748092
-1.932121,-6.962338,-7.462727,1.519084,-13.46565,-18.77099
-1.699883,-6.885724,-7.10599,12.0229,-19.46565,-15.9084
