ax,ay,az,gx,gy,gz
-0.557849,-9.564836,-2.303222,-3.877863,39.38931,11.71756
-0.5363012,-9.756371,-2.571373,-0.9694656,39.22137,9.106871
-0.4908113,-9.55047,-2.202666,-0.2290076,37.09924,9.641221
-0.5147533,-9.572019,-2.056619,-5.167939,32.41985,11.70992
-0.7517793,-9.756371,-2.319981,-3.480916,24.80153,8.793893
-0.8331822,-9.749189,-2.296039,0.1755725,8.465649,2.534351
-0.8451532,-9.706094,-2.104503,1.267176,-4.61832,-0.8473283
-0.8930372,-9.698911,-2.209848,-0.832061,-15.54962,-5.343512
-0.8164227,-9.607931,-2.27928,0.7328244,-26.84733,-6.671756
-0.7757214,-9.560047,-2.367866,-8.374045,-33.55725,-9.854961
-0.6440403,-9.543288,-2.636016,-2.137405,-36.8855,-10.90076
-0.3663129,-9.701305,-2.583344,4.335878,-31.90076,-9.374045
-0.320823,-9.598354,-2.317587,0.09160305,-25.22901,-7.19084
-0.1340753,-9.674969,-2.410961,-3.557252,-17.9084,-3.900763
0.1005565,-9.607931,-2.545036,-1.053435,-1.351145,-1.847328
0.1604115,-9.569624,-2.451663,-1.763359,12.25191,-0.3435115
-0.04070143,-9.694122,-2.406173,0.6870229,20.03817,3.580153
0.1340753,-9.629479,-2.640805,-0.1908397,34.19847,8.160305
-0.7254431,-9.449914,-2.466028,-5.931298,35.12214,8.488549
-0.5793968,-9.579201,-2.430115,1.480916,35.48092,7.732824
-1.25935,-9.615114,-2.37026,-0.9236641,17.29771,5.015267
-1.309628,-9.701305,-2.537854,1.587786,0.7251908,0.2748091
-1.108515,-9.801862,-2.592921,5.358778,-29.87023,-1.885496
-0.6751649,-9.461885,-2.20506,5.450382,-42.37405,-1.870229
-0.9816227,-9.734824,-1.99437,4.389313,-47.26717,-5.450382
0.02394202,-9.787497,-2.097321,-4.335878,-44.45802,-8.694656
0.02873042,-9.665392,-1.896208,1.282443,-22.67939,-8.969465
-0.03112462,-9.799467,-2.248155,2.603053,-16.87786,-7.496183
-0.01436521,-9.67018,-1.934515,7.229008,-4.053435,-4.320611
-0.3998317,-9.725247,-1.788469,3.748092,-1.305344,-1.290076
-0.28491,-9.679757,-1.750161,2.793893,11.50382,5.778626
-0.4836287,-9.746795,-1.78368,1.068702,20.94657,8.526717
-0.5315128,-9.710882,-1.628057,1.282443,29.41221,9.206107
-0.4932055,-9.715671,-1.714248,-2.534351,35.55725,13.0458
-0.8355764,-9.627085,-1.774103,0.8244275,39.48855,7.732824
-1.070208,-9.696517,-1.673547,-2.442748,37.35878,7.519084
-1.149217,-9.651027,-1.889025,-2.824427,31.09924,7.068702
-1.158794,-9.77792,-1.80044,-1.801527,23.18321,2.458015
-1.058237,-9.749189,-1.771709,2.022901,11.8855,-2.618321
-1.187524,-9.832987,-1.692701,-0.8931297,-5.351145,-6.229008
-0.9457096,-9.667787,-1.539472,-0.480916,-18.29771,-13.21374
-0.7565677,-9.816227,-1.843535,-4.938931,-33.56488,-16.9084
-0.7038953,-9.698911,-1.764527,-8.633588,-50.29771,-18.56489
0.01197101,-9.531317,-2.389413,-18.07634,-49.32824,-19.91603
0.01436521,-9.287108,-2.468422,-15.67939,-52.36641,-11.82443
0.3567361,-9.457097,-3.028665,-17.47328,-45.70992,-2.778626
0.2561796,-9.701305,-3.325546,-8.648855,-36.9771,4.045802
0.1699883,-10.10353,-3.028665,24.09924,-10.83206,6.931298
-0.4333505,-9.222465,-2.710236,8.961832,8.549619,6.839694
-0.4094085,-9.490616,-2.262521,-11.07634,29.46565,-5.137404
-0.8355764,-8.63828,-2.329558,12.98473,22.22901,13.63359
-0.9624691,-10.70208,-2.956839,20.25191,21.21374,-7.259542
-0.5530606,-9.052477,-1.525106,1.847328,23.17557,-14.16031
1.04866,-9.540894,-2.358289,-41.38168,36.91603,9.526717
0.07900865,-9.73243,-3.265691,15.32824,58.22901,11.20611
0.04548983,-10.16578,-2.6839,10.85496,40.67939,7.290076
-1.096544,-9.176975,-0.9864111,5.78626,28.58015,-4.198473
0.296881,-9.725247,-2.437297,-54.49618,6.519084,9.160305
0.4525041,-9.749189,-3.090914,38.22901,28.45802,-3.045802
-0.4668693,-9.888053,-2.363077,9.80916,-15.39695,-3.48855
-0.02394202,-9.131485,-0.2106898,0.1755725,-20.48092,-3.610687
-0.1580173,-10.02931,-3.294421,-3.061069,-16.75573,-3.160305
0.3280056,-9.825804,-2.796427,26.99237,-22.24427,-0.9694656
0.04548983,-9.414001,-1.345541,17.19084,-25.14504,1.969466
0.03112462,-9.306262,-1.079785,-40.44275,-14.0458,8.671756
0.3112462,-10.09874,-2.65517,1.671756,-10.67939,1.992366
-0.08379706,-9.598354,-2.70066,16.64122,7.137404,-1.465649
-0.4213795,-9.730036,-0.5913678,-14.74809,6.175572,-5.015267
0.07182605,-9.68694,-2.355895,-3.603053,5.534351,-0.9312977
-0.3160346,-10.0317,-2.260126,8.496183,1.0,1.48855
0.1987187,-9.509769,-1.915361,28.0916,7.862596,10.80153
-0.9193734,-8.930372,-0.8595184,-37.23664,10.05344,-0.1755725
-0.1532289,-10.46027,-2.590526,4.38168,7.152672,1.061069
-0.6943185,-9.722853,-1.331176,8.167939,3.083969,-0.4045802
0.01915361,-9.662998,-1.87466,-13.17557,-3.389313,-4.51145
0.890643,-9.416395,-3.10528,6.51145,8.992367,6.450382
-0.7086837,-9.68694,-0.7589619,-3.358779,-12.41985,-4.045802
0.05027823,-10.22803,-2.303222,8.412213,9.290076,1.877863
-0.1221043,-9.399636,-1.893814,-1.045802,8.526717,-3.129771
-0.5410896,-9.610326,-1.910573,-0.8473283,-2.030534,1.519084
-0.3519476,-9.828198,-1.893814,0.870229,-8.480916,-0.610687
0.1340753,-9.52174,-1.841141,-3.870229,-11.77863,-0.7862596
0.007182605,-9.873688,-1.92015,-1.679389,-1.091603,1.274809
-0.09816227,-9.555259,-1.857901,-8.702291,1.885496,-0.9236641
-0.1819593,-9.82341,-2.173935,-4.885496,2.053435,0.2061069
-0.3064578,-9.595961,-2.087744,-11.52672,1.320611,-0.8778625
-0.03591302,-9.679757,-2.770091,-10.0458,-3.687023,-1.801527
