ax,ay,az,gx,gy,gz
0.06943185,-9.414001,-2.863465,-0.6564885,-7.694656,-3.717557
-0.2513912,-9.548077,-2.841918,0.2519084,-1.580153,1.244275
-0.7015011,-10.17057,-2.89459,2.396947,-7.51145,-4.717557
-0.4357447,-9.076419,-2.631228,5.160306,2.580153,-3.51145
0.6105214,-8.999804,-2.537854,-12.1374,0.4580153,6.580153
-0.4213795,-10.40281,-3.519476,-6.290076,6.0,-4.748092
0.0,-9.303867,-2.987964,21.0458,7.732824,6.229008
-0.3016694,-9.504981,-2.786851,-10.14504,10.72519,-0.8396947
0.3519476,-9.370906,-2.911349,9.656488,23.67175,1.29771
-0.5482722,-9.653421,-2.372654,-2.374046,18.87023,-0.4732824
-0.3351882,-9.536105,-2.695871,0.8549618,11.20611,3.519084
-0.5506664,-9.574412,-2.662352,-2.206107,1.007634,0.3282443
-1.113304,-9.758766,-1.819593,-4.526718,-0.9465649,1.80916
-0.4118027,-9.509769,-3.10528,-4.183206,-8.687023,7.59542
-1.098939,-9.595961,-2.667141,-5.725191,-25.45038,1.435114
-1.029507,-9.411607,-2.731784,-2.48855,-32.17557,4.885496
-0.4572925,-9.497798,-2.913743,-5.908397,-27.05343,0.4961832
0.1604115,-9.648633,-3.270479,-0.7938931,-7.946565,-2.099237
0.3639187,-9.449914,-3.117251,3.015267,8.946565,-1.70229
-0.4860229,-9.536105,-2.734178,1.312977,8.59542,-9.175572
-0.4501099,-9.399636,-2.640805,-4.145038,11.19084,-5.198473
-0.4477157,-9.519346,-2.930503,-2.312977,6.442748,-5.145038
-0.4525041,-9.545682,-2.808398,-1.938931,7.519084,-1.961832
-0.2896984,-9.406818,-2.925714,-1.160305,13.36641,2.839695
-1.007959,-9.576807,-2.899378,3.236641,8.045801,4.603054
-1.079785,-9.512163,-2.75812,1.40458,-1.854962,4.91603
-0.7996634,-9.569624,-2.834735,7.145038,-5.053435,3.40458
-0.4716577,-9.572019,-2.590526,-0.04580153,-4.48855,2.21374
-0.2896984,-9.622296,-2.748544,1.847328,-1.312977,1.854962
-0.2753332,-9.631873,-2.506729,3.717557,-0.259542,1.610687
-0.2082956,-9.619903,-2.664747,0.05343511,0.2290076,0.4122138
-0.09816227,-9.615114,-2.477999,-2.748092,0.7022901,-0.7633588
-0.1939303,-9.576807,-2.60968,-0.8931297,0.3816794,-1.40458
-0.5003881,-9.653421,-2.360683,2.175573,-2.244275,-2.946565
-0.5291186,-9.452309,-2.571373,-2.396947,-2.290076,-1.496183
-0.9624691,-9.694122,-2.384625,3.503817,-1.137405,1.480916
-0.7637503,-9.442732,-2.628834,-1.717557,4.167939,3.694656
-0.9720459,-9.560047,-2.446874,3.503817,7.51145,4.274809
-1.036689,-9.588778,-2.322376,-2.480916,2.877863,4.625954
-1.01993,-9.610326,-2.456451,-3.358779,1.129771,4.419847
-1.173159,-9.481039,-2.600103,1.549618,-3.610687,1.572519
-0.5793968,-9.68694,-2.346318,-5.503817,-4.908397,-0.7251908
-0.2873042,-9.536105,-2.60968,1.259542,0.3206107,-3.687023
-0.03112462,-9.665392,-2.707842,4.053435,6.396946,-4.854962
-0.009576806,-9.564836,-2.281674,1.633588,11.42748,-6.061069
0.09337386,-9.682152,-2.39899,-3.167939,13.70229,-6.145038
-0.5482722,-9.631873,-2.53546,2.076336,10.45038,-5.328244
-0.6536171,-9.64145,-2.401384,3.29771,6.496183,-2.221374
-0.9959879,-9.576807,-2.202666,-3.80916,-2.083969,2.206107
-0.7661445,-9.77792,-2.573767,3.015267,-10.50382,4.122138
-0.5386954,-9.624691,-2.262521,5.496183,-13.76336,3.160305
-0.3040636,-9.629479,-2.252944,-0.9007633,-15.03817,0.02290076
0.007182605,-9.720459,-2.432509,-0.5267176,-6.603054,-1.068702
0.1915361,-9.655815,-2.161964,-0.6259542,6.068702,-1.419847
0.04548983,-9.679757,-2.202666,0.1679389,14.58015,-1.19084
-0.4357447,-9.643845,-2.23379,-0.7557252,13.0229,0.1908397
-0.7757214,-9.698911,-2.104503,-1.122137,6.343512,0.8244275
-0.641646,-9.562442,-2.432509,-4.10687,-0.4198473,1.244275
-0.4237737,-9.662998,-2.360683,-1.557252,-4.137404,-0.5801527
-0.2681506,-9.698911,-2.437297,-3.427481,-3.89313,-1.770992
-0.260968,-9.780313,-2.44448,3.465649,-4.229008,-0.4961832
-0.3591303,-9.557653,-2.384625,-4.587786,-3.40458,-1.40458
-0.28491,-9.55047,-2.442086,-2.580153,-3.503817,-1.21374
-0.3375824,-9.651027,-2.542642,-2.015267,-6.89313,-1.083969
-0.3375824,-9.586384,-2.360683,-2.290076,-5.824428,-1.015267
-0.320823,-9.651027,-2.571373,-0.4122138,-6.671756,-1.129771
-0.3950433,-9.598354,-2.442086,-1.503817,-8.114504,-1.59542
-0.2585738,-9.653421,-2.511518,0.2366412,-6.908397,-2.473282
-0.3303998,-9.617508,-2.557007,-1.832061,-6.198473,-2.603053
-0.2178724,-9.667787,-2.516306,-0.6183206,-6.549618,-2.961832
-0.213084,-9.569624,-2.497152,1.137405,0.5267176,-0.3740458
-0.3256114,-9.646238,-2.566584,0.3282443,2.969466,0.6564885
-0.05027823,-9.588778,-2.477999,2.839695,12.12977,3.206107
0.05746084,-9.595961,-2.53546,-0.2366412,25.83969,5.38168
-0.09097966,-9.603143,-2.37026,0.740458,37.67939,8.847328
-0.1987187,-9.600749,-2.463634,0.8854962,43.57252,8.816793
-0.7134721,-9.665392,-2.413355,4.374046,42.25191,9.931297
-0.6344634,-9.631873,-2.248155,6.045802,38.93893,10.28244
-0.794875,-9.710882,-2.042254,6.129771,31.09924,9.091603
-0.6560113,-9.701305,-1.99437,4.08397,20.25191,5.068702
-0.6105214,-9.682152,-1.776498,0.961832,12.41221,2.916031
-0.4620809,-9.804255,-1.75495,0.8854962,1.526718,0.2442748
-0.4070143,-9.739613,-1.673547,0.03816794,-5.923664,-1.824428
-0.4788404,-9.720459,-1.795651,-3.435115,-14.58779,-4.587786
-0.4046201,-9.689334,-1.877054,-5.78626,-21.8855,-5.770992
-0.4692635,-9.730036,-2.102109,-3.900763,-27.22137,-6.870229
-0.5051765,-9.579201,-2.094927,-4.076336,-33.77099,-7.137404
-0.3256114,-9.619903,-2.331953,-7.793893,-40.0229,-9.152672
-0.1580173,-9.679757,-2.288857,-3.969466,-39.12977,-9.229008
-0.2537854,-9.55047,-2.566584,-7.480916,-36.89313,-9.832061
-0.2106898,-9.734824,-2.719813,-2.396947,-34.31298,-8.648855
-0.3303998,-9.643845,-2.542642,-1.648855,-30.09924,-7.053435
-0.1388637,-9.603143,-2.612074,1.877863,-21.12214,-4.19084
-0.2154782,-9.617508,-2.521094,-0.7022901,-12.82443,-0.8244275
-0.1867477,-9.56723,-2.437297,1.221374,-3.374046,1.633588
0.1101333,-9.64145,-2.588132,4.572519,6.847328,4.549618
