ax,ay,az,gx,gy,gz
0.1580173,-8.647857,-4.99191,-1.374046,2.969466,1.358779
0.1819593,-8.523358,-5.025429,-0.5877862,-2.694656,0.3282443
0.1077391,-8.571242,-5.104438,1.091603,-1.618321,-1.145038
0.5075707,-8.643068,-5.106832,1.908397,0.6793893,4.778626
-0.1005565,-8.559271,-5.042189,-0.5496183,-5.91603,-2.022901
0.03830723,-8.657434,-5.030218,2.923664,-6.633588,-2.557252
0.5722142,-8.532935,-4.884171,-0.389313,-1.877863,0.0
0.1077391,-8.729259,-4.874595,-2.229008,6.030534,1.358779
0.1556231,-8.640674,-4.865018,-2.381679,7.145038,0.5496183
0.03351882,-8.736442,-4.953603,-3.038168,3.320611,1.70229
0.03112462,-8.688558,-5.032612,-1.740458,2.679389,2.251908
0.03112462,-8.674192,-5.171476,-1.083969,0.09923664,1.854962
0.4644751,-8.683769,-4.790798,-0.5954198,3.442748,-1.603053
0.5386954,-8.374918,-4.967968,-8.503817,13.45802,4.374046
-0.1364695,-8.63828,-5.41329,-7.557252,5.030534,-2.503817
0.02394202,-8.678981,-5.521029,-10.18321,5.80916,4.526718
-0.1915361,-8.394072,-5.736507,-8.992367,2.725191,4.854962
0.2011129,-8.252813,-5.422867,-2.946565,11.47328,4.160306
0.2825158,-8.487445,-5.655105,-5.435114,20.14504,4.633588
-0.03830723,-8.585608,-5.62398,-1.717557,24.9084,14.41985
-0.06703765,-8.544906,-5.48751,2.755725,24.91603,22.43511
0.7637503,-8.236053,-5.822699,-12.9542,28.03817,17.28244
0.521936,-7.905654,-5.430049,-12.77099,42.63359,17.29008
0.9768343,-8.099585,-5.781997,0.480916,40.83206,17.03817
0.5027823,-8.152257,-5.791574,-1.312977,46.56488,7.465649
1.620875,-8.003817,-5.904101,-2.839695,48.79389,16.77863
1.898602,-8.698134,-5.83467,0.4122138,61.0687,22.32061
0.5770026,-8.429984,-4.893748,-12.63359,46.21374,6.526718
1.058237,-8.674192,-5.243302,1.625954,19.77863,6.755725
1.644816,-8.288726,-4.766856,-2.389313,3.832061,17.87023
1.383849,-8.611943,-4.76925,3.10687,-9.610687,10.64886
1.838747,-8.377312,-5.075707,-1.725191,-23.17557,0.2748091
0.5602432,-8.738836,-5.6982,6.419847,-30.79389,2.0
1.51553,-7.855376,-5.279215,-0.8549618,-18.12214,-2.198473
0.260968,-8.643068,-5.770026,4.78626,-13.0916,-1.061069
-0.05267244,-8.374918,-5.511452,2.152672,-18.12214,-6.954198
0.1436521,-8.516175,-5.420473,3.305344,-19.49618,-6.870229
-0.05267244,-8.394072,-5.50427,2.198473,-21.74809,-11.71756
-0.09816227,-8.362947,-5.41329,2.251908,-28.12214,-14.99237
0.06943185,-8.322245,-5.657499,-0.1145038,-35.77863,-20.0229
0.1556231,-8.408437,-5.619191,-0.6412213,-34.1832,-19.32061
0.4884171,-8.286332,-5.468357,0.3740458,-30.0,-15.18321
0.4620809,-8.307879,-5.494693,-0.09160305,-22.53435,-10.08397
0.4333505,-8.408437,-5.566519,-2.305344,-13.50382,-7.48855
0.3351882,-8.279149,-5.482722,-3.763359,-6.450382,-5.503817
0.4237737,-8.494628,-5.755661,-0.9389313,-0.5419847,-0.2519084
0.2657564,-8.248025,-5.535394,0.04580153,4.541985,3.129771
0.2154782,-8.422802,-5.554548,2.916031,8.137404,6.099236
0.1867477,-8.312668,-5.521029,1.206107,11.47328,6.687023
0.1867477,-8.599973,-5.556942,2.450382,14.96947,8.770992
0.1819593,-8.386889,-5.449203,1.053435,17.1145,9.061069
0.2633622,-8.339005,-5.331887,-4.89313,20.49618,7.992366
0.3998317,-8.295909,-5.434838,-9.366412,21.54962,7.671756
0.3375824,-8.437167,-5.638345,-8.877863,26.51145,11.64886
0.296881,-8.255207,-5.707777,-3.839695,25.12214,14.29771
0.1723825,-8.334216,-5.645528,4.167939,24.30534,14.80916
0.4955997,-8.243237,-5.650316,-1.664122,23.72519,11.45802
0.6129156,-8.145074,-5.616797,-2.51145,26.48855,12.52672
0.5602432,-8.137892,-5.755661,-2.793893,24.73282,12.19847
0.4668693,-8.24563,-5.683835,3.89313,13.38168,12.12977
0.4381389,-8.346188,-5.274426,-0.1221374,-1.175573,5.38168
0.3375824,-8.456321,-5.231331,-4.770992,-10.51908,-8.229008
-0.1460463,-8.350976,-5.418078,-15.16031,-12.77863,-15.68702
0.05985504,-8.171411,-5.746084,-4.244275,-40.1145,-23.64122
0.3854665,-8.104373,-5.849035,-0.1908397,-36.19847,-19.94657
1.247379,-8.082825,-5.829881,1.763359,-17.18321,-9.656488
