ax,ay,az,gx,gy,gz
1.690306,-9.279925,1.860295,-8.038168,-1.70229,-3.396947
1.666364,-9.655815,1.690306,-5.900764,-2.427481,-2.534351
1.683124,-9.509769,1.704672,-1.48855,-1.89313,-0.5725191
1.843535,-9.478644,1.572991,-0.9007633,0.1526718,0.1755725
1.836353,-9.473856,1.484405,-0.9541985,1.51145,1.465649
1.90339,-9.454702,1.47004,-1.679389,2.236641,0.2290076
1.812411,-9.442732,1.577779,-4.938931,1.984733,-0.8244275
2.049437,-9.519346,1.30484,-5.274809,2.442748,-6.206107
2.035071,-9.457097,1.520318,-8.068703,5.114504,-3.572519
1.702277,-9.490616,1.146823,-2.656489,-1.21374,0.480916
2.092532,-9.368511,1.173159,-3.435115,0.6030535,-0.961832
2.003947,-9.502586,1.240196,-2.030534,1.251908,0.3282443
1.910573,-9.504981,1.211466,-1.236641,0.5496183,0.6717557
1.73819,-9.454702,0.9983821,-1.251908,-3.839695,0.2977099
2.293645,-7.149086,-0.1580173,-11.0458,1.854962,-4.709924
-0.07182605,-5.123591,0.3854665,-46.54962,-20.30534,-16.67939
4.168305,-9.32781,1.187524,-11.39695,23.08397,-7.91603
4.76925,-19.15122,0.629675,-13.65649,-12.1145,-8.419847
5.066131,-19.6133,1.80044,54.82443,12.54962,29.35114
2.406173,-14.03242,-0.8188169,63.19847,-8.664123,79.79389
6.967127,10.30464,-7.082048,-17.06107,-19.29771,-35.08397
0.9576807,-5.592855,1.790863,14.85496,33.12214,7.19084
-1.268927,1.877054,-2.073379,-44.77099,-2.290076,-33.69466
0.3687071,-0.08140286,-1.247379,-8.816793,-6.992366,-27.28244
13.43865,-19.6133,10.5297,-8.160305,14.23664,64.47328
3.682282,-18.10016,0.3854665,17.51145,-32.1145,28.33588
4.486734,-12.03805,0.3519476,0.5038168,8.366412,-3.442748
2.480393,-7.682993,0.5123591,26.9542,6.473282,19.31298
2.15957,-7.917625,-0.4405331,23.1145,15.19847,11.14504
2.628834,-8.147469,0.6823475,16.87786,9.480916,9.839695
1.956063,-10.04607,0.9337386,1.053435,1.78626,10.61832
2.664747,-9.32781,0.7493851,-7.374046,3.244275,1.19084
1.632845,-9.576807,1.489193,0.4503817,2.099237,4.282443
1.980005,-9.562442,1.024718,3.045802,-2.931298,4.610687
1.826776,-9.378088,0.9959879,-0.03816794,0.7328244,3.641221
1.637634,-9.662998,1.09415,-0.8167939,-1.381679,4.0
1.867477,-9.483433,1.058237,3.328244,-1.587786,2.251908
1.719037,-9.466674,1.089362,2.648855,-1.755725,2.053435
1.819593,-9.591172,1.156399,1.442748,-0.5267176,0.7022901
1.771709,-9.636662,1.194707,0.5419847,-1.183206,-1.648855
1.778892,-9.543288,1.146823,1.068702,-0.832061,-2.572519
1.778892,-9.576807,1.314417,1.580153,0.2366412,0.03816794
1.704672,-9.55047,1.312023,3.122137,-2.503817,-0.1679389
1.855506,-9.507375,1.316811,2.221374,-2.152672,-0.7633588
1.905785,-9.52174,1.355118,2.778626,-2.351145,-1.938931
1.889025,-9.500193,1.335965,3.51145,-1.40458,-1.068702
1.884237,-9.56723,1.412579,1.656489,-1.312977,-2.19084
1.987187,-9.44752,1.37906,1.236641,-0.3816794,-0.9007633
1.968034,-9.476251,1.491588,1.770992,-0.4351145,-0.7938931
2.018312,-9.440337,1.422156,1.435114,0.4198473,-0.0610687
1.99437,-9.485827,1.489193,1.526718,-0.08396947,0.4122138
2.003947,-9.409213,1.541866,0.8244275,-0.129771,-0.4274809
2.015918,-9.469068,1.623269,1.816794,-1.061069,-0.1526718
2.003947,-9.378088,1.61848,0.7022901,-1.59542,-0.5419847
1.996764,-9.519346,1.467646,1.427481,-0.3740458,-0.3969466
1.982399,-9.481039,1.450886,0.7633588,1.48855,0.3053435
2.190695,-9.279925,1.608904,6.007634,3.938931,6.305344
1.769315,-9.478644,1.707066,2.167939,-1.946565,0.3740458
1.912967,-9.375694,1.716643,-2.053435,-3.175573,-2.877863
2.037466,-9.421184,1.742979,-3.931298,-1.961832,-0.9007633
2.030283,-9.471462,1.577779,-3.564885,0.2519084,0.6717557
1.970428,-9.428367,1.465251,-3.312977,-0.7709923,1.59542
2.027889,-9.485827,1.42455,-2.091603,0.1603053,1.885496
2.102109,-9.526528,1.345541,-0.3816794,0.1908397,0.3435115
1.951274,-9.445126,1.328782,-0.4656488,1.709924,-0.6564885
1.970428,-9.500193,1.414973,-1.343511,1.847328,-0.480916
2.003947,-9.411607,1.501164,-1.610687,2.229008,-1.076336
1.896208,-9.531317,1.417367,-0.03816794,1.320611,0.0
1.889025,-9.409213,1.462857,-0.3664122,0.870229,-1.022901
1.898602,-9.485827,1.410185,-0.1145038,-0.259542,0.3206107
