ax,ay,az,gx,gy,gz
0.5315128,-9.56723,-2.796427,0.5801527,1.450382,0.6259542
0.6440403,-9.557653,-2.726996,1.335878,-0.1374046,-0.2061069
0.7182605,-9.469068,-2.77488,1.305344,-0.1603053,2.038168
0.6775591,-9.552865,-2.8491,1.053435,0.2824428,1.748092
0.5386954,-9.512163,-2.657564,2.137405,0.3206107,0.06870229
0.5075707,-9.560047,-2.6839,0.610687,0.5877862,0.2366412
0.6464345,-9.555259,-2.710236,0.5038168,0.3053435,-0.007633588
0.5506664,-9.708488,-2.750938,0.3358779,-0.06870229,-0.7022901
0.5386954,-9.859323,-2.715025,2.870229,-1.137405,1.78626
0.5841852,-9.837775,-2.772485,1.458015,-1.51145,1.412214
0.6943185,-9.299079,-2.588132,3.671756,-0.6030535,-1.862595
0.5386954,-9.172187,-2.60968,6.221374,0.7022901,-2.435115
1.082179,-9.598354,-2.887407,8.145039,-0.4961832,3.977099
0.4764462,-9.598354,-2.348712,6.793893,-2.0,10.41985
0.1244985,-9.780313,-2.394202,1.221374,-2.656489,8.274809
0.3878607,-9.392453,-2.300828,-2.740458,0.4122138,11.03817
0.7374141,-9.416395,-2.643199,-4.305344,9.923664,11.64886
0.2418144,-9.730036,-2.633622,-4.564886,15.94656,9.152672
-0.4788404,-9.701305,-2.477999,-4.885496,6.847328,3.549618
-0.1819593,-9.696517,-2.693477,-7.557252,1.175573,-5.206107
0.4668693,-9.514558,-2.96881,-6.709924,0.4198473,-4.229008
0.08140286,-9.684546,-3.143587,0.05343511,-2.358779,-6.290076
0.2944868,-9.765948,-3.323152,7.534351,-6.0,-6.396946
0.7972692,-9.519346,-3.311181,12.05344,-5.519084,-1.580153
1.031901,-9.55047,-2.952051,17.98473,2.770992,6.80916
0.782904,-9.713276,-3.052607,19.87786,-0.7099237,11.22137
1.529895,-9.744401,-3.069367,32.46565,3.969466,16.53435
1.503559,-9.361329,-2.779668,24.58779,28.9084,12.61832
0.4668693,-8.456321,-1.553837,-27.28244,53.9084,9.068703
-0.2394202,-8.686164,-2.523489,-22.46565,31.63359,6.053435
0.4189853,-10.1562,-3.215413,1.877863,19.51145,7.175572
0.3711013,-10.41478,-2.032677,5.534351,32.09924,3.374046
-1.177947,-9.425972,-1.000776,-13.87786,26.91603,-0.5877862
0.05985504,-9.883265,-2.286463,-14.22137,24.81679,-16.9313
-1.106121,-10.6135,-1.66397,-10.16031,6.351145,-22.96183
0.4309563,-9.921572,-1.951274,-4.557252,-5.908397,-26.15267
0.1316811,-9.466674,-2.044648,3.015267,-6.030534,-20.90076
-0.3064578,-9.136273,-1.558625,2.229008,-19.94657,-16.67175
0.1436521,-8.748413,-2.212242,-18.67939,-9.389313,-27.18321
0.8116343,-9.203311,-2.552219,-33.70229,-1.877863,-36.67176
1.841141,-9.904813,-3.272874,-36.25191,-10.08397,-33.41985
1.273715,-10.41957,-3.25372,-22.86259,-18.13741,-32.75573
0.9433154,-11.58554,-6.382942,-81.74046,-29.99237,-29.9084
2.303222,-12.21522,-6.112397,-45.75573,6.748092,-89.93893
5.470751,-10.89362,-4.151546,-62.17557,21.26718,-57.9084
2.157176,-10.1562,-5.456386,-35.26717,19.12214,-69.83969
4.417302,-8.880095,-4.958392,-12.78626,24.45038,-72.90839
5.286397,-7.671022,-2.681506,9.832061,11.24428,-66.15267
