ax,ay,az,gx,gy,gz
-9.964667,-0.6775591,3.05979,-6.664122,6.526718,-19.76336
-9.648633,-1.055843,3.830723,-9.083969,-3.946565,8.511451
-10.10832,-1.285686,3.263297,5.450382,-1.091603,3.587786
-9.574412,-0.007182605,2.628834,-2.236641,-32.90076,5.656488
-9.160215,-0.8619126,3.3447,-7.045802,-11.29771,-24.91603
-8.89446,-0.7517793,3.251326,-6.59542,-0.1145038,35.41221
-9.102755,-0.3351882,3.591303,-14.74809,14.0687,-7.458015
-9.706094,-0.5099649,3.488352,-7.022901,9.687023,9.351145
-9.088389,-0.9816227,3.473987,-2.0,18.03817,5.0
-9.871294,-0.3351882,3.730166,-3.274809,6.671756,4.38168
-9.746795,-0.9528923,3.406949,0.2213741,-6.931298,-0.8244275
-11.31979,-0.1053449,2.669535,-3.389313,1.236641,15.56489
-8.291121,-0.1651999,2.200271,-16.48092,-12.29008,0.4580153
-9.528923,0.2777274,1.642422,-27.9084,8.541985,-5.435114
-9.241618,0.01197101,2.298434,-5.877862,0.7099237,-14.01527
-9.830592,-0.3495534,3.244143,-11.16031,15.18321,-1.435114
-9.835381,-0.4836287,2.75812,13.69466,-7.59542,-5.473282
-11.70525,-0.866701,3.481169,21.19847,16.0,-13.25954
-7.311892,0.06703765,2.056619,20.9771,-40.60305,11.46565
-10.93192,-1.982399,1.671153,13.35114,23.70229,-38.19847
-8.343793,-0.7852982,2.497152,4.931298,28.9084,-10.38168
-10.1562,-1.017536,2.588132,-4.08397,-0.1526718,9.083969
-9.888053,-1.173159,3.371036,-6.801527,-17.96947,7.122138
-11.98537,-0.9768343,1.472434,18.17557,2.526718,9.870229
-8.147469,-1.594538,0.9864111,55.17557,-12.56489,-11.81679
-11.3126,-0.9696517,0.3615245,96.98473,7.839694,-39.80916
-10.05086,-1.108515,1.508347,138.9466,23.41985,-23.94657
-9.279925,-0.4022259,1.072602,137.8321,9.564885,-49.44275
-9.780313,-1.23062,2.008735,150.7481,4.740458,-52.28244
-9.354146,-1.120486,1.656788,137.7786,15.53435,-44.59542
-9.744401,-1.503559,2.135628,109.5496,7.954198,-37.27481
-10.21606,-2.090138,2.899378,92.9771,30.32825,-31.62595
-9.19134,-1.115698,3.184288,73.23664,4.89313,-10.63359
-9.291897,-1.836353,3.16274,51.26717,8.717557,-5.259542
-9.660604,-1.436521,3.445256,42.0916,1.839695,0.8778625
-9.651027,-1.908179,2.387019,35.77863,-6.89313,-14.9771
-9.500193,-1.113304,1.936909,47.35878,4.641222,-0.1450382
-10.31901,-0.05746084,2.358289,46.82443,-1.900763,-15.03053
-8.678981,-0.7781156,3.411737,37.68702,5.59542,-12.56489
-9.651027,-0.05985504,2.70066,26.07634,-0.4732824,-10.41221
-10.09156,-0.4333505,3.744531,28.68702,-20.30534,-5.328244
-11.42752,-0.9888053,2.612074,19.0229,15.87023,-4.664122
