ax,ay,az,gx,gy,gz
0.7422025,-9.758766,1.182736,-1.59542,-1.480916,0.0610687
0.6751649,-9.734824,1.142034,-2.335878,-1.10687,-0.7328244
0.7613561,-9.792285,1.206678,-1.755725,-0.519084,-1.0
0.770933,-9.706094,1.321599,-0.9236641,0.03053435,-0.2824428
0.8188169,-9.739613,1.30484,-0.01526718,-1.122137,0.6641222
0.7278373,-9.725247,1.266533,0.8931297,-2.748092,0.9541985
0.6895301,-9.679757,1.225831,0.648855,-4.335878,1.0
0.629675,-9.684546,1.211466,-0.7557252,-4.923664,1.664122
0.7134721,-9.689334,1.077391,-1.290076,-5.954198,1.541985
0.7015011,-9.749189,1.077391,-1.519084,-5.78626,1.229008
0.7158663,-9.763555,1.022324,-2.389313,-5.137404,0.2748091
0.7445967,-9.770737,0.9672575,-1.534351,-3.473282,0.2748091
0.7469909,-9.739613,1.005565,-0.8549618,-2.885496,0.8015267
0.7350199,-9.78989,1.051055,0.03053435,-2.725191,1.557252
0.6153098,-9.787497,1.079785,0.6717557,-3.435115,2.045802
0.6631939,-9.873688,0.9792285,2.328244,-3.694656,2.221374
0.533907,-9.739613,1.16837,2.633588,-4.450382,2.687023
0.5530606,-9.816227,1.060631,2.633588,-5.603054,3.625954
0.5171475,-9.828198,1.063026,3.755725,-6.465649,3.48855
0.5386954,-9.734824,1.125275,2.977099,-7.061069,3.259542
0.4285621,-9.742006,1.194707,1.053435,-7.91603,2.755725
0.4118027,-9.847352,0.9935937,0.3282443,-7.671756,3.969466
0.3399766,-9.662998,0.9481038,-1.160305,-8.022901,4.717557
0.3136404,-9.794679,0.926556,-1.557252,-9.702291,5.312977
0.2777274,-9.947908,0.8355764,-1.465649,-9.030535,4.015267
0.2178724,-9.907207,0.7900866,-0.2213741,-6.709924,3.519084
0.1268927,-10.00297,0.7422025,2.824427,-7.122138,5.236641
-0.01436521,-10.01495,0.4596867,6.435114,-8.335877,3.969466
0.3184288,-9.931149,0.2466028,9.152672,-6.603054,0.6259542
0.4285621,-9.452309,0.9816227,4.70229,-1.412214,-5.435114
0.8236053,-9.490616,0.9552865,-2.465649,3.282443,-5.931298
1.364695,-9.739613,0.7015011,0.648855,8.580153,1.274809
0.4620809,-8.947132,0.8978256,-8.549619,12.53435,-0.4351145
0.8092402,-9.483433,0.3423708,-19.35878,18.79389,-11.0229
2.193089,-9.73243,0.6536171,-23.0,30.62595,-15.65649
1.419762,-10.96066,0.05027823,-28.74809,42.66412,-24.30534
