ax,ay,az,gx,gy,gz
1.209072,-9.466674,2.229002,-0.09923664,0.02290076,0.2900764
1.228225,-9.349358,2.195483,-0.08396947,-0.01526718,0.5648855
1.237802,-9.435549,2.276886,-0.2442748,0.04580153,0.1832061
1.192312,-9.421184,2.260126,-0.1679389,0.129771,-0.2290076
1.225831,-9.454702,2.32477,-0.6793893,0.0,0.02290076
1.276109,-9.461885,2.267309,-0.4580153,-0.07633588,0.2137404
1.233014,-9.495404,2.207454,-0.3282443,0.2137404,0.2671756
1.23062,-9.497798,2.147599,0.1450382,-0.1526718,0.1755725
1.204283,-9.49301,2.169147,0.2900764,-0.7633588,0.2290076
1.30484,-9.512163,2.15957,-0.5572519,-0.480916,-0.6259542
1.283292,-9.507375,2.027889,-1.549618,0.8015267,-1.374046
1.271321,-9.454702,2.032677,-2.541985,1.480916,-1.671756
1.221043,-9.576807,2.003947,-3.427481,1.694656,-2.389313
1.309628,-9.516952,1.977611,-3.068702,2.343511,-3.19084
1.25935,-9.488221,1.80044,-3.984733,3.374046,-3.725191
1.142034,-9.40203,1.972822,-6.480916,3.549618,-3.89313
1.187524,-9.454702,1.824382,-10.18321,2.755725,-3.870229
1.098939,-9.593566,1.826776,-12.41985,2.045802,-5.137404
1.211466,-9.476251,1.831564,-12.8626,1.290076,-5.015267
1.165976,-9.572019,1.685518,-13.79389,0.6946565,-3.839695
1.355118,-9.548077,1.704672,-11.67939,0.648855,-2.381679
1.283292,-9.526528,1.702277,-11.84733,0.8854962,-1.938931
1.49877,-9.41879,1.534683,-13.38168,1.603053,-2.793893
1.649605,-9.454702,1.35033,-14.59542,2.625954,-3.89313
1.972822,-9.361329,1.01993,-16.86259,7.122138,-3.343511
1.956063,-9.07163,0.7613561,-24.42748,12.85496,-6.717557
2.264915,-9.07163,0.6105214,-29.78626,21.03053,-8.435115
1.889025,-9.476251,0.9121908,-37.54962,26.96947,-8.488549
1.534683,-10.2831,1.06542,-35.55725,28.71756,-11.81679
1.362301,-10.16578,1.132457,-32.82443,23.31298,-10.25191
1.221043,-10.26394,0.7493851,-27.9084,14.54198,-8.396947
1.75495,-9.780313,0.6512229,-20.35114,9.885496,-11.40458
1.984793,-9.452309,0.3423708,-22.74046,8.229008,-11.42748
2.1883,-9.155427,0.6607997,-16.38931,4.343512,-8.114504
2.269703,-9.093178,0.1197101,-20.38168,-2.541985,-5.633588
2.123657,-9.277532,0.3375824,-19.82443,-5.496183,-4.358778
2.671929,-8.379706,0.9552865,-23.28244,-11.76336,2.038168
2.592921,-9.454702,0.0,-32.69466,-11.62595,3.389313
2.413355,-8.90643,0.866701,-24.32061,-6.671756,5.923664
2.219425,-9.828198,0.06464344,-30.72519,-16.87786,4.351145
2.825158,-9.112331,-1.154005,-28.58015,-16.00763,7.259542
3.392584,-8.549694,-0.7254431,-25.40458,-10.77863,15.77863
2.5187,-9.842564,-2.202666,-39.83206,-4.541985,3.648855
2.403779,-9.617508,-2.020706,-31.38168,-5.557252,0.778626
1.616086,-9.306262,-1.922544,-26.57252,-11.80153,5.610687
1.015141,-9.126697,-3.215413,-33.37405,-19.47328,4.38168
1.51553,-9.358934,-2.521094,-29.22901,-13.74809,3.061069
1.343147,-9.701305,-3.141193,-27.44275,-10.12977,6.435114
0.7541735,-10.25437,-2.94008,-21.35878,-11.93893,12.20611
