ax,ay,az,gx,gy,gz
-0.7757214,-9.497798,2.552219,0.6870229,-0.9694656,-3.442748
-1.601721,-9.758766,2.631228,9.664123,-2.442748,-7.984733
-1.879448,-9.150639,2.875436,-10.00763,-9.732824,-0.03053435
-1.896208,-9.591172,2.516306,-3.396947,-32.19847,-0.2748091
-0.9193734,-9.452309,2.341529,-5.587786,-16.84733,-0.480916
-0.3926491,-9.100361,2.339135,-6.129771,-4.137404,-6.442748
2.252944,-8.90643,2.032677,-14.93893,17.54962,-22.17557
-0.1987187,-10.2807,2.777274,-8.763359,-5.022901,-26.72519
0.605733,-9.248801,2.128445,4.183206,-12.84733,-6.312977
1.146823,-9.095572,1.819593,5.022901,-26.00763,18.07634
1.54426,-9.330204,2.396596,-10.23664,-23.47328,8.015267
1.812411,-9.435549,1.692701,-22.17557,-37.43512,-9.496183
1.053449,-10.39084,-1.438915,-27.03817,-61.9313,-26.22137
0.3567361,-9.598354,-1.532289,-41.27481,-7.709924,-18.8855
0.4429273,-8.647857,-0.2825158,-15.78626,13.70229,-18.80153
1.719037,-8.061277,-0.06464344,12.98473,15.05344,-28.61069
2.559402,-10.52252,0.4932055,36.79389,-5.755725,3.015267
2.075773,-9.404425,1.268927,38.55725,-30.84733,35.56488
2.640805,-11.57596,1.335965,38.85496,-3.641221,50.79389
-0.2753332,-9.974244,2.738967,33.54198,16.83969,54.90076
-1.393425,-8.966286,3.562572,43.64122,27.23664,55.01527
-2.595315,-9.694122,4.15394,39.05344,14.68702,46.25954
-3.083732,-8.7125,5.243302,30.49618,-6.480916,34.23664
-3.962404,-7.635109,5.224148,17.9084,-8.496183,22.14504
-3.519476,-7.438785,5.710171,13.9084,-5.633588,6.480916
-3.648763,-7.230489,5.940014,5.396946,3.374046,-1.381679
-3.514688,-7.455544,5.777209,-2.862595,4.305344,-2.503817
-3.634398,-7.522582,5.497087,-2.832061,0.8854962,-2.335878
-3.394978,-7.450756,5.528212,0.3816794,0.5572519,-2.473282
-3.579332,-7.48188,5.482722,0.1603053,-0.7709923,-2.465649
-3.457227,-7.532158,5.535394,0.870229,0.4656488,-2.671756
-3.363853,-7.484274,5.722142,2.664122,-1.526718,-1.282443
-3.287239,-7.43639,5.650316,-0.8015267,-2.061069,-3.641221
-3.234566,-7.431602,5.695806,-5.458015,-2.717557,-4.549618
-3.04303,-7.776367,5.588067,-5.419847,-0.3282443,-4.870229
-2.952051,-7.70933,5.449203,-1.572519,-0.02290076,-2.625954
-2.906561,-7.855376,5.549759,0.7099237,-0.007633588,-0.03053435
-2.985569,-7.651869,5.516241,-0.07633588,-0.05343511,-0.2137404
-2.944868,-7.742848,5.544971,-0.5267176,0.1755725,-0.1450382
-2.959233,-7.773973,5.540183,-1.641221,0.7480916,-0.5572519
-2.992752,-7.800309,5.408502,-1.29771,0.5877862,-1.618321
-2.971204,-7.773973,5.415684,-0.3358779,0.5267176,-0.007633588
-2.846706,-7.742848,5.470751,-1.480916,0.3587786,-0.5267176
-3.04303,-7.900866,5.446809,-3.870229,-1.396947,-2.496183
-2.827552,-8.034941,5.262455,2.671756,0.3282443,0.7709923
-3.047819,-8.018182,5.343858,-0.4961832,-2.183206,-3.129771
-2.806004,-7.891289,5.38456,2.877863,-8.030535,2.335878
-2.712631,-7.268796,5.810728,-9.015267,0.5572519,-10.36641
-2.841918,-8.058883,5.65271,-22.13741,-1.10687,-24.93893
-1.608904,-8.738836,4.809951,-47.39695,-12.48092,-42.51145
-1.197101,-10.22085,3.945644,-60.13741,-23.64122,-77.0229
0.9552865,-10.58716,3.083732,-25.13741,-16.67939,-39.64122
2.142811,-10.0341,2.042254,-13.42748,-14.07634,-8.78626
2.020706,-9.80665,1.711854,-9.045801,-2.603053,6.282443
1.702277,-8.884883,1.812411,-5.671756,-0.1145038,14.64122
1.211466,-8.566454,1.426944,-0.5648855,5.51145,14.83206
0.6200982,-8.774749,1.39582,5.938931,6.564886,26.25191
0.2298434,-8.571242,1.649605,15.21374,10.33588,28.00763
-0.2801216,-9.021352,1.75495,18.80153,-0.4427481,23.37405
-0.5889736,-8.968679,1.989582,11.59542,-11.53435,13.90076
-0.557849,-9.294291,2.657564,10.20611,-2.969466,10.27481
-0.7230489,-9.186552,3.064578,11.35114,-3.717557,7.862596
-1.036689,-9.28232,3.066972,4.40458,-2.977099,3.992366
-0.9600749,-9.366117,3.246537,2.366412,1.938931,-1.167939
-0.8116343,-9.126697,3.22499,-0.6946565,-1.076336,-1.167939
-0.9074024,-9.461885,3.215413,-1.40458,-1.389313,0.4122138
-0.9409212,-9.294291,3.222595,0.2290076,-0.1984733,1.022901
-0.9528923,-9.346964,3.272874,1.740458,0.1603053,2.625954
-0.9864111,-9.346964,3.246537,2.122137,0.5801527,1.19084
-1.060631,-9.220071,3.22499,0.1755725,0.8091603,-1.381679
