ax,ay,az,gx,gy,gz
0.3232172,-9.512163,1.886631,-18.61069,2.89313,-21.71756
1.156399,-9.404425,1.400608,-25.65649,7.816794,-36.49618
1.175553,-8.664616,0.3423708,-41.16031,-5.931298,-53.8855
1.92015,-8.200141,0.2298434,-44.42748,-15.37405,-68.89313
3.093309,-8.7125,-0.5051765,-17.32061,-16.72519,-49.65649
3.806781,-8.789114,-0.02394202,10.46565,-28.54962,-23.25954
5.861006,-9.433155,-1.086968,17.9542,-9.748092,-27.0687
5.284003,-7.589619,-1.666364,14.75572,0.5114504,-2.572519
6.066907,-9.416395,-1.177947,35.90076,22.0916,53.31298
2.89459,-9.900024,1.426944,43.16794,37.0687,96.0458
0.5985504,-9.91439,2.947262,60.87023,37.35115,94.70992
-0.7469909,-8.932767,2.901772,56.80153,23.30534,62.74046
-3.435679,-9.821015,5.540183,56.27481,1.244275,49.0916
-2.741361,-7.900866,5.331887,36.63359,-6.923664,31.64122
-3.653552,-7.161057,6.157887,16.99237,-8.19084,9.030535
-3.047819,-6.936002,6.169858,-2.801527,0.5496183,-9.351145
-2.944868,-7.271191,5.822699,-3.816794,1.557252,-1.480916
-3.031059,-7.503428,5.925649,-5.091603,-1.419847,-1.671756
-2.930503,-7.455544,5.822699,-1.099237,-2.21374,1.435114
-3.198653,-7.580042,5.942409,3.580153,1.770992,-2.328244
-2.810793,-7.338228,6.016629,-0.9312977,-0.610687,-3.847328
-2.911349,-7.410054,5.932832,-2.175573,0.2442748,-5.458015
-2.772485,-7.644686,5.829881,-4.328244,-3.503817,-2.679389
-2.82037,-7.627927,5.779603,-2.0,-1.251908,0.129771
-2.528277,-7.491457,5.825093,0.4732824,-3.122137,-2.244275
-2.557007,-7.879318,6.181829,-13.07634,-3.091603,-8.580153
-2.274492,-8.013393,5.408502,-6.251908,-2.679389,-0.8091603
-2.109292,-7.594408,5.719748,4.030534,-4.541985,-5.778626
-2.08535,-7.941567,5.83467,-5.312977,-1.251908,-1.969466
-2.161964,-7.809886,5.477933,-2.40458,3.175573,2.938931
-2.724602,-8.166622,5.74369,-2.19084,-15.08397,2.396947
-1.766921,-7.292738,5.05416,-31.08397,-4.977099,-29.66412
-1.92015,-8.762778,5.197812,-39.26717,-23.28244,-54.06107
-0.56982,-9.782708,4.697424,-62.56488,-33.40458,-89.99236
2.901772,-12.08593,3.428497,-73.09924,-56.87023,-94.19847
4.618415,-9.514558,0.6631939,-36.80916,-20.61832,-47.54962
5.525817,-9.155427,-0.2873042,-13.70992,7.091603,-9.091603
4.618415,-8.511387,0.3160346,-0.519084,2.038168,12.8626
3.818752,-7.982268,0.6655881,5.320611,2.282443,23.05343
3.438074,-7.45315,0.272939,2.335878,31.74046,29.54962
2.334347,-7.101202,0.5626374,18.33588,26.21374,53.26717
2.906561,-8.738836,0.8331822,30.51908,21.43511,32.56488
1.321599,-10.12268,2.999935,9.129771,8.435115,19.51908
-0.2035071,-8.087613,3.667917,12.77863,-8.473283,31.51145
-0.4070143,-8.743625,4.149151,24.09924,-16.00763,33.14504
1.520318,-9.718064,3.435679,30.34351,-4.38168,9.427481
1.156399,-11.02051,1.493982,-1.099237,-4.022901,-1.251908
-0.4596867,-9.033323,2.41575,-16.08397,-6.572519,9.679389
-0.7278373,-9.691729,2.779668,-16.98473,-1.419847,-0.4656488
-1.089362,-9.119514,2.861071,-2.480916,1.091603,0.5572519
-0.8044518,-9.5385,2.877831,-0.740458,12.91603,-3.091603
0.1292869,-10.16817,2.339135,-18.29771,10.07634,-3.824427
0.6129156,-9.720459,3.246537,5.290076,13.51908,-19.73282
0.6272808,-10.1179,2.817975,-0.648855,12.55725,-21.12214
0.4453215,-9.323022,3.490746,9.80916,6.656488,-3.564885
0.3998317,-8.633492,3.265691,-3.618321,-8.59542,27.84733
0.4668693,-9.038112,2.815581,10.29008,-10.61832,18.12214
0.01197101,-9.416395,2.726996,2.946565,-2.946565,5.129771
-0.5267244,-9.337387,2.966416,1.167939,-8.053435,5.122138
-0.4548983,-9.356541,2.964022,0.7022901,-5.48855,1.51145
-0.1412579,-9.416395,2.959233,-1.053435,-2.343511,-1.267176
-0.3016694,-9.411607,3.138798,-1.40458,0.8396947,-1.0
-0.3136404,-9.368511,3.071761,-0.7099237,-0.2748091,0.2442748
-0.3663129,-9.380483,3.1795,0.4580153,0.07633588,0.3206107
-0.3734955,-9.40203,3.040636,-0.02290076,-0.4351145,-0.389313
-0.3184288,-9.375694,3.021482,0.2442748,-2.030534,-0.8167939
-0.28491,-9.351752,3.081338,-0.08396947,-0.961832,-1.877863
-0.2873042,-9.41879,3.148375,0.7633588,0.6641222,-0.5038168
-0.2801216,-9.330204,3.174711,1.229008,1.625954,-0.6870229
-0.2657564,-9.289502,3.265691,1.687023,1.465649,-0.4732824
