ax,ay,az,gx,gy,gz
-0.8188169,-9.481039,2.887407,-2.519084,7.167939,-3.145038
-0.9959879,-9.52174,2.612074,0.8549618,7.961832,-7.908397
-0.9193734,-9.593566,2.542642,0.2671756,5.053435,-7.625954
-0.9959879,-9.595961,2.533065,-7.748092,4.877862,-4.549618
-1.173159,-9.691729,2.418144,1.549618,1.381679,3.847328
-0.8523358,-9.504981,2.540248,11.21374,22.41985,-16.99237
-0.9481038,-8.856153,2.264915,-11.38931,17.0229,-10.29008
-0.581791,-9.31105,2.786851,0.610687,10.03053,-2.022901
-0.4836287,-9.471462,2.738967,2.931298,6.778626,1.580153
-0.593762,-9.457097,2.815581,2.396947,4.427481,-0.4885496
-0.557849,-9.41879,2.777274,-0.1908397,1.030534,-2.175573
-0.5051765,-9.516952,2.736573,1.519084,-1.045802,-0.3740458
-0.5985504,-9.428367,2.762909,1.725191,0.1068702,0.1450382
-0.5913678,-9.43076,2.863465,0.6793893,-1.549618,-0.870229
-0.5626374,-9.428367,2.918532,1.045802,-2.465649,-0.05343511
-0.533907,-9.490616,2.837129,1.916031,0.2137404,0.5954198
-0.5195417,-9.40203,2.954445,2.175573,0.129771,-0.7709923
-0.6440403,-9.452309,2.954445,1.137405,-0.3129771,0.04580153
-0.5985504,-9.366117,2.944868,1.083969,-0.8473283,0.2671756
-0.5793968,-9.3733,2.971204,1.366412,-0.3664122,0.961832
-0.5386954,-9.385271,3.047819,1.198473,0.03053435,0.389313
-0.5003881,-9.337387,3.153164,1.167939,-0.7862596,-1.564886
-0.4453215,-9.375694,3.069367,2.412214,-2.099237,-0.7480916
-0.6272808,-9.378088,3.155558,1.541985,1.007634,-0.1832061
-0.4979939,-9.351752,3.138798,0.3740458,-0.351145,0.03816794
-0.5841852,-9.313444,3.177106,0.4198473,-0.03816794,0.4732824
-0.5770026,-9.351752,3.148375,-0.4045802,-0.7709923,0.832061
-0.5075707,-9.318233,3.213019,-0.4656488,-0.007633588,1.480916
-0.5386954,-9.346964,3.181894,-0.778626,-0.2442748,0.2671756
-0.5386954,-9.330204,3.136404,-2.328244,-0.4351145,-0.09923664
-0.5099649,-9.337387,3.064578,-1.961832,0.1832061,0.9541985
-0.6272808,-9.457097,2.995146,-2.427481,0.8854962,-0.4198473
-0.6919243,-9.390059,3.040636,-1.969466,-0.1908397,0.9541985
-0.4548983,-9.495404,2.973598,-1.625954,-0.6030535,0.7251908
-0.533907,-9.416395,2.975993,-1.389313,0.2824428,-1.076336
-0.6224924,-9.41879,2.928109,-0.2290076,-0.4198473,-0.06870229
-0.5386954,-9.445126,2.822764,0.8854962,-0.2900764,-0.3358779
-0.581791,-9.421184,2.892196,0.7862596,-0.5877862,-0.4656488
-0.4357447,-9.349358,2.916138,1.038168,-0.6946565,-0.3969466
-0.5003881,-9.44752,2.971204,0.7022901,-0.7099237,-0.2748091
-0.4932055,-9.478644,2.928109,0.007633588,-0.7480916,0.03816794
-0.4788404,-9.459491,2.961627,0.4656488,-0.3664122,-0.01526718
-0.4213795,-9.380483,2.928109,0.5572519,-0.2290076,-0.2977099
-0.4596867,-9.40203,3.026271,0.5343512,-0.4045802,0.1908397
-0.4357447,-9.414001,2.961627,0.5496183,-0.04580153,-0.5572519
-0.4501099,-9.416395,3.002329,1.427481,0.2900764,-0.870229
-0.5434838,-9.425972,2.983175,0.6412213,0.01526718,0.6412213
-0.5363012,-9.411607,2.990358,0.3587786,-0.3435115,-0.05343511
-0.4644751,-9.31105,3.052607,0.5496183,-0.4580153,0.7709923
-0.4525041,-9.442732,3.040636,0.7022901,-0.4656488,-0.1450382
-0.4357447,-9.337387,3.08852,0.3053435,-0.961832,0.1374046
-0.5363012,-9.346964,3.083732,0.5114504,0.01526718,0.4351145
-0.5099649,-9.344569,3.095703,0.4427481,-0.01526718,-0.2061069
-0.5171475,-9.344569,3.011906,-0.5954198,0.4503817,0.4503817
-0.5386954,-9.303867,2.94008,-1.152672,-0.5267176,0.9770992
-0.4477157,-9.349358,3.093309,-1.51145,-0.1679389,0.129771
-0.4932055,-9.380483,3.045424,-1.679389,0.1679389,0.6183206
-0.5291186,-9.349358,2.896984,-2.099237,0.648855,0.8625955
-0.6344634,-9.461885,2.995146,-2.335878,0.6717557,0.5877862
-0.5985504,-9.440337,2.908955,-1.89313,0.5572519,1.328244
-0.6248866,-9.380483,2.817975,-0.9083969,0.9312977,0.648855
-0.6679823,-9.425972,2.844312,-1.160305,0.3740458,0.778626
-0.581791,-9.397242,2.846706,-0.740458,0.3587786,0.01526718
-0.5363012,-9.380483,2.760514,1.061069,0.2366412,0.3206107
-0.6512229,-9.481039,2.82037,1.572519,0.129771,1.366412
-0.5961562,-9.471462,2.846706,1.183206,-0.1145038,-0.01526718
-0.6799533,-9.495404,2.920926,1.251908,0.4732824,0.1221374
-0.557849,-9.43076,2.882619,2.198473,-0.2671756,-0.9847328
-0.6272808,-9.44752,2.978387,0.9312977,-1.129771,-0.3740458
-0.6129156,-9.351752,2.904167,0.7709923,-1.267176,0.8778625
