ax,ay,az,gx,gy,gz
8.722076,2.094927,-4.220978,-133.9008,-10.85496,34.9084
7.97748,1.041478,-3.691859,-134.0382,-23.74809,36.57252
9.167398,1.915361,-4.074931,-142.6718,-19.81679,36.52672
8.346188,1.47004,-3.632004,-131.3435,-14.43511,36.52672
9.074024,1.707066,-3.665523,-100.8779,-5.534351,34.53435
9.021352,0.9289502,-3.174711,-64.01527,1.419847,34.35115
9.454702,0.5075707,-2.348712,-35.16031,19.47328,17.58015
8.453926,0.7134721,-2.073379,-18.86259,16.41221,19.38168
8.860941,-0.2442086,-2.719813,-37.69466,-7.40458,10.76336
8.827422,0.5099649,-2.480393,-50.48855,-12.05344,6.572519
9.337387,-0.605733,-2.901772,-47.72519,-16.26718,21.9771
8.992621,0.4333505,-2.571373,-54.03053,-12.77863,10.41221
9.078813,-0.2825158,-3.055001,-42.67939,-7.496183,13.0458
9.672575,-0.2633622,-2.487576,-39.00763,8.900764,10.48855
10.6518,-0.1532289,-2.197877,-32.25191,18.87023,5.458015
8.396465,-0.3591303,-1.814805,-0.9236641,18.0458,-2.251908
7.841011,0.3519476,-3.339911,-17.16031,12.58779,9.145039
10.80024,1.072602,-3.028665,-17.67175,-18.74046,-9.282443
8.542512,0.3998317,-1.510741,-11.93893,-7.091603,1.450382
8.848969,0.1077391,-2.341529,18.08397,5.435114,2.625954
10.31422,0.641646,-1.774103,35.55725,2.160305,-20.15267
8.66701,0.3902549,-2.293645,45.71756,6.931298,-7.656488
7.754819,-0.4046201,-3.560178,60.96183,-4.10687,-6.320611
10.35492,-1.118092,-4.120421,64.71756,-22.08397,-14.8855
8.556877,-0.3711013,-3.20823,51.84733,-19.28244,-16.58015
9.291897,-0.2346318,-3.055001,39.16794,13.75572,-14.51145
9.907207,-0.5123591,-2.873042,39.92366,13.21374,-13.25191
9.169792,-0.07182605,-4.41012,57.62595,33.35878,-22.13741
8.070854,-0.7757214,-3.507505,72.33588,29.37405,-20.37405
8.949526,0.1005565,-2.075773,128.2672,-2.221374,-27.54198
9.67018,0.1340753,-4.376601,147.5267,-2.610687,-33.36641
8.724471,1.211466,-3.110068,152.6565,26.38931,-32.96947
8.719683,1.335965,-2.983175,140.7939,13.61832,-19.9084
9.708488,0.2466028,-2.841918,111.5267,10.03053,-15.03053
8.317456,0.07900865,-2.791639,85.83206,8.961832,-17.32825
9.414001,-0.3064578,-2.578555,73.42748,6.877862,-10.01527
9.066842,0.4548983,-1.443704,49.35878,-1.51145,-4.778626
9.78989,-0.1484405,-1.335965,37.21374,-4.114504,0.8854962
9.186552,0.0,-2.305616,16.58779,-1.824428,-5.160306
9.248801,-0.2011129,-1.699883,6.923664,-4.450382,-0.1603053
9.471462,-0.5434838,-1.850718,-3.648855,1.435114,-3.854962
10.30464,-0.5123591,-1.778892,-9.236641,19.70992,-1.709924
9.085996,-0.2777274,-2.178724,-3.908397,24.96183,-1.969466
9.150639,-0.296881,-2.82037,-12.9542,20.86259,5.969466
8.865729,0.3782839,-2.303222,-20.16031,17.23664,-9.114504
8.899248,1.592144,-1.376666,12.71756,39.8855,-12.91603
9.102755,0.7422025,-1.505953,20.25954,18.96183,-5.038168
8.978256,0.8475474,0.9672575,22.27481,11.57252,-5.091603
