ax,ay,az,gx,gy,gz
-1.558625,-9.217676,4.297592,4.80916,-3.816794,-7.328244
-0.7302315,-8.777143,3.41892,3.015267,4.694656,-6.816794
-0.7733272,-9.200917,3.82354,0.6946565,2.328244,-1.51145
-0.6655881,-9.80665,4.225766,2.389313,-10.73282,3.564885
0.3543419,-10.12268,3.981557,5.91603,-15.37405,1.587786
-0.6368576,-8.731653,2.470816,-6.725191,9.015267,-6.038168
-0.8355764,-9.078813,2.317587,-14.67176,-0.870229,6.167939
-0.6105214,-9.200917,2.913743,-3.618321,3.610687,0.7328244
-0.5602432,-9.41879,2.659958,-0.4045802,6.038168,-2.183206
-2.183512,-9.753978,3.284845,-3.633588,-7.305344,16.33588
0.2992752,-9.622296,0.6727707,-17.9313,-7.572519,5.305344
-1.355118,-11.01093,1.946486,-12.0916,-3.48855,-3.534351
-0.6895301,-8.959103,2.499547,-1.931298,-13.71756,4.076336
-1.491588,-9.148245,3.258508,4.007634,-8.015267,12.90076
-1.972822,-10.15381,5.48751,32.55725,-16.77099,17.67939
0.7876924,-8.334216,1.046266,3.541985,7.633588,-7.664122
0.06224924,-8.968679,2.681506,-13.52672,24.9771,11.67176
-0.7302315,-9.114726,2.930503,6.396946,7.687023,-0.6564885
-0.6919243,-9.263166,2.616863,0.09923664,9.564885,-7.526718
-2.427721,-10.10593,3.648763,6.053435,14.45038,15.29771
1.843535,-9.660604,1.029507,-8.839695,-37.00763,8.152672
-1.108515,-10.39562,2.75812,0.7709923,-14.12214,-12.12214
-0.7733272,-8.925584,3.248932,-1.251908,-18.42748,3.938931
-1.419762,-9.416395,3.586514,4.122138,-11.55725,7.969466
-3.46441,-9.069236,4.548983,9.648855,-43.45802,10.38931
-0.5746084,-6.818686,1.814805,-3.916031,19.17557,-9.816793
-0.2777274,-9.045294,3.37343,-19.40458,0.3816794,10.1145
-0.1532289,-9.255983,2.540248,-16.47328,1.045802,-6.427481
-0.9911995,-9.224859,2.60968,-1.916031,11.58015,-4.236641
-1.450886,-10.60153,2.995146,7.343512,18.48092,24.33588
3.462016,-8.99741,2.322376,2.496183,-9.198473,-5.305344
0.5722142,-7.422025,2.918532,5.572519,-10.47328,-0.9923664
-0.3064578,-8.925584,3.325546,0.351145,-12.50382,4.526718
-0.629675,-9.691729,3.660734,2.053435,-9.931297,7.824428
1.812411,-13.80018,2.741361,8.80916,-7.763359,-9.641221
-1.012747,-10.47942,1.273715,-6.793893,-47.52672,-9.717557
-0.9193734,-8.746018,2.267309,-13.0229,-13.54962,-7.748092
-1.450886,-8.927979,2.497152,1.648855,9.648855,-6.633588
-1.94888,-9.758766,2.640805,1.625954,19.28244,4.763359
-0.06943185,-11.22881,2.679112,-0.6641222,0.8778625,12.28244
-1.221043,-9.876082,3.445256,3.435115,30.42748,-19.25954
-0.4070143,-8.595184,2.82037,-0.5725191,13.80153,-10.77099
-0.8188169,-8.978256,3.945644,1.358779,-3.221374,0.9007633
-0.2896984,-9.227253,4.584896,19.23664,-8.992367,12.93893
2.530671,-8.099585,2.995146,16.0916,10.91603,-0.2900764
1.156399,-10.42675,1.910573,2.335878,-12.23664,-11.19847
-0.002394202,-9.112331,2.456451,-8.274809,12.96183,-18.91603
-0.1388637,-9.583989,2.964022,0.3358779,33.39695,-10.41221
-2.183512,-8.578424,2.343924,-0.8931297,12.78626,15.35878
-0.4046201,-11.63582,3.572149,-20.38168,33.87023,9.442748
-0.9959879,-9.351752,4.216189,4.435114,14.80153,-12.00763
-0.2896984,-8.628703,3.387795,-4.08397,17.92366,-13.71756
0.3399766,-9.476251,3.8403,7.89313,-0.5801527,11.45038
0.04309563,-9.595961,3.222595,11.52672,-22.03053,14.65649
-0.770933,-9.25359,3.131616,0.9236641,-19.72519,3.961832
-0.8259995,-9.528923,3.081338,3.366412,-8.427481,0.870229
-0.6967127,-9.248801,3.239355,2.854962,-3.19084,-3.076336
-0.9121908,-9.205706,3.359065,-0.1145038,1.526718,-1.29771
-0.8283938,-9.184157,3.557784,-0.259542,2.221374,-2.519084
-0.6200982,-9.205706,3.481169,-0.5954198,3.709924,-3.229008
-0.7134721,-9.284714,3.665523,0.7175572,1.969466,-0.7633588
-0.6847417,-9.172187,3.560178,1.076336,-0.7328244,-0.648855
-0.7254431,-9.160215,3.543418,0.8244275,0.03816794,0.3587786
-0.6200982,-9.169792,3.598485,0.6335878,-1.419847,0.6946565
-0.6200982,-9.217676,3.672705,1.312977,0.02290076,-0.9465649
-0.6607997,-9.062054,3.636792,1.534351,2.992366,-1.519084
-0.6655881,-9.155427,3.632004,-0.8091603,0.3053435,0.1526718
-0.5913678,-9.172187,3.567361,-1.59542,-1.381679,-0.832061
-0.629675,-9.208099,3.627216,-3.038168,1.129771,-0.9007633
-0.6679823,-9.258378,3.478775,-2.59542,0.870229,-0.8549618
