ax,ay,az,gx,gy,gz
-0.2346318,-9.543288,1.721431,-6.358778,4.977099,0.04580153
-0.5841852,-9.607931,2.063802,-1.755725,8.206107,13.31298
-0.8379706,-9.41879,1.893814,4.610687,12.05344,-1.732824
-1.309628,-9.545682,1.764527,6.648855,6.946565,-7.641222
-2.051831,-9.892841,2.015918,-1.19084,-1.877863,-3.114504
-0.6679823,-9.588778,1.503559,-12.84733,-21.58015,-7.244275
0.2059013,-9.938332,1.570596,5.854962,-18.13741,1.40458
0.4668693,-8.951921,1.893814,16.40458,-10.14504,14.38931
0.6200982,-9.184157,1.867477,14.9084,-16.12214,14.03053
-0.308852,-9.045294,2.458845,16.53435,-14.87023,10.99237
-0.5386954,-8.693346,3.0143,-3.022901,-20.9084,15.41221
-0.8140285,-9.356541,3.414132,-7.053435,-4.603054,1.21374
1.302446,-13.54639,2.434903,-6.389313,2.137405,-30.61069
-0.6153098,-9.078813,2.06859,7.931298,7.229008,-6.648855
0.4548983,-9.363723,0.806846,0.9847328,19.32825,-6.061069
-0.308852,-9.382876,1.716643,-9.938931,11.80153,15.0687
-0.6129156,-9.404425,1.968034,-0.5877862,23.0,-3.572519
-1.235408,-9.406818,2.372654,2.679389,14.0458,-7.717557
-1.249773,-9.595961,2.468422,6.854962,18.13741,-13.22137
-1.063026,-11.07797,3.268085,-13.16031,0.7480916,-0.3358779
0.3878607,-9.416395,2.628834,-0.0610687,9.19084,-4.129771
0.01436521,-10.71166,2.762909,0.7709923,6.022901,-1.274809
0.6224924,-9.545682,2.583344,3.312977,-6.694656,-4.045802
-0.1915361,-9.378088,3.023877,0.7099237,-6.21374,3.732824
-0.4453215,-8.870518,3.062184,-4.48855,-19.15267,13.61069
-0.4453215,-9.674969,3.543418,-4.641222,-11.60305,8.488549
0.9792285,-10.51294,3.217807,-0.648855,-11.48092,-10.87023
-0.2944868,-8.200141,1.927332,-5.992366,7.793893,-7.48855
-0.3854665,-9.94312,0.4668693,-0.8549618,8.740458,-3.763359
-0.8044518,-9.181764,1.49877,-13.83969,23.26718,10.15267
-0.8930372,-9.512163,1.410185,0.7938931,20.74046,-0.8778625
-1.587356,-9.404425,1.774103,6.328244,5.679389,-7.343512
-1.771709,-9.667787,1.843535,8.839695,2.687023,-9.068703
-1.529895,-11.0229,2.604892,-10.48855,-7.267176,13.47328
0.9552865,-9.102755,1.786075,6.412214,-4.152672,6.458015
0.248997,-10.74039,2.391808,12.83969,-7.709924,7.503817
0.3519476,-9.289502,2.145205,10.70229,-12.44275,-1.503817
-1.027112,-8.698134,3.038242,0.389313,-26.42748,4.923664
-0.3303998,-9.064447,3.150769,-5.908397,-26.12977,4.236641
-2.39899,-8.951921,5.228937,9.625955,-39.8168,15.63359
-0.237026,-10.03649,2.583344,19.65649,25.51908,-13.19084
0.1675941,-10.57758,0.7086837,10.01527,-4.122138,-5.030534
-0.5243302,-9.217676,1.80044,-5.839694,0.5496183,6.480916
-1.00317,-9.82341,2.300828,-1.358779,3.145038,-2.290076
-0.9720459,-9.220071,2.466028,-0.2748091,3.167939,-12.81679
-1.508347,-9.940725,2.772485,1.40458,12.09924,-6.946565
-0.2633622,-11.33894,2.925714,-21.13741,-15.35114,7.198473
0.8978256,-9.3733,2.63841,4.145038,-8.198473,3.885496
0.5434838,-8.796297,2.109292,7.900764,-2.10687,11.38931
0.533907,-9.363723,2.41575,0.6412213,-5.335878,-0.3282443
-0.7493851,-8.76996,2.935291,-0.129771,-22.19084,10.77863
-0.320823,-9.284714,3.268085,-7.78626,-27.54962,6.389313
-2.226608,-10.63744,2.990358,-5.40458,-28.91603,-4.435114
-0.9313444,-8.8777,2.573767,-3.877863,-13.70229,2.725191
0.2082956,-10.35732,1.702277,9.083969,9.160305,11.22137
-0.296881,-9.378088,1.527501,-1.419847,-4.732824,9.40458
-1.206678,-9.524135,1.719037,4.496183,-7.610687,7.946565
-1.189918,-9.212888,2.240973,8.770992,3.587786,-4.709924
-1.896208,-9.634268,2.647987,9.961832,17.30534,-8.351145
-0.213084,-11.92552,1.774103,-5.244275,4.541985,-1.343511
0.4261679,-7.769185,3.181894,10.12214,-11.0687,-1.78626
0.8499416,-8.511387,2.762909,3.664122,1.274809,-1.709924
0.1221043,-9.478644,3.047819,0.9083969,-4.290076,3.358779
-0.3663129,-9.138668,3.315969,1.496183,-15.10687,14.99237
-0.3711013,-9.181764,3.478775,-5.419847,-18.31298,15.27481
-1.086968,-9.188946,3.770868,-5.38168,-27.9313,15.64122
-0.1628057,-8.935161,3.081338,-12.51145,-16.93893,-13.82443
-0.02633622,-9.380483,2.32477,-5.519084,-16.31298,-10.32824
0.08140286,-9.902418,2.080561,-3.641221,2.572519,2.160305
0.09337386,-9.718064,1.13964,7.80916,7.801527,3.877863
