ax,ay,az,gx,gy,gz
-1.37906,-11.46583,-3.919308,9.343512,-0.4885496,0.870229
0.01675941,-8.884883,-2.70066,8.274809,27.92366,21.41985
-2.08535,-8.671799,-2.147599,-22.33588,24.56489,9.694656
-0.2753332,-10.25676,-3.241749,6.603054,22.79389,6.664122
-0.8355764,-9.023746,-1.814805,-14.64122,28.90076,-2.526718
-1.733402,-9.804255,-2.602497,-2.618321,16.72519,3.068702
0.01915361,-10.68053,-2.23379,-0.5267176,8.328244,-0.9160305
-2.547431,-10.16339,-3.816358,-6.007634,-2.015267,-7.374046
1.661576,-7.912837,-3.679888,10.48855,16.34351,-13.16794
-0.09576806,-9.320627,-3.258508,-15.92366,30.25954,13.60305
-1.472434,-10.18972,-4.544195,33.08397,-15.58779,-19.47328
1.793257,-6.466739,-0.6009446,-20.35114,-17.40458,-8.458015
-0.03830723,-11.45865,-2.947262,-0.1832061,-12.63359,3.21374
-0.5291186,-7.85777,-0.2705448,-2.656489,-47.63359,5.877862
1.240196,-11.93988,-2.782062,-0.1221374,-31.20611,-14.75572
0.9672575,-11.42513,-6.73489,-25.69466,16.48855,3.427481
-1.580173,-6.931214,-2.236184,74.56489,-75.74809,0.0
-0.2657564,-9.885659,-3.1795,-107.916,13.77863,-6.549618
-0.6392518,-9.950302,-4.910508,102.2519,-12.77863,16.91603
-2.145205,-6.521805,-0.4572925,-76.62595,2.152672,1.274809
0.7326257,-11.01812,-3.53863,24.20611,22.93893,-8.038168
-1.182736,-10.3238,-2.231396,-7.610687,56.61069,7.358778
0.1101333,-10.08917,-5.583278,11.39695,17.50382,-11.21374
-0.5386954,-6.196194,-2.286463,36.54198,83.37405,39.62595
-2.212242,-12.87841,-5.798757,-54.01527,-28.74809,-25.94657
2.592921,-6.696582,-0.806846,80.70229,22.39695,0.7557252
0.5746084,-9.5385,-1.436521,-80.80916,17.38931,8.122137
-0.5075707,-10.13705,-2.128445,65.23664,8.770992,14.9313
-0.5171475,-10.53928,-0.8643068,-32.77099,-29.46565,4.946565
2.051831,-12.72997,-2.573767,20.82443,-28.69466,-17.50382
1.666364,-8.372523,-4.5418,0.4045802,31.66412,-0.7175572
-3.335123,-7.024588,-2.296039,-19.9313,-11.0687,13.54198
1.237802,-11.36767,-4.771644,9.435115,10.64886,4.450382
-2.13084,-5.899313,-0.09576806,-9.793893,6.007634,18.15267
-0.6560113,-10.71884,-2.458845,-23.81679,-1.206107,-17.0
-0.4620809,-9.435549,-2.707842,-13.31298,36.79389,-5.290076
0.4740519,-13.69483,-3.811569,-0.2061069,-21.0458,-7.503817
-0.7637503,-5.676652,-6.947973,13.77863,26.42748,5.412214
-2.336741,-11.45386,0.8379706,-40.45802,-102.7939,-29.39695
1.043872,-10.04607,-5.403713,68.65649,-13.43511,-22.9313
2.257732,-5.401319,0.2753332,-50.77863,-21.89313,6.564886
-0.2561796,-12.3876,-3.438074,24.21374,4.625954,6.931298
0.02873042,-9.763555,-2.056619,-24.9542,-20.03053,7.946565
-0.4884171,-10.20169,-4.359841,14.82443,-26.19847,10.81679
-1.417367,-7.513005,-3.835511,25.64886,-36.67939,-12.07634
1.56102,-11.67413,-3.440468,-42.66412,15.16031,-0.1450382
-3.019088,-8.224083,-3.050213,71.96947,18.98473,36.06107
-1.142034,-8.65025,-1.637634,-46.83969,-14.44275,-6.70229
-1.338359,-9.871294,-2.659958,3.832061,11.79389,-5.755725
-0.5722142,-8.860941,-2.157176,-10.67176,18.18321,-8.114504
-1.067814,-9.847352,-1.465251,-3.381679,42.57252,-4.145038
-2.719813,-10.66617,-0.4165911,-6.396946,28.26718,-14.40458
-4.276044,-11.3533,-7.319075,-101.9771,-88.89313,-14.12977
8.420407,-7.302315,-7.295133,114.3282,75.53435,0.5954198
-3.256114,-8.537724,-3.545813,-106.7328,-42.70229,-18.40458
1.860295,-10.00537,-2.58095,88.22137,-25.06107,-38.36641
1.448492,-7.601591,-1.443704,-39.58779,20.53435,11.62595
0.3064578,-9.873688,-1.963245,10.56489,-11.58779,12.0458
0.3184288,-9.56723,-2.006341,-24.54198,-27.61069,15.85496
0.08379706,-12.94784,-4.970363,19.09924,-23.9313,6.80916
1.92015,-7.659051,-5.21936,-4.0,4.603054,-11.23664
-1.604115,-8.607155,-3.181894,-10.01527,32.98473,19.36641
0.9289502,-9.466674,-5.554548,45.42748,36.12977,29.35878
-3.605668,-6.023811,1.156399,-35.41221,18.49618,8.824428
-0.1053449,-10.47942,-3.648763,-2.389313,9.847328,-8.114504
-0.806846,-9.016563,-1.594538,-18.79389,12.05344,-15.91603
1.319205,-12.2655,-2.636016,2.885496,-3.053435,8.129771
-3.016694,-8.121132,-6.189012,-9.175572,3.045802,-4.167939
0.5003881,-10.64701,-1.067814,-8.297709,-54.83206,-20.74809
-1.695095,-9.457097,-5.157111,21.38168,-16.9313,-27.51908
2.621651,-6.007052,0.4333505,-23.74809,-24.72519,-5.091603
-0.6248866,-10.80264,-2.255338,3.389313,1.496183,8.519084
0.641646,-10.56082,-2.817975,-20.87786,-0.9847328,2.725191
-1.61848,-10.76912,-4.479551,12.12977,-24.87023,7.549618
-0.03112462,-6.339846,-3.586514,18.78626,-59.9771,-10.22137
0.06224924,-10.47224,-4.537012,-79.59542,15.12214,-3.358779
-1.173159,-9.105149,-3.632004,94.35114,-30.61832,8.893129
-2.164358,-6.751649,-0.3734955,-92.61832,-34.29008,-19.67175
0.4596867,-11.12825,-3.885789,47.0458,-8.580153,-12.70992
-1.16837,-10.26155,-1.721431,-32.07634,0.6335878,-16.36641
-2.315193,-10.38365,-5.26485,45.96947,-45.83969,16.13741
0.2920926,-7.484274,-2.973598,23.76336,-5.763359,-15.22901
-2.521094,-10.82658,-5.013458,-27.54962,-35.86259,-27.16794
3.234566,-7.78355,-1.757344,91.16031,-44.24427,-19.9084
0.1436521,-7.060501,-0.926556,-72.9313,-1.847328,8.748092
-0.1939303,-12.38281,-3.955221,50.83206,-22.82443,-5.122138
-1.067814,-9.176975,1.568202,-12.27481,-38.31298,9.572519
2.11408,-11.35809,-8.999804,-48.26717,15.26718,-4.412214
-1.778892,-5.592855,-0.6105214,40.36641,-48.59542,4.396946
1.16837,-12.31099,-4.967968,-41.62595,-6.38168,8.625955
-2.949656,-6.232107,-0.2082956,49.07634,-3.396947,8.282443
1.288081,-10.18254,-2.954445,-57.1145,-1.343511,-5.412214
-2.882619,-10.95108,-2.533065,1.221374,16.57252,-5.465649
-0.04788403,-11.56639,-5.204995,33.37405,-47.79389,-3.885496
0.2992752,-5.38456,-4.299986,25.45802,75.48855,17.41221
-3.08852,-10.36929,-4.477157,-39.73283,-42.25191,-16.48092
3.141193,-8.128315,-2.121263,67.70229,-15.45802,-9.358779
0.4477157,-8.207323,-1.460463,-36.46565,7.053435,14.65649
-0.8451532,-11.11628,-2.231396,8.473283,-21.34351,3.931298
0.03112462,-12.99094,-1.80044,14.69466,-15.23664,3.175573
1.314417,-8.288726,-4.88896,-47.64122,17.28244,0.961832
-1.92015,-7.702147,-4.323928,6.633588,6.335878,10.96183
-0.07422025,-10.54885,-3.73256,13.05344,-13.29008,-8.977099
-2.468422,-6.667852,-0.3040636,-20.47328,-3.068702,7.885496
-0.04788403,-10.66377,-3.421314,-4.900764,-1.557252,-12.20611
-1.142034,-9.155427,-3.023877,-20.44275,6.015267,-2.198473
1.649605,-11.95904,-4.589684,43.21374,5.229008,0.5496183
-0.2466028,-5.116409,-7.290344,16.40458,64.50381,30.96947
-2.15957,-11.34852,-1.055843,-27.76336,-66.44275,-26.26718
2.748544,-8.554482,-3.39019,69.76336,21.26718,-18.46565
0.8762778,-6.277597,-0.5051765,-88.33588,13.8626,18.54962
0.6655881,-11.99256,-2.719813,48.64885,4.053435,1.564886
-0.7110779,-8.868123,-0.6536171,-37.20611,-20.31298,12.1374
2.935291,-11.10431,-6.560112,-39.51145,29.13741,11.32824
-2.394202,-6.648698,-2.980781,70.35878,3.351145,12.55725
2.41575,-12.23437,-3.993528,-82.21374,38.31298,-4.068702
-2.092532,-8.497022,-3.066972,77.07633,56.9771,44.05344
-1.041478,-7.606379,-1.443704,-58.12214,13.16031,-2.984733
-0.4429273,-10.95347,-1.66397,7.931298,44.67176,12.29008
-0.5746084,-11.42513,0.07182605,4.679389,40.93893,-7.572519
-1.429338,-10.39562,-8.468291,-21.33588,8.465649,3.282443
-0.7781156,-8.987833,-1.92015,38.24427,31.83969,2.977099
-2.954445,-9.009381,-5.336676,2.870229,-3.145038,-12.0458
3.045424,-6.574478,-0.5530606,-13.9313,-31.51908,-21.24427
-2.161964,-10.52252,-1.807622,-3.091603,-54.70992,-1.229008
2.015918,-10.25197,-3.478775,-19.13741,-59.64122,-22.0687
0.1604115,-11.19529,-7.292738,15.87023,39.58015,21.73282
-0.5793968,-6.495469,-1.441309,16.13741,-69.19084,-2.122137
-3.473987,-8.585608,-3.809175,-47.09924,-1.48855,16.51145
0.5363012,-11.16656,-6.768408,68.68702,8.687023,23.33588
-2.248155,-3.677494,1.077391,-21.50382,-10.05344,0.1984733
-1.577779,-11.9758,-3.332729,-7.274809,2.938931,-22.39695
-0.8810662,-9.576807,-1.005565,13.70992,38.0458,-11.06107
-2.106898,-13.27345,-3.41892,-6.541985,0.7862596,8.992367
1.340753,-8.329428,-8.949526,39.43512,-0.3740458,6.08397
-2.547431,-6.749255,2.734178,-7.328244,-15.65649,-8.847328
0.296881,-10.57998,-5.166687,8.21374,-38.00763,-27.0687
3.459621,-5.940014,-0.6224924,-8.473283,7.694656,7.236641
-2.403779,-11.39161,-0.4189853,-41.67176,-35.64122,18.99237
2.549825,-13.64216,-6.43322,-31.71756,3.290076,-29.94657
-3.04303,-8.001422,-4.548983,57.83969,4.687023,2.175573
1.673547,-6.476315,-2.382231,-70.90839,29.25191,-2.717557
-2.298434,-11.17374,-5.74369,91.74046,29.85496,32.43512
-5.116409,-5.035006,3.864242,-89.80916,-23.77863,-20.09924
-0.1628057,-11.45625,-3.560178,19.16031,13.07634,1.145038
-1.482011,-10.79067,-0.3734955,-36.32824,3.992366,-17.99237
-2.173935,-10.30464,-6.955156,38.41221,-18.12214,19.31298
-1.606509,-8.025364,-1.290475,11.20611,-10.10687,-8.083969
-2.597709,-9.32781,-6.526594,-5.167939,-31.13741,-35.63359
4.654328,-6.91206,-0.1556231,17.81679,-49.17557,-10.48855
-3.244143,-10.75236,-0.9361328,-28.74809,-17.71756,4.80916
0.213084,-11.92552,-2.497152,10.50382,-27.50382,-2.938931
-0.002394202,-8.463503,-6.777985,-39.01527,14.36641,8.847328
-0.3351882,-9.43076,-2.992752,95.70229,-38.35115,-9.770992
-0.5171475,-8.693346,-2.013524,-69.70992,26.45038,20.72519
-4.161122,-8.075643,-1.474828,39.37405,-3.824427,13.12977
-1.534683,-9.074024,-1.106121,-48.55725,-18.07634,-30.59542
-1.563414,-10.18493,-2.169147,7.175572,-0.7099237,-9.816793
-0.6655881,-11.78666,-6.100426,2.396947,-52.53435,11.56489
0.03112462,-6.394913,-5.166687,55.58015,22.9542,2.496183
-3.529053,-9.507375,-4.249708,-55.41985,-97.69466,-39.83206
5.439626,-8.494628,-1.010353,50.17557,-40.15267,-26.63359
-2.389413,-8.121132,-0.5889736,-50.44275,-14.08397,22.58015
0.04548983,-12.95981,-3.739743,5.183206,-36.89313,-23.76336
1.249773,-9.526528,-4.848258,-22.14504,12.64886,18.0
-2.913743,-8.288726,-3.857059,47.61069,-61.72519,-20.94657
0.6464345,-10.6925,-2.300828,-80.70992,4.572519,-11.03817
-1.711854,-8.516175,-2.975993,91.38931,-9.526717,14.44275
-2.351106,-7.943961,-0.5171475,-88.34351,-51.89313,-26.14504
0.3711013,-11.60709,-3.514688,43.45038,8.419847,-8.549619
-2.801216,-12.19846,-6.505046,-70.80916,-67.45802,12.63359
0.9217676,-7.905654,-5.688623,94.28244,-22.96183,32.58015
-2.418144,-10.08198,-4.829105,-130.7557,-22.69466,3.984733
-1.740585,-11.31979,-4.84347,132.1069,-77.38168,-98.06107
0.01915361,-6.332664,-0.6464345,-85.55725,-7.992366,18.25954
-0.9074024,-10.87925,-2.667141,29.41221,-29.71756,-11.77099
-0.7805098,-11.98059,-0.5003881,0.9389313,-32.03817,-16.70992
-1.218649,-10.83376,-7.156269,-39.29771,8.259542,-7.969466
-1.055843,-5.640739,-1.857901,65.55725,-78.51145,-8.572519
0.04788403,-13.71878,-3.454833,-79.44275,-4.496183,-26.52672
-3.098097,-6.900089,-1.757344,86.51908,-16.74046,24.38168
-1.661576,-9.208099,-2.044648,-81.61832,-35.08397,-34.72519
0.5075707,-10.09156,-2.779668,33.82443,11.21374,-2.679389
-0.902614,-13.25669,-0.6775591,-3.519084,21.51145,-6.030534
-4.654328,-8.966286,-6.260838,6.763359,-15.07634,-10.25191
0.7757214,-9.006987,-0.3687071,-13.1374,-54.85496,-23.54198
-2.540248,-10.05325,-6.330269,24.83969,-34.31298,-28.23664
4.252102,-6.198588,-0.237026,-17.41985,-30.96183,-5.427481
-0.8954314,-10.2831,-2.20506,-11.05344,4.801527,14.0
-0.8762778,-10.20648,-2.387019,-11.39695,-34.01527,3.603053
0.8092402,-10.36929,-4.299986,-6.748092,-21.18321,14.07634
-2.798822,-8.420407,-4.175488,42.32061,-57.13741,-3.381679
0.5530606,-8.772355,-1.805228,-77.56489,6.580153,-17.30534
-2.32477,-9.512163,-4.955997,84.56489,-6.137404,22.12214
-1.577779,-6.813898,-0.2825158,-79.0,-44.72519,-23.9771
-0.03112462,-11.66455,-4.039018,27.16794,25.93893,-1.358779
-1.364695,-9.318233,-0.6081272,-20.37405,15.45802,-2.603053
