ax,ay,az,gx,gy,gz
0.4525041,-8.322245,-5.60722,-4.0,-5.503817,-3.351145
0.6320692,-8.542512,-5.530606,-5.236641,-3.061069,-6.19084
1.352724,-8.238448,-5.62398,-9.366412,14.90076,3.732824
-0.9648633,-6.919243,-5.365406,-13.32824,-8.488549,-18.63359
1.103727,-10.22324,-5.997475,13.29008,-33.98473,-8.519084
-1.108515,-7.958326,-4.532224,-16.01527,-19.05343,-14.28244
0.01675941,-8.990228,-5.238513,-2.458015,-6.099236,-8.389313
0.4812346,-8.614338,-5.224148,1.419847,13.71756,-1.916031
-1.156399,-9.457097,-7.273585,-13.0916,3.21374,21.77863
0.9504981,-7.78355,-6.382942,29.0229,-6.625954,9.152672
0.7302315,-7.347805,-5.571307,-14.96183,4.992366,1.572519
0.1699883,-6.50744,-5.722142,3.335878,10.38168,4.152672
1.412579,-7.584831,-5.89213,5.564886,-1.114504,-6.305344
0.6607997,-8.288726,-5.257667,5.21374,-10.0916,-6.480916
0.7996634,-8.437167,-5.142745,10.87786,-29.58779,-16.36641
1.553837,-10.17536,-3.711013,19.32061,-15.58779,-12.50382
2.738967,-8.295909,-6.545747,41.14504,13.51145,17.80916
-1.936909,-5.62398,-6.382942,-8.076336,-12.38168,-17.09924
0.9864111,-8.044518,-6.888118,9.557252,-4.816794,2.267176
-0.1029507,-7.350199,-4.824317,-19.48092,1.038168,-0.9389313
-0.2561796,-8.607155,-4.88896,9.641221,-4.564886,-15.56489
-0.04788403,-8.595184,-5.190629,3.396947,0.3816794,-14.06107
-0.5841852,-9.586384,-5.197812,9.793893,-14.82443,-8.061069
-0.213084,-8.070854,-7.256825,-42.89313,-13.87786,5.824428
2.863465,-6.062119,-5.348647,19.13741,-35.00763,-54.41221
-1.036689,-11.25035,-7.584831,45.25954,-73.771,-38.0458
-0.4453215,-7.36217,-4.606444,-29.63359,-31.29771,-36.94656
-0.1795651,-7.831434,-4.517859,21.56489,-40.25191,-5.687023
0.1101333,-9.066842,-5.154716,7.007634,-61.80153,-31.42748
1.980005,-9.337387,-4.869806,-0.8091603,-38.80153,-27.87786
2.013524,-9.531317,-7.144298,34.77863,-13.25954,-18.22137
-1.419762,-5.549759,-5.552154,-6.78626,-48.42748,-24.75573
1.762132,-8.274361,-6.488286,7.007634,-25.80153,8.328244
-0.1005565,-6.629545,-4.833893,-16.66412,-14.83206,-17.12977
-0.8283938,-8.674192,-5.580884,17.0458,-17.1145,-19.71756
0.3519476,-7.917625,-5.260061,-13.69466,6.557252,-19.50382
-2.317587,-9.093178,-5.24809,13.87023,-25.94657,6.282443
-0.05746084,-10.02931,-8.293514,-7.152672,-45.54962,14.9084
3.672705,-4.683059,-3.356671,-51.61069,13.48855,-34.01527
1.122881,-8.738836,-7.955932,66.54198,-10.12977,-6.946565
0.6991069,-7.66384,-5.324705,-26.44275,-10.51908,-10.22137
0.6607997,-7.596802,-4.709395,4.068702,-18.20611,-3.21374
2.501941,-7.826645,-7.448361,-9.320611,-10.9084,-8.236641
0.1292869,-8.566454,-11.4395,-0.8091603,-1.78626,-41.58779
0.3184288,-4.774038,-5.451597,11.80153,-27.68702,31.84733
4.335899,-7.501034,-7.235278,-16.51908,6.717557,14.9313
-1.381454,-6.483498,-5.149928,-1.221374,-10.98473,-17.25191
0.5099649,-8.350976,-5.758055,23.61832,-7.320611,1.480916
-0.1795651,-6.959944,-5.068525,-1.648855,6.603054,-8.587787
-0.3758897,-9.821015,-6.05733,8.557252,-8.824428,2.847328
0.09816227,-8.334216,-6.933608,-23.12214,-3.412214,31.21374
4.546589,-5.762844,-5.95438,8.862596,18.78626,-6.80916
-1.45328,-11.05642,-6.92882,47.09924,-2.625954,-22.55725
-0.3758897,-7.043741,-4.568137,-23.9084,5.740458,-4.664122
1.201889,-8.829816,-5.262455,11.58015,-8.351145,-1.343511
0.6392518,-9.291897,-5.307945,-0.4732824,-20.72519,-20.0229
0.4333505,-10.24479,-3.438074,0.7862596,-24.32825,-21.85496
2.274492,-8.872911,-8.499416,16.0687,29.59542,17.67175
-0.7134721,-6.234501,-5.315128,-29.15267,-15.51908,-47.80916
-0.6200982,-9.421184,-7.127539,34.73283,-11.41221,22.19084
0.7302315,-7.390901,-5.276821,-8.19084,-1.633588,-0.648855
-0.4333505,-8.030152,-5.030218,5.694656,3.694656,-10.22901
0.5195417,-8.470686,-5.197812,-10.40458,18.83206,0.6793893
-1.077391,-9.931149,-4.774038,14.03053,-2.694656,21.74809
-0.4141969,-9.251195,-8.540117,-5.992366,-31.93893,31.0229
3.248932,-4.520253,-3.217807,-50.48092,20.39695,-2.061069
1.778892,-9.131485,-7.836222,73.9313,5.740458,-5.740458
-0.3136404,-6.983886,-4.31914,-29.35878,-10.55725,-14.9313
1.170765,-8.362947,-4.93445,9.175572,-14.89313,0.3664122
-0.225055,-9.502586,-5.544971,-5.885496,-23.52672,-5.412214
-0.605733,-8.655039,-4.412514,2.328244,-46.38168,-30.84733
3.394978,-10.29267,-10.21127,-29.91603,23.47328,-54.25954
-1.750161,-4.620809,-4.661511,2.076336,-49.42748,-5.099236
2.269703,-8.48984,-8.973468,-62.06107,1.793893,-3.938931
-1.479617,-6.47871,-4.853047,15.27481,-24.94657,-17.83206
-1.101333,-9.157822,-7.252037,-11.54962,-25.33588,-24.9313
0.7637503,-6.730101,-5.365406,10.58015,-16.9313,-15.25954
-0.9816227,-8.099585,-6.246472,24.20611,-24.31298,-6.21374
-0.2896984,-7.982268,-5.11162,32.56488,-0.1984733,34.92366
0.7972692,-9.816227,-9.251195,9.015267,-28.45038,24.46565
4.189853,-3.519476,-3.375824,-55.23664,56.1145,1.763359
2.703054,-10.37886,-8.331821,27.03053,47.1832,3.740458
0.02633622,-6.655881,-4.900931,-53.03817,32.74046,-8.977099
0.9457096,-9.13388,-5.813122,19.54198,0.7557252,16.64886
2.425326,-7.642292,-4.96318,-8.931297,5.80916,19.9542
3.406949,-9.179369,-10.86489,-3.152672,50.50382,-23.39695
-0.007182605,-6.349423,-7.520187,-20.67175,48.40458,47.29771
1.687912,-7.860164,-7.383718,1.908397,69.64122,75.83206
1.774103,-6.299145,-6.572083,-31.17557,94.67939,47.74046
0.3734955,-8.872911,-7.072472,4.709924,69.71756,58.49618
1.549049,-7.862558,-6.459556,-3.709924,98.87786,31.73282
0.1388637,-6.438008,-5.760449,20.9771,76.57252,61.1832
1.132457,-10.02931,-6.232107,-16.66412,47.80153,34.0458
2.272097,-7.994239,-4.563348,10.25954,54.83206,35.58779
1.053449,-8.628703,-4.419696,21.87786,26.05343,36.00763
1.608904,-8.482656,-4.311957,12.0687,23.32061,21.86259
0.8714894,-8.111555,-4.000711,-12.61069,9.603053,13.0687
1.826776,-9.188946,-4.371812,0.9007633,1.648855,10.61832
0.770933,-9.251195,-3.248932,-17.43511,-3.977099,-1.908397
2.243367,-11.56639,-7.486669,-18.64122,5.198473,-27.22901
