ax,ay,az,gx,gy,gz
1.338359,-8.927979,-5.750873,1.961832,-17.17557,-4.770992
1.932121,-7.881712,-4.606444,-6.458015,-13.8855,-1.335878
2.509123,-7.951144,-4.96318,0.9923664,-6.030534,17.35114
1.651999,-8.377312,-5.307945,-10.48855,-20.82443,1.48855
1.441309,-9.306262,-7.254431,4.267176,19.77863,-19.33588
0.1987187,-7.48188,-5.923255,9.534351,-18.03817,4.793893
0.5889736,-7.570466,-6.277597,-6.374046,-12.19084,3.885496
0.6823475,-7.838616,-5.518635,16.26718,-4.236641,16.63359
-0.06224924,-7.917625,-5.38456,-5.503817,2.229008,12.90076
0.9624691,-7.797915,-5.279215,-4.572519,10.9542,6.725191
0.01915361,-8.322245,-5.142745,-8.152672,8.160305,9.328244
0.4692635,-8.37013,-5.465962,-7.015267,4.351145,1.412214
1.199495,-8.362947,-5.078102,-4.51145,14.42748,7.122138
0.5674258,-8.236053,-4.807557,-6.08397,16.94657,6.610687
1.455675,-8.408437,-4.781221,-9.160305,28.74046,0.4656488
1.702277,-8.688558,-4.790798,-11.87023,32.65649,8.312977
0.5913678,-9.323022,-6.6894,-28.52672,-10.71756,17.03053
1.158794,-6.797139,-5.604826,-8.572519,26.41221,-3.564885
0.605733,-7.089231,-6.624756,29.64886,-3.687023,-15.00763
1.728614,-9.363723,-6.830657,22.67939,-6.534351,-28.77863
1.180341,-6.955156,-5.207389,-12.0687,-12.99237,-20.78626
2.255338,-7.881712,-5.193024,-1.091603,-10.33588,-7.534351
2.39899,-7.805098,-4.841076,-19.1145,-5.374046,-2.473282
2.461239,-8.365341,-5.336676,-0.6717557,3.572519,12.87786
1.546654,-8.743625,-4.223372,4.435114,6.862596,13.36641
2.810793,-11.01572,-8.018182,8.251908,30.16031,-21.9771
1.417367,-6.014235,-5.051765,1.648855,-0.9465649,23.89313
0.6368576,-6.873753,-6.093243,2.442748,0.9847328,1.519084
1.771709,-9.009381,-6.773197,23.51145,-2.755725,20.86259
0.3423708,-7.467515,-4.534618,-6.587786,0.1068702,18.35114
0.9840169,-7.841011,-5.030218,-5.053435,6.137404,6.412214
1.101333,-8.681376,-5.118803,-15.19847,5.519084,0.3358779
1.412579,-8.63828,-5.221754,-5.122138,15.01527,0.9541985
2.298434,-8.133103,-4.510676,-9.427481,35.29771,10.94656
0.3663129,-8.358158,-6.665458,-68.12214,47.30534,29.71756
-1.757344,-9.188946,-6.569689,33.38168,-15.48092,-0.2824428
1.596933,-7.299921,-5.93762,-3.480916,20.58015,-11.67939
1.496376,-6.897695,-5.616797,-1.78626,20.86259,2.717557
0.7038953,-8.063671,-6.002264,31.10687,18.80153,-14.83969
2.882619,-7.596802,-4.627992,-17.19847,5.526718,-8.725191
2.080561,-7.893683,-3.720589,13.67176,-4.541985,6.648855
1.886631,-8.896853,-4.659117,-4.251908,-3.305344,4.91603
1.675941,-9.200917,-3.833117,8.267176,-6.114504,1.045802
1.932121,-9.43076,-6.210559,-18.03053,-12.64886,-34.08397
1.474828,-9.255983,-6.131551,13.54198,-23.90076,-6.366412
1.204283,-6.806715,-5.865794,-27.29771,-35.89313,-47.27481
3.263297,-7.982268,-7.046135,35.35878,-35.32061,15.60305
0.3854665,-6.813898,-4.532224,-13.24428,-26.01527,1.854962
1.584962,-8.3821,-5.272032,-3.977099,-8.977099,-3.40458
1.975216,-8.173804,-4.175488,9.641221,11.61069,-2.862595
2.018312,-8.956709,-4.560954,15.36641,20.38168,-2.80916
1.532289,-9.734824,-5.956774,-51.55725,1.328244,12.98473
0.2585738,-8.487445,-5.963956,23.25954,5.59542,-12.29008
-0.2466028,-6.555324,-4.374207,-8.778625,-30.9542,-5.08397
0.4213795,-8.777143,-6.514623,36.83969,11.51908,6.076336
2.23379,-7.536947,-4.955997,-31.45802,9.38168,-31.21374
2.343924,-8.06846,-4.556166,-5.679389,5.725191,-3.633588
1.216254,-8.62152,-4.06296,-4.389313,-14.72519,2.396947
1.455675,-9.275137,-4.697424,10.61069,-0.9389313,11.8626
0.3902549,-8.343793,-2.597709,-3.557252,-34.69466,-3.40458
5.149928,-7.939173,-9.497798,7.664122,2.740458,-28.06107
2.401384,-6.833052,-4.510676,20.8855,-37.05344,-9.778625
0.9528923,-7.053318,-6.356606,5.206107,-9.78626,-27.10687
3.050213,-7.912837,-7.108385,17.83206,-12.67176,1.885496
0.1723825,-8.010999,-4.721366,-11.38168,-27.70229,5.221374
1.810017,-8.283937,-4.752491,-8.465649,-5.923664,5.587786
1.010353,-8.267179,-4.053383,6.412214,9.702291,-2.083969
0.5003881,-9.727641,-4.599261,3.778626,-1.175573,-11.63359
2.202666,-8.645462,-3.684676,-7.549618,16.52672,-3.641221
-0.1292869,-10.89841,-5.932832,4.167939,1.122137,26.81679
0.1221043,-8.128315,-6.435614,0.351145,-16.93893,-25.22901
0.9193734,-6.569689,-5.619191,1.816794,-30.08397,-20.32825
1.16837,-8.738836,-7.340622,27.70229,-15.22901,-29.14504
3.172317,-7.182605,-5.157111,-6.717557,-18.16794,-31.40458
0.842759,-7.730877,-4.264073,-3.145038,-16.66412,-5.519084
2.138022,-8.707711,-4.807557,-3.29771,-28.67175,-10.67176
1.910573,-8.568848,-3.627216,14.01527,-25.9771,-7.08397
2.334347,-8.99741,-6.804321,22.54198,-4.526718,-32.85496
0.8690952,-8.987833,-7.668628,21.15267,-29.10687,14.61069
-1.194707,-5.810728,-4.572925,-12.32824,-51.19084,-31.96947
2.573767,-8.896853,-7.271191,16.61069,-33.15267,2.381679
-0.56982,-6.847417,-4.314352,-9.717557,-45.05344,-15.9771
1.474828,-8.401254,-5.276821,3.473282,-25.56489,-11.83206
0.7062895,-8.865729,-4.618415,-4.763359,-8.083969,-22.16031
1.35033,-9.234436,-4.592079,11.22901,2.977099,-16.78626
1.505953,-8.822633,-4.441244,-25.34351,7.770992,11.73282
-1.35033,-9.172187,-5.516241,27.55725,-31.83206,-9.244275
1.441309,-7.575254,-6.421249,-5.923664,-4.40458,-25.72519
1.80044,-7.872135,-6.167464,-9.847328,3.10687,-14.54962
1.616086,-7.802703,-5.585672,31.03817,-6.503817,-17.0458
