ax,ay,az,gx,gy,gz
1.034295,-7.994239,-5.240908,-4.335878,-16.19847,-14.05344
1.580173,-8.109161,-5.193024,-4.969466,-22.38168,-7.29771
1.584962,-8.379706,-4.548983,4.954198,-24.59542,-6.366412
2.679112,-8.695741,-5.995081,32.35878,22.26718,0.8091603
0.6224924,-9.76116,-7.750031,8.557252,-3.89313,-7.450382
0.8595184,-7.058106,-6.636727,-10.07634,-36.39695,-13.81679
1.070208,-6.782773,-6.80911,6.167939,-25.46565,-10.29008
1.771709,-7.52737,-6.713342,2.083969,-13.61069,-1.282443
-0.5123591,-7.247249,-5.635951,-0.3282443,-26.20611,-10.81679
1.714248,-7.649475,-6.16507,9.648855,-9.053435,-4.984733
0.9504981,-8.149862,-5.896919,-2.984733,5.877862,-5.572519
1.467646,-8.702923,-5.583278,18.81679,8.870229,4.206107
0.1819593,-8.070854,-4.563348,4.885496,-3.671756,-8.793893
0.914585,-8.200141,-4.48434,7.954198,-6.78626,-12.0458
1.455675,-8.461109,-4.570531,-8.458015,-14.10687,-19.45802
0.03112462,-12.05241,-7.24246,2.183206,-83.33588,-0.3816794
1.572991,-3.308787,-5.928043,-21.22901,-0.3664122,-16.03817
1.39582,-9.490616,-8.669404,20.17557,-11.91603,-49.91603
2.03986,-6.538565,-4.944026,7.160306,11.67176,-4.610687
1.489193,-8.00621,-5.415684,6.198473,12.08397,-17.99237
1.42455,-8.078036,-5.027823,-6.656488,-0.8396947,-12.12214
1.80044,-8.259995,-4.29041,-0.4045802,-17.71756,-21.93893
1.584962,-8.075643,-4.046201,0.3282443,-23.9771,-7.519084
3.165135,-8.008605,-5.011064,-4.465649,-22.0916,-0.9541985
1.66397,-7.991845,-4.683059,-2.435115,-36.66412,-9.450381
2.841918,-9.296685,-5.08289,3.946565,-46.76336,-9.312977
5.058948,-7.76679,-15.96214,-25.43511,40.80153,-22.19847
-1.826776,-5.336676,-4.362236,-37.86259,-69.38931,-54.74046
1.529895,-7.292738,-8.429984,56.83206,-25.58015,6.572519
0.03351882,-7.10599,-6.325481,7.091603,-31.41985,-6.61832
1.058237,-6.991069,-6.138733,11.17557,-32.35115,-17.59542
1.175553,-6.955156,-6.002264,5.541985,-32.57252,-23.35114
-3.236961,-5.45878,-4.60405,-31.76336,-90.51145,-26.99237
6.497863,-5.434838,-6.543353,14.14504,0.259542,35.93893
1.989582,-7.639898,-4.592079,-13.57252,26.05343,-18.93893
-1.525106,-7.910442,-7.151481,8.412213,4.389313,15.94656
2.195483,-8.025364,-9.112331,27.54962,-24.22137,-15.52672
0.2561796,-5.214571,-6.019023,10.8855,-17.25191,-36.03817
2.911349,-8.528147,-7.93199,26.60305,6.343512,-2.992366
0.6464345,-7.491457,-5.679047,10.0,-18.28244,-29.00763
2.837129,-7.086837,-5.233725,7.335878,8.099236,-5.366412
1.601721,-7.680599,-4.972757,-19.48092,-7.633588,-8.572519
2.049437,-8.552089,-5.159505,-3.351145,-2.549618,0.9465649
1.199495,-8.724471,-4.367024,1.0,-12.93893,-0.832061
2.425326,-8.568848,-4.690241,-8.152672,-8.221375,-0.259542
2.06859,-8.372523,-5.779603,28.9542,15.56489,2.259542
0.7805098,-9.485827,-8.180987,44.9313,-0.07633588,0.03053435
