ax,ay,az,gx,gy,gz
-1.33357,-8.896853,-4.424485,-0.8396947,1.732824,1.083969
-1.405396,-8.896853,-4.577713,-1.450382,2.122137,0.9083969
-1.33357,-8.678981,-4.718972,-12.28244,3.832061,1.022901
-1.604115,-8.820239,-4.556166,-3.259542,1.10687,1.099237
-1.606509,-8.99741,-4.74052,-0.7099237,-0.9160305,0.3358779
-1.414973,-8.834604,-4.726154,0.7557252,-0.2290076,-0.5801527
-1.33357,-8.841787,-4.762067,0.1526718,0.1603053,-0.8854962
-1.434127,-8.724471,-4.762067,0.351145,-0.778626,-1.80916
-1.328782,-8.810662,-4.76925,-0.2061069,-0.5954198,-1.229008
-1.443704,-8.808268,-4.718972,1.748092,-1.305344,-1.519084
-1.345541,-6.845023,-4.824317,-16.74046,7.427481,-1.671756
1.108515,-8.339005,-8.523358,37.87023,45.59542,34.51145
-3.96001,-9.80665,-4.256891,-60.1832,32.12214,16.8855
-2.190695,-7.237672,-1.977611,18.58779,28.82443,15.35114
-1.410185,-9.100361,-3.452439,20.68702,-0.4656488,11.8626
-1.134852,-8.039729,-1.759738,13.65649,-10.65649,8.854961
-0.6847417,-8.41083,-2.707842,30.72519,29.42748,18.85496
-5.214571,-7.623138,-9.583989,-20.48855,7.183206,-11.52672
2.138022,-15.09784,-8.947132,5.549618,20.35114,6.603054
-5.489904,-4.726154,0.1532289,-27.66412,-6.549618,-1.78626
-3.143587,-8.226477,-4.015076,6.21374,-0.3740458,-1.160305
-0.890643,-6.200983,-2.734178,23.41985,14.32824,5.862596
-2.310405,-9.495404,-3.835511,4.625954,-5.824428,-10.16031
-0.9050082,-12.18409,-8.322245,3.648855,30.42748,4.282443
-1.055843,-12.52646,-9.495404,20.80153,32.30534,26.28244
-2.626439,-1.68073,3.861847,-72.771,-19.68702,-3.89313
0.5554548,-7.182605,-5.11162,29.0229,1.664122,8.694656
-6.232107,-11.56878,-7.860164,-68.43511,-0.6335878,-8.847328
-4.053383,-10.36211,-8.535329,-35.14504,8.244275,-4.885496
-8.293514,-3.313575,5.523423,1.801527,17.74046,-9.137404
-5.035006,-10.40281,-4.314352,38.74809,17.41221,3.290076
1.798046,-10.67814,-5.645528,-8.816793,-2.282443,19.69466
-3.605668,-10.26634,-2.025495,-17.14504,-16.40458,-3.320611
-3.201048,-6.998251,-3.385401,23.48092,38.41985,-7.389313
-1.247379,-7.958326,-2.197877,21.70992,-59.12977,-14.03817
-3.184288,-7.845799,-4.462792,-13.54198,-22.69466,-1.877863
-0.9672575,-13.4195,-7.005434,4.59542,-14.03817,-12.26718
-1.996764,-7.682993,-3.665523,10.94656,37.26717,-3.954198
-2.662352,-7.271191,-5.449203,1.618321,37.82443,8.419847
-2.497152,-7.412448,-3.722984,11.70229,3.40458,4.656488
-2.717419,-12.83532,-9.507375,7.038168,3.847328,-1.687023
-2.765303,-7.807492,-3.768473,-5.015267,9.221375,1.832061
-1.034295,-7.757214,-4.103662,8.816793,3.114504,-7.633588
-1.924938,-8.008605,-3.957615,5.931298,-10.54198,-11.41221
-3.689465,-8.875306,-2.375048,-16.40458,-20.25191,-13.64122
-0.9528923,-13.20163,-5.068525,23.96183,-12.79389,-11.53435
-1.630451,-9.351752,-6.354211,14.06107,18.28244,-1.778626
-1.031901,-6.521805,-4.953603,-10.09924,-10.03053,4.022901
-3.122039,-6.579266,-2.995146,14.27481,-2.335878,5.114504
-2.387019,-10.59674,-5.29358,43.86259,-6.847328,2.770992
0.07422025,-11.27908,-8.755595,11.27481,6.641222,-0.6870229
-2.456451,-7.979874,-5.023035,-31.51908,7.526718,2.625954
-1.73819,-5.832275,-2.810793,-33.03817,-6.152672,-5.29771
-0.1484405,-6.916849,-3.157952,7.206107,-18.24427,7.496183
-4.510676,-9.255983,-5.798757,12.83206,14.22901,-3.274809
-0.8738836,-11.13304,-10.58477,8.671756,11.29008,-0.1908397
-3.174711,-11.04685,-8.793902,-3.0,11.42748,-7.435114
-1.707066,-7.524976,-4.491522,15.70229,4.70229,4.793893
-1.613692,-6.449979,-4.67827,4.763359,27.07634,9.511451
-1.75495,-7.869741,-4.031836,2.328244,12.30534,4.557252
-2.44448,-9.610326,-1.879448,22.0916,-11.19084,-0.2061069
0.830788,-14.80814,-11.31021,12.77863,9.778625,-7.473282
-3.572149,-11.62385,-5.492299,13.09924,5.145038,-9.816793
-0.8355764,-7.129933,-1.821988,-19.24427,-8.022901,1.648855
-1.276109,-7.060501,-3.531447,-5.435114,14.94656,4.541985
-1.383849,-6.205771,-4.498705,-11.99237,13.00763,-2.076336
-2.846706,-8.868123,-5.798757,-14.38931,19.48855,4.793893
-0.8331822,-10.62786,-8.774749,-25.79389,4.549618,-4.656488
-2.631228,-9.976639,-8.532935,-39.27481,33.79389,2.778626
-2.475605,-7.855376,-2.499547,9.083969,-10.30534,-2.045802
