,ax,ay,az,gx,gy,gz
734,0.05746084,-8.171411,-6.100426,12.78626,-9.40458,-1.083969
735,0.1604115,-8.176199,-5.846641,3.824427,-4.778626,-3.587786
736,0.07422025,-8.276755,-5.554548,6.572519,-5.137404,-2.839695
737,0.2537854,-8.269572,-5.422867,5.0,-1.160305,0.519084
738,0.1340753,-8.559271,-5.430049,6.824428,-4.267176,-1.0
739,0.2178724,-8.78672,-5.188235,12.22901,-4.89313,-1.916031
740,0.5123591,-8.657434,-5.12838,13.59542,1.221374,0.1908397
741,0.1197101,-8.631097,-5.130774,9.152672,-0.04580153,-3.030534
742,-0.1125275,-8.985439,-4.168305,3.099237,-9.335877,-7.679389
743,0.320823,-7.81228,-5.523423,-30.03053,-7.610687,-17.28244
744,0.5099649,-9.325416,-5.2026,8.916031,-10.12977,-5.496183
745,0.4405331,-8.221688,-5.092467,11.12214,-6.564886,1.503817
746,0.5961562,-8.59279,-4.72376,-4.068702,-6.89313,-3.618321
747,0.1292869,-8.726865,-5.154716,-3.358779,-3.381679,-4.412214
748,-0.260968,-8.607155,-5.252879,-4.465649,-17.9771,-9.801527
749,0.1388637,-8.470686,-5.080496,-0.4580153,-24.70229,-12.22137
750,1.070208,-9.390059,-5.025429,4.145038,6.152672,1.198473
751,0.533907,-8.039729,-5.250484,-31.25191,5.465649,-2.679389
752,-0.5099649,-8.561666,-5.355829,20.08397,-30.96183,-9.061069
753,0.6368576,-8.465898,-4.941632,12.0687,-29.73282,-14.00763
754,0.5770026,-8.511387,-5.161899,19.9771,-0.7633588,3.145038
755,-0.05506664,-9.088389,-5.279215,10.64122,1.236641,2.793893
756,0.3734955,-8.497022,-4.659117,-5.152672,3.526718,-1.122137
757,0.06943185,-8.710106,-5.003881,-5.938931,1.969466,-0.7862596
758,0.1364695,-8.566454,-5.070919,-14.17557,7.10687,-0.07633588
759,0.1747767,-8.418014,-5.418078,-15.10687,10.41221,1.198473
760,0.3184288,-8.451532,-5.492299,-15.37405,11.29771,2.419847
761,0.2322376,-8.312668,-5.279215,-4.229008,4.152672,4.045802
762,0.2753332,-7.987057,-5.511452,-15.27481,-1.961832,-2.374046
763,0.4836287,-7.632715,-5.717354,-38.54962,6.175572,-9.015267
